Visibility,VehicleStability,RoadSurface,PathInteraction,PrecipitationDeposits,RoadFriction,WindIntensity,StartEgo,GoalEgo,GoalOther,Wetness,Precipitation,FogDistance,StartOther,FogDensity,Cloudiness,Min_TTC,Collision_Occurred
0,0,0,1,60,0.2,20,base,left,right,20,40,60,left,40,40,2.155575727828435,False
0,0,0,2,40,0.1,40,base,left,right,80,60,60,left,0,100,2.9465498446225333,False
0,0,0,4,40,0.2,20,right,left,base,40,40,40,left,60,60,5.111825212993546,False
0,0,20,1,20,0.2,60,base,right,base,40,40,40,left,60,100,2.279185535843116,False
0,0,20,2,60,0.2,80,right,base,left,40,40,100,base,20,40,2.9540529555765205,False
0,0,20,4,20,0.6,40,left,base,left,40,20,20,base,60,20,4.17608130643435,False
0,0,40,1,40,0.2,40,base,right,base,40,60,80,left,20,100,2.8680031054992776,False
0,0,40,2,60,0.1,20,left,base,left,60,80,20,right,60,100,1.6518241553992927,False
0,0,40,4,60,0.1,0,base,left,left,80,60,0,right,80,40,3.3677540402239474,False
0,0,60,1,0,1.0,100,left,right,left,20,0,40,right,60,20,0.8260438969795263,False
0,0,60,2,0,0.6,80,right,left,right,20,0,80,left,20,20,5.009321131321699,False
0,0,60,4,20,1.0,0,left,base,right,20,20,20,base,100,40,4.565402529973866,False
0,0,80,1,0,1.0,80,base,left,base,40,20,40,right,40,20,0.0,True
0,0,80,2,0,0.6,100,left,right,left,20,20,60,right,60,40,1.0401739766022626,False
0,0,80,4,20,0.4,60,base,right,base,40,40,40,right,20,80,2.1616103599183956,False
0,0,100,1,20,0.4,60,left,base,right,60,40,100,base,0,20,6.2416807190201276,False
0,0,100,2,40,0.1,100,base,right,base,80,60,100,left,0,60,3.596306066330018,False
0,0,100,4,80,0.1,0,left,base,base,60,60,40,right,0,60,3.6278470481328475,False
0,20,0,1,40,0.1,100,left,right,base,40,40,80,right,20,40,2.040175844046419,False
0,20,0,2,100,0.1,60,left,right,right,60,80,40,base,40,100,6.050285209890839,False
0,20,0,4,40,0.2,40,right,left,right,40,40,60,base,40,20,0.0,True
0,20,20,1,40,0.6,40,right,left,right,0,40,40,left,60,100,3.3771275856335223,False
0,20,20,2,20,0.8,0,base,right,left,40,20,0,right,100,60,2.9004746579290672,False
0,20,20,4,60,0.2,60,base,right,right,40,40,60,left,20,40,0.0,True
0,20,40,1,40,1.0,80,right,left,left,20,60,100,base,20,100,2.884541751597367,False
0,20,40,2,0,1.0,80,right,left,right,20,20,40,left,40,20,3.0811870143495006,False
0,20,40,4,100,0.1,80,base,right,right,80,80,80,left,20,80,0.0,True
0,20,60,1,20,0.8,0,right,left,right,20,40,0,base,100,60,0.8777791529929877,False
0,20,60,2,60,0.4,60,left,right,right,20,60,0,base,60,100,6.175979517699638,False
0,20,60,4,20,1.0,20,base,left,right,0,20,60,left,60,40,2.097263959183943,False
0,20,80,1,20,0.6,0,base,right,left,0,20,20,right,60,60,2.6666864247422053,False
0,20,80,2,100,0.1,0,right,left,left,60,80,40,base,20,60,3.817268118862566,False
0,20,80,4,20,0.6,0,right,base,left,40,40,60,base,60,100,2.8317494595706414,False
0,20,100,1,0,0.8,20,left,right,right,20,0,0,base,80,20,4.963379829914954,False
0,20,100,2,20,0.6,40,right,left,right,40,40,100,left,20,80,4.514896295154869,False
0,20,100,4,60,0.6,40,right,left,base,20,40,40,left,20,60,7.703056991798103,False
0,40,0,1,80,0.1,60,base,right,right,20,60,60,left,20,80,3.2287085346442947,False
0,40,0,2,100,0.1,40,left,right,base,80,80,100,right,0,80,2.2163190860413526,False
0,40,0,4,40,0.4,20,right,base,right,20,20,80,left,40,60,1.1182010887718956,False
0,40,20,1,0,0.4,60,base,left,right,40,20,20,left,60,80,1.7285448487192687,False
0,40,20,2,40,1.0,40,left,right,left,20,20,40,base,40,60,6.438516063793919,False
0,40,20,4,100,0.2,40,right,left,left,20,80,60,base,20,100,3.9553742270440866,False
0,40,40,1,40,0.1,40,base,right,left,60,60,100,right,20,100,2.7928283024209986,False
0,40,40,2,20,0.2,20,left,right,left,40,20,60,base,40,40,7.785258708759186,False
0,40,40,4,60,0.2,40,left,right,left,40,40,40,base,20,100,9.83136124029599,False
0,40,60,1,20,0.8,60,base,left,base,0,20,20,right,60,60,1.9365863165792983,False
0,40,60,2,80,0.2,20,right,base,right,40,80,20,left,20,100,1.9546564245086837,False
0,40,60,4,40,0.2,20,right,left,right,40,40,60,left,20,20,0.8162701194090721,False
0,40,80,1,40,0.4,40,base,right,base,40,40,20,left,80,20,1.3168600267427555,False
0,40,80,2,60,0.1,0,base,left,base,80,60,20,left,40,80,0.8587358841574104,False
0,40,80,4,40,0.4,60,base,right,base,60,60,80,left,20,60,2.6359325758580847,False
0,40,100,1,40,0.1,0,right,left,right,60,60,20,base,80,80,0.6389512306856672,False
0,40,100,2,40,0.2,60,right,base,base,60,60,60,left,60,100,2.196183224091999,False
0,40,100,4,20,0.8,0,left,right,left,20,40,0,base,40,40,2.0989369430583906,False
0,60,0,1,40,0.4,0,right,left,base,60,60,60,left,20,80,3.767280656311296,False
0,60,0,2,60,0.8,60,left,base,left,20,40,100,right,20,80,1.3742243835011367,False
0,60,0,4,20,1.0,0,base,left,base,20,20,20,right,40,80,2.187987536815157,False
0,60,20,1,80,0.1,80,right,base,right,20,60,100,base,0,80,0.7686956080082343,False
0,60,20,2,60,0.2,0,left,base,left,60,40,0,right,60,80,1.570423515604574,False
0,60,20,4,60,0.6,80,base,left,base,20,40,60,left,20,40,2.959433323504081,False
0,60,40,1,20,1.0,80,left,base,left,0,40,20,right,60,60,1.8737931550271174,False
0,60,40,2,40,0.6,100,right,base,base,0,20,80,left,20,60,2.6573742807061396,False
0,60,40,4,40,0.6,0,right,base,right,20,40,40,base,60,80,0.0,True
0,60,60,1,40,0.4,0,base,left,base,20,40,0,left,100,20,1.992413931962218,False
0,60,60,2,0,0.8,40,base,right,base,20,0,40,right,40,80,2.120039254272615,False
0,60,60,4,40,1.0,40,base,left,right,0,20,0,left,60,40,2.1133137812936114,False
0,60,80,1,20,0.6,60,right,left,left,20,20,60,base,60,60,0.0,True
0,60,80,2,60,0.6,0,base,left,base,40,60,0,right,60,100,1.6533870885194855,False
0,60,80,4,60,0.4,60,base,left,right,40,40,100,left,20,60,2.0871868891577985,False
0,60,100,1,40,0.6,40,left,base,right,40,40,0,base,80,60,5.330098548423573,False
0,60,100,2,20,0.8,80,right,left,right,0,20,80,left,0,100,0.9052940541285955,False
0,60,100,4,40,0.2,40,left,right,base,40,20,20,right,60,40,4.484161989426709,False
0,80,0,1,20,1.0,40,right,base,base,0,20,80,left,40,80,2.7109660272215352,False
0,80,0,2,40,0.6,80,left,right,left,40,40,60,right,40,80,0.8058646807752943,False
0,80,0,4,60,0.2,100,base,left,base,60,40,100,right,0,60,2.3843810628700917,False
0,80,20,1,40,0.2,80,right,base,right,40,60,60,base,20,80,0.8040342596572733,False
0,80,20,2,40,0.8,40,left,base,right,40,40,40,base,40,100,4.725320282101656,False
0,80,20,4,20,0.4,80,left,base,right,60,40,40,base,60,60,3.827693201489322,False
0,80,40,1,100,0.1,0,right,left,right,100,100,20,left,60,100,0.8944088003999086,False
0,80,40,2,20,0.8,20,right,left,left,0,0,20,base,40,0,2.947961991154601,False
0,80,40,4,40,1.0,80,left,base,right,0,20,80,base,40,20,5.0628806354812985,False
0,80,60,1,40,0.1,40,base,right,base,80,60,0,right,60,60,1.5650926698126693,False
