Visibility,VehicleStability,RoadSurface,PathInteraction,StartEgo,RoadFriction,StartOther,Cloudiness,WindIntensity,Wetness,FogDistance,GoalEgo,FogDensity,PrecipitationDeposits,GoalOther,Precipitation,Collision_Occurred,Min_TTC
0,0,0,1,left,0.2,base,80,60,40,60,right,40,80,left,100,False,5.776785288443526
0,0,0,2,right,0.2,base,80,60,40,60,left,40,80,left,100,False,3.2247565146795982
0,0,0,4,left,0.2,right,80,60,40,60,right,40,80,base,100,False,4.278522938088657
0,0,20,1,left,0.6,base,80,60,20,20,right,100,20,left,0,False,5.681202625724688
0,0,20,2,right,0.6,base,80,60,20,20,left,100,20,left,0,False,2.2916900385786723
0,0,20,4,left,0.6,right,80,60,20,20,right,100,20,base,0,False,4.456523938260402
0,0,40,1,left,0.1,base,20,40,20,60,right,80,60,left,40,False,6.1638317317337155
0,0,40,2,right,0.1,base,20,40,20,60,left,80,60,left,40,False,3.2664116272112405
0,0,40,4,left,0.1,right,20,40,20,60,right,80,60,base,40,False,4.451981181810412
0,0,60,1,left,0.2,base,100,0,40,60,right,60,100,left,80,False,4.464744923229792
0,0,60,2,right,0.2,base,100,0,40,60,left,60,100,left,80,False,2.824409559606986
0,0,60,4,left,0.2,right,100,0,40,60,right,60,100,base,80,False,3.1699482020027085
0,0,80,1,left,0.4,base,100,40,20,60,right,40,100,left,80,False,5.951664553821236
0,0,80,2,right,0.4,base,100,40,20,60,left,40,100,left,80,False,2.5663275332802735
0,0,80,4,left,0.4,right,100,40,20,60,right,40,100,base,80,False,4.953039550475649
0,0,100,1,left,0.6,base,80,20,20,60,right,40,80,left,80,False,6.663252164643838
0,0,100,2,right,0.6,base,80,20,20,60,left,40,80,left,80,False,2.7576508606882673
0,0,100,4,left,0.6,right,80,20,20,60,right,40,80,base,80,False,4.71379554068583
0,20,0,1,left,0.4,base,40,40,20,60,right,80,20,left,0,False,4.741469968720494
0,20,0,2,right,0.4,base,40,40,20,60,left,80,20,left,0,False,2.4292300975237224
0,20,0,4,left,0.4,right,40,40,20,60,right,80,20,base,0,False,2.1491387157724526
0,20,20,1,left,0.6,base,0,20,20,60,right,40,20,left,0,False,6.58664944713903
0,20,20,2,right,0.6,base,0,20,20,60,left,40,20,left,0,False,2.6438816547402575
0,20,20,4,left,0.6,right,0,20,20,60,right,40,20,base,0,False,4.8123587612599685
0,20,40,1,left,0.8,base,60,20,40,20,right,100,40,left,20,False,6.4168448896945165
0,20,40,2,right,0.8,base,60,20,40,20,left,100,40,left,20,False,3.5799730882576157
0,20,40,4,left,0.8,right,60,20,40,20,right,100,40,base,20,False,4.661686388476469
0,20,60,1,left,0.4,base,60,40,20,40,right,20,100,left,80,False,5.589007146615038
0,20,60,2,right,0.4,base,60,40,20,40,left,20,100,left,80,False,3.811379448924437
0,20,60,4,left,0.4,right,60,40,20,40,right,20,100,base,80,False,4.467549901196639
0,20,80,1,left,0.4,base,0,80,40,20,right,60,0,left,20,False,4.806884797046155
0,20,80,2,right,0.4,base,0,80,40,20,left,60,0,left,20,False,2.945616865551891
0,20,80,4,left,0.4,right,0,80,40,20,right,60,0,base,20,False,2.768620803453918
0,20,100,1,left,0.6,base,20,60,60,40,right,20,20,left,40,False,5.654255233886596
0,20,100,2,right,0.6,base,20,60,60,40,left,20,20,left,40,False,3.6714287981678053
0,20,100,4,left,0.6,right,20,60,60,40,right,20,20,base,40,False,4.377980934112719
0,40,0,1,left,0.1,base,20,60,60,0,right,60,20,left,40,False,5.367805333400678
0,40,0,2,right,0.1,base,20,60,60,0,left,60,20,left,40,True,2465.2956624236563
0,40,0,4,left,0.1,right,20,60,60,0,right,60,20,base,40,True,5319.080337180929
0,40,20,1,left,0.1,base,20,0,60,40,right,20,20,left,40,False,5.477573832859885
0,40,20,2,right,0.1,base,20,0,60,40,left,20,20,left,40,False,2.590710625029277
0,40,20,4,left,0.1,right,20,0,60,40,right,20,20,base,40,False,4.201593242638605
0,40,40,1,left,0.2,base,100,40,40,60,right,40,100,left,80,False,6.680381721089443
0,40,40,2,right,0.2,base,100,40,40,60,left,40,100,left,80,False,2.6168832176449697
0,40,40,4,left,0.2,right,100,40,40,60,right,40,100,base,80,True,9230.366058453666
0,40,60,1,left,0.2,base,0,40,40,40,right,80,20,left,20,False,5.878673277676697
0,40,60,2,right,0.2,base,0,40,40,40,left,80,20,left,20,False,3.0459060607492643
0,40,60,4,left,0.2,right,0,40,40,40,right,80,20,base,20,False,1.9851030540709822
0,40,80,1,left,0.4,base,40,0,60,20,right,100,60,left,40,False,5.005724856367567
0,40,80,2,right,0.4,base,40,0,60,20,left,100,60,left,40,False,3.6526717175028196
0,40,80,4,left,0.4,right,40,0,60,20,right,100,60,base,40,False,4.010821697197194
0,40,100,1,left,0.6,base,60,40,20,40,right,20,80,left,60,False,6.217710345316822
0,40,100,2,right,0.6,base,60,40,20,40,left,20,80,left,60,False,3.4422264081734837
0,40,100,4,left,0.6,right,60,40,20,40,right,20,80,base,60,True,4073.1591749605686
0,60,0,1,left,0.4,base,60,20,20,60,right,40,100,left,80,False,7.340389840746251
0,60,0,2,right,0.4,base,60,20,20,60,left,40,100,left,80,False,3.327119595769334
0,60,0,4,left,0.4,right,60,20,20,60,right,40,100,base,80,False,4.305982140764988
0,60,20,1,left,0.6,base,60,40,40,60,right,40,60,left,80,False,6.116020802131878
0,60,20,2,right,0.6,base,60,40,40,60,left,40,60,left,80,False,3.1698091742161076
0,60,20,4,left,0.6,right,60,40,40,60,right,40,60,base,80,False,3.590908299666712
0,60,40,1,left,0.8,base,80,40,20,60,right,60,20,left,0,False,6.049420429907392
0,60,40,2,right,0.8,base,80,40,20,60,left,60,20,left,0,False,3.0342812358243383
0,60,40,4,left,0.8,right,80,40,20,60,right,60,20,base,0,False,3.4708470271172787
0,60,60,1,left,0.2,base,40,20,80,20,right,40,40,left,60,False,6.451943871947971
0,60,60,2,right,0.2,base,40,20,80,20,left,40,40,left,60,True,9999.0
