Visibility,VehicleStability,RoadSurface,PathInteraction,PrecipitationDeposits,RoadFriction,WindIntensity,StartEgo,GoalEgo,GoalOther,Wetness,Precipitation,FogDistance,StartOther,FogDensity,Cloudiness,Min_TTC,Collision_Occurred
0,0,0,1,0,1,0,left,right,left,0,0,0,right,100,0,0.8087651705494698,False
0,0,0,2,0,1,0,right,base,right,0,0,0,base,100,0,0.0,True
0,0,0,4,0,1,0,right,left,right,0,0,0,left,100,0,0.803193753706611,False
0,0,20,1,0,1,0,base,left,base,0,0,0,left,100,0,2.8446420998228876,False
0,0,20,2,0,1,0,left,base,right,0,0,0,base,100,0,5.505856058263203,False
0,0,20,4,0,1,0,base,right,base,0,0,0,right,100,0,2.1575381875064736,False
0,0,40,1,0,1,0,base,left,left,0,0,0,right,100,0,3.532738395201224,False
0,0,40,2,0,1,0,left,base,left,0,0,0,base,100,0,3.681745846967353,False
0,0,40,4,0,1,0,base,right,left,0,0,0,right,100,0,3.4941192561175614,False
0,0,60,1,0,1,0,base,right,base,0,0,0,left,100,0,2.7349901396531426,False
0,0,60,2,0,1,0,base,right,right,0,0,0,left,100,0,2.9914764451067795,False
0,0,60,4,0,1,0,right,base,right,0,0,0,left,100,0,1.2853643575806708,False
0,0,80,1,0,1,0,base,left,base,0,0,0,right,100,0,1.6360014056725878,False
0,0,80,2,0,1,0,left,right,right,0,0,0,base,100,0,4.831144629768303,False
0,0,80,4,0,1,0,right,base,left,0,0,0,base,100,0,2.4219112316794074,False
0,0,100,1,0,1,0,left,base,left,0,0,0,right,100,0,1.6721176255623496,False
0,0,100,2,0,1,0,base,left,right,0,0,0,left,100,0,2.0897153944939375,False
0,0,100,4,0,1,0,right,left,base,0,0,0,left,100,0,5.922839957745196,False
0,20,0,1,0,1,0,right,left,right,0,0,0,base,100,0,0.787556823125388,False
0,20,0,2,0,1,0,right,base,base,0,0,0,left,100,0,4.089786504293773,False
0,20,0,4,0,1,0,left,right,left,0,0,0,base,100,0,9.533908670060663,False
0,20,20,1,0,1,0,right,left,left,0,0,0,base,100,0,2.5592495069620265,False
0,20,20,2,0,1,0,left,base,base,0,0,0,right,100,0,0.0,True
0,20,20,4,0,1,0,left,right,base,0,0,0,right,100,0,4.799152709901141,False
0,20,40,1,0,1,0,left,right,right,0,0,0,base,100,20,5.16213293474764,False
0,20,40,2,0,1,0,left,base,right,0,0,0,base,100,20,5.608068773424404,False
0,20,40,4,0,1,0,right,base,left,0,0,0,base,100,20,2.7236537948647803,False
0,20,60,1,0,1,0,left,base,left,0,0,0,right,100,20,1.606689159092042,False
0,20,60,2,0,1,0,left,right,base,0,0,0,right,100,20,1.8784506920281807,False
