Visibility,VehicleStability,RoadSurface,PathInteraction,GoalOther,Wetness,GoalEgo,FogDensity,TimeOfDay,WindIntensity,FogDistance,Cloudiness,StartOther,Precipitation,PrecipitationDeposits,StartEgo,RoadFriction,Min_TTC,Collision_Occurred
0,0,0,c1,right,40,right,60,-90,40,40,20,left,40,40,base,0.2,2.446890351151313,False
0,0,0,c2,left,40,right,60,60,20,20,80,base,40,40,left,0.1,4.0537666805435,False
0,0,0,c4,left,40,base,40,60,40,40,40,right,20,0,left,0.6,3.2793610257571624,False
0,0,20,c1,right,0,right,0,30,100,100,0,base,0,20,left,0.8,3.3643696935574328,False
0,0,20,c2,left,40,right,20,90,0,40,20,right,40,60,base,0.4,2.135559848032731,False
0,0,20,c4,right,20,base,0,90,100,100,20,left,20,40,right,0.4,1.0486381465877361,False
0,0,40,c1,base,80,base,20,0,20,20,60,left,80,60,right,0.1,2.135603380705704,False
0,0,40,c2,base,20,right,20,60,80,100,80,right,20,20,left,1.0,2.744787493777378,False
0,0,40,c4,right,0,base,60,90,20,40,60,base,20,0,left,1.0,5.144817363331949,False
0,0,60,c1,base,20,right,40,-90,20,20,20,right,20,20,left,0.8,2.0301609690473486,False
0,0,60,c2,right,40,base,40,-90,40,80,100,base,40,40,left,0.2,4.250498844831662,False
0,0,60,c4,left,40,right,60,-30,20,20,40,right,60,60,base,0.4,3.048305682863672,False
0,0,80,c1,base,60,left,40,30,20,20,60,right,40,40,base,0.1,1.672563248367729,False
0,0,80,c2,right,0,base,40,0,60,20,80,left,20,40,right,1.0,1.1304500464233687,False
0,0,80,c4,right,40,base,80,60,20,0,40,base,60,60,right,0.1,1.187689456515727,False
0,0,100,c1,right,0,left,80,-90,20,0,40,left,0,20,base,0.6,2.8311405765215967,False
0,0,100,c2,left,20,right,100,90,0,20,40,base,20,20,left,0.4,4.6628045981879405,False
0,0,100,c4,left,40,right,100,90,20,0,40,right,20,20,base,0.6,2.5463509265376425,False
0,20,0,c1,base,20,right,80,0,0,0,40,right,20,20,left,1.0,1.859370805306112,False
0,20,0,c2,right,40,left,40,-90,60,20,40,base,20,20,right,0.6,1.1124797555471788,False
0,20,0,c4,left,0,base,40,30,60,60,80,base,40,20,right,0.8,2.54911849883761,False
0,20,20,c1,base,0,right,40,60,40,60,0,right,20,20,left,0.8,3.0950974952134667,False
0,20,20,c2,left,0,right,40,-30,20,40,0,right,20,40,left,0.6,0.8791840489482837,False
0,20,20,c4,base,40,right,20,30,80,100,80,right,40,40,left,0.2,3.9967445781399435,False
0,20,40,c1,base,20,right,20,30,20,40,60,right,40,40,left,0.6,3.2280695859639637,False
0,20,40,c2,right,40,base,20,-90,40,40,40,left,20,20,right,0.8,0.8391985669311366,False
0,20,40,c4,right,20,base,0,30,60,100,60,base,20,20,left,0.6,5.650283131757848,False
0,20,60,c1,right,60,left,40,90,0,40,40,left,40,40,right,0.1,0.8329706645364657,False
