feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
-90,right,0.1,100,100,40,20,60,40,0,0,1.4757290750471324,182.4417905807495,0
0,left,0.8,80,100,100,0,40,80,20,0,1.3816008142749905,81.28658080101013,0
-30,left,0.2,0,60,0,60,0,0,40,0,1.6317906024069155,77.38579845428467,0
-60,left,0.4,20,80,20,40,80,20,80,0,1.3920984051079437,78.83899903297424,0
0,right,0.6,20,20,60,60,20,60,60,0,1.7979294322251635,102.73511838912964,0
0,right,1.0,40,0,100,80,100,100,40,0,2.274462382967889,111.209810256958,0
60,right,0.8,80,60,80,100,20,20,100,0,1.311458375813343,156.8383445739746,0
90,right,0.6,60,40,40,80,0,80,100,0,1.5492106328881186,101.80639457702635,0
30,left,1.0,0,40,80,20,40,100,80,0,1.1585716181477868,83.47880744934082,0
60,right,0.2,60,20,100,0,80,0,0,0,1.817370197717393,159.5967161655426,0
90,right,1.0,80,80,60,40,60,0,40,0,1.2101924935601238,160.34178113937378,0
-60,left,0.4,100,40,100,100,100,40,60,0,1.3648843653920262,76.99072360992432,0
0,right,0.8,0,0,20,40,0,60,0,0,0.8659054995383481,87.45184302330017,0
-60,left,0.6,40,80,0,100,20,100,0,0,1.610994317814179,143.78300309181213,0
90,left,0.2,40,100,100,60,60,60,80,0,1.4584747003797458,75.0688259601593,0
90,left,0.1,60,20,80,40,100,40,20,0,1.373232901216258,75.52246260643005,0
90,right,0.1,20,0,20,100,40,0,60,0,0.9598436707737866,104.59292316436768,0
-90,left,1.0,60,100,0,60,80,20,100,0,1.380024656066119,78.53723502159119,0
60,right,0.4,40,60,60,20,100,80,20,0,1.2293202943562742,159.2281630039215,0
0,left,0.2,100,80,60,20,0,20,100,0,1.4752854635298451,77.85933876037598,0
30,right,0.8,40,80,40,60,80,40,60,0,1.511964429032045,148.91902089118958,0
60,left,0.4,100,80,80,80,40,60,0,0,1.3694866290282988,76.46798491477966,0
60,left,0.6,0,20,100,100,60,80,40,0,1.373379580942668,74.6613085269928,0
60,left,1.0,20,40,80,0,0,0,20,0,1.404604002981546,75.36770820617676,0
60,left,0.1,0,0,40,80,20,0,80,0,1.359581296891475,74.83654594421387,0
90,right,0.8,100,20,60,80,80,100,80,0,1.6210336167753672,140.03037333488464,0
90,left,0.6,100,60,20,0,20,40,40,0,1.335978909298445,76.24350690841675,0
0,right,0.4,0,100,60,100,80,40,40,0,0.7799908038748264,84.9314877986908,0
60,left,0.2,80,100,20,40,100,100,60,0,1.3231180073999154,75.98105573654175,0
60,right,0.2,60,0,0,100,40,40,20,0,0.9079330783179216,104.07789492607117,0
30,right,0.4,40,20,80,0,60,60,100,0,0.7215876399401295,82.94615173339844,0
-30,left,0.2,80,40,40,20,20,80,0,0,0.9524899589382262,101.416437625885,0
-60,right,0.1,60,60,100,20,40,60,100,0,0.8161620771902266,153.4620406627655,0
90,left,0.8,0,80,0,0,100,20,60,0,1.3587631321102178,75.1109561920166,0
60,right,0.8,20,40,0,20,80,60,40,0,0.7213340153413017,149.96594882011414,0
-30,right,0.6,100,0,20,60,60,20,20,0,0.825571299238073,112.74011874198914,0
30,right,1.0,80,20,40,100,0,20,80,0,0.910940465153336,97.42125797271729,0
90,left,1.0,20,60,60,60,40,80,0,0,1.4860169272426071,73.9389717578888,0
-30,right,0.4,40,100,20,80,20,0,100,0,2.228358493972285,165.97890377044678,0
-60,right,0.1,20,20,0,80,0,80,20,0,0.8610820437927773,99.2127799987793,0
60,left,0.1,80,0,60,0,80,20,60,0,1.4240567235031794,74.50705766677856,0
-90,left,0.6,80,60,100,80,0,60,60,0,1.7461021672132235,80.45754814147949,0
0,left,1.0,20,20,40,40,40,40,100,0,1.5810639018121733,75.88412475585938,0
-60,right,0.2,0,0,80,60,80,100,20,0,0.7899691516330167,113.61819314956664,0
30,left,0.6,0,0,0,40,100,80,100,0,1.3387957010321954,74.47062063217163,0
60,left,0.4,20,0,100,20,60,100,0,0,1.4541199361737027,75.00235056877136,0
-60,right,0.6,40,40,60,0,100,0,80,0,2.0040315507612867,168.02200150489807,0
-90,right,0.2,20,0,80,40,20,20,40,0,0.879190499606067,95.85502076148988,0
-60,right,0.4,40,100,40,40,40,80,40,0,0.8826886955500609,114.55694675445557,0
0,left,1.0,100,60,0,100,60,60,20,0,1.3197402609517903,77.55520629882812,0
-60,right,0.2,60,60,20,0,60,80,60,0,0.971102283390232,99.93012881278992,0
90,right,0.4,60,100,80,100,0,100,0,0,1.513492148676233,157.4026279449463,0
60,right,0.1,80,80,20,60,0,40,80,0,1.4676645394621637,102.41078495979308,0
30,right,0.2,80,40,60,80,40,0,100,0,0.7217640219409016,149.2450783252716,0
-30,left,1.0,40,20,0,20,40,20,60,0,0.9852696015498325,105.1203474998474,0
60,left,0.1,40,80,100,40,80,100,100,0,1.3844019562174874,75.3737530708313,0
90,right,0.2,0,40,20,80,100,40,0,0,1.7476334127962443,160.11529541015625,0
0,right,0.4,20,60,40,0,0,100,80,0,1.6521573696402656,166.5861337184906,0
90,left,0.1,0,100,80,20,20,60,40,0,1.3671435516460777,75.92698431015015,0
90,left,0.6,20,100,40,0,80,60,20,0,1.3640137182076677,75.52238202095032,0
90,right,0.2,80,0,100,20,0,20,20,0,1.1066538163731947,106.88832306861876,0
-30,right,1.0,60,80,40,60,100,60,40,0,0.81068075152252,163.0504593849182,0
30,left,1.0,60,80,60,80,20,40,20,0,1.461899179838306,75.47570061683655,0
90,right,1.0,40,40,80,100,80,80,60,0,0.8506300738161895,149.74963092803955,0
30,left,0.4,80,40,0,60,60,40,40,0,1.3346801723727204,75.57267045974731,0
30,left,0.2,20,60,0,20,100,40,80,0,1.3723044213913178,74.48615527153015,0
30,left,0.8,80,0,80,60,100,0,0,0,1.344246161267577,75.82407593727112,0
-90,left,0.8,20,0,100,80,60,40,100,0,1.428559668844502,78.63120150566101,0
