feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,40,0,60,40,-90,0,60,80,0.8,False,1.502,0
right,40,0,20,20,-30,80,40,100,0.2,False,0.837,0
left,0,60,0,80,0,0,0,40,1.0,False,1.371,0
right,0,0,0,100,-60,20,0,40,0.6,False,0.761,0
right,40,60,0,40,-30,80,60,20,0.8,False,0.904,0
right,0,60,100,80,0,100,80,100,1.0,False,0.849,0
right,80,100,60,40,30,0,100,20,1.0,False,0.861,0
left,60,100,40,20,-30,40,80,60,0.1,False,1.481,0
right,60,80,40,0,-60,80,0,100,0.4,False,0.956,0
left,40,20,60,80,30,100,0,100,0.4,False,1.332,0
right,100,100,20,80,0,20,20,80,0.6,False,0.866,0
right,60,0,0,20,0,20,0,40,0.4,False,0.916,0
right,0,0,0,100,-60,20,0,40,0.6,False,0.998,0
right,0,0,20,100,90,40,20,60,0.4,False,1.017,0
right,100,0,0,100,-60,40,0,60,0.8,False,0.906,0
left,20,0,0,100,-60,0,0,60,0.4,False,1.433,0
left,20,0,0,80,-60,0,0,40,0.6,False,1.397,0
right,0,80,0,80,-60,20,80,40,0.4,False,0.746,0
right,20,20,20,60,-90,20,20,60,0.8,False,1.04,0
right,40,20,20,40,-90,0,0,20,0.8,False,0.79,0
right,0,20,0,80,-60,0,0,20,0.6,False,0.847,0
left,20,0,100,100,-90,40,0,20,0.6,False,1.721,0
left,0,0,100,100,-60,20,0,60,0.8,False,1.422,0
right,20,0,0,80,-90,40,20,20,0.1,False,1.745,0
right,0,80,0,80,-60,20,80,40,0.4,False,0.864,0
left,20,0,100,80,-30,60,20,40,0.6,False,1.394,0
right,20,0,0,100,-60,20,0,40,0.8,False,0.907,0
left,20,0,80,100,-90,40,0,20,0.8,False,1.716,0
left,0,0,0,100,30,20,20,60,0.4,False,1.57,0
left,0,0,40,100,-90,0,40,60,0.4,False,1.41,0
left,80,60,100,100,-90,0,0,60,0.2,False,1.423,0
left,0,0,20,60,-60,20,0,20,0.2,False,1.425,0
left,20,0,20,40,90,40,20,80,0.8,False,1.457,0
left,0,0,20,100,-30,0,0,40,0.4,False,1.415,0
right,20,80,80,100,-60,20,0,100,0.8,False,0.952,0
right,80,40,80,40,-90,0,0,0,1.0,False,1.012,0
right,0,80,0,80,-60,20,80,40,0.4,False,0.77,0
left,80,60,100,80,90,0,0,60,0.2,False,1.382,0
right,20,0,100,40,60,0,20,80,0.2,False,1.82,0
right,0,0,0,100,-90,80,0,60,1.0,False,0.826,0
left,80,40,100,80,-90,20,0,60,0.2,False,1.402,0
left,40,40,80,100,30,0,0,80,1.0,False,0.952,0
left,100,40,100,20,-90,20,0,0,1.0,False,1.395,0
right,0,20,40,60,90,20,20,80,1.0,False,2.446,0
right,20,20,40,0,90,40,20,80,0.8,False,1.693,0
left,20,0,20,100,-60,0,40,80,0.2,False,1.498,0
left,40,20,0,100,-90,20,20,40,1.0,False,1.387,0
left,0,0,20,80,-30,0,20,40,0.1,False,1.399,0
right,0,80,0,80,-60,20,80,40,0.4,False,0.876,0
right,0,20,80,100,-60,20,40,60,0.2,False,0.755,0
right,0,20,20,60,90,40,80,60,1.0,False,0.906,0
right,100,40,100,80,90,0,20,80,0.2,False,0.772,0
left,20,20,40,60,-30,0,40,60,0.1,False,1.401,0
right,100,60,80,20,30,100,0,20,0.8,False,0.941,0
left,0,0,20,100,-90,80,0,60,1.0,False,1.389,0
right,20,40,20,0,90,40,20,80,0.6,False,1.751,0
left,20,0,0,60,-60,0,40,40,0.2,False,1.412,0
right,20,20,0,100,60,0,20,40,1.0,False,0.899,0
right,60,40,0,100,-90,20,0,40,0.8,False,0.834,0
left,0,20,20,80,30,80,0,20,0.4,False,1.34,0
right,0,20,80,100,-60,20,40,60,0.2,False,1.176,0
right,0,80,80,20,30,100,0,40,0.8,False,0.853,0
right,0,0,40,60,0,60,0,0,0.2,False,0.901,0
right,60,40,80,20,-90,20,0,60,0.6,False,0.767,0
right,100,60,60,80,60,0,0,60,0.2,False,0.934,0
left,0,20,80,100,30,80,60,0,0.6,False,1.359,0
right,100,60,80,20,30,100,20,20,0.8,False,2.153,0
right,100,40,0,100,90,0,0,40,0.8,False,0.799,0
right,40,40,20,0,90,60,0,80,0.4,False,1.473,0
left,0,0,20,80,0,0,20,60,0.2,False,1.521,0
left,20,60,40,60,-30,0,40,80,0.1,False,1.399,0
right,0,100,0,80,-60,20,100,40,0.8,False,0.889,0
right,0,0,0,100,-60,20,0,40,0.6,False,1.108,0
left,60,100,20,40,-30,40,80,60,0.1,False,1.402,0
right,40,60,20,40,-30,80,40,40,0.8,False,0.831,0
right,80,100,60,40,30,0,100,20,1.0,False,2.171,0
right,0,80,0,60,-60,40,100,20,0.4,False,1.489,0
right,40,20,20,40,-30,80,40,100,0.4,False,0.803,0
right,20,100,20,80,0,20,0,100,0.6,False,1.968,0
left,20,60,0,40,-60,80,60,20,0.8,False,0.931,0
right,40,60,0,40,-30,80,40,20,0.1,False,0.767,0
right,100,0,20,0,-30,80,40,100,0.2,False,0.782,0
left,40,20,60,40,-90,20,60,80,0.8,False,1.534,0
left,40,0,60,60,-90,20,60,80,0.8,False,1.505,0
right,40,60,0,40,-30,80,40,20,0.1,False,0.98,0
right,40,60,0,80,-30,100,60,40,0.2,False,0.755,0
right,40,40,0,40,-30,80,40,20,0.1,False,1.185,0
right,0,20,0,60,0,60,40,20,0.1,False,0.897,0
right,40,40,0,20,-30,60,60,20,0.2,False,0.935,0
right,40,60,20,60,0,80,40,40,0.1,False,1.746,0
right,60,40,20,40,60,100,60,20,0.1,False,0.972,0
right,0,80,0,20,-90,80,40,0,0.1,False,0.812,0
right,20,100,0,20,-60,100,40,0,0.1,False,1.084,0
left,40,40,20,40,-30,100,20,40,0.1,False,0.86,0
right,40,60,0,20,-30,80,60,40,0.2,False,1.799,0
right,100,60,0,40,-30,60,40,40,0.8,False,1.062,0
right,40,60,0,80,-30,100,60,40,0.2,False,1.011,0
right,20,100,0,40,-60,80,40,20,0.8,False,0.86,0
right,0,100,0,20,-60,80,40,0,0.1,False,0.821,0
right,20,80,20,20,-90,100,0,0,0.1,False,1.346,0
left,40,40,20,60,0,40,20,40,0.1,False,1.433,0
left,40,40,0,40,-30,60,40,20,0.2,False,1.16,0
right,100,80,0,40,0,60,100,40,0.6,False,1.607,0
right,60,40,0,20,-90,60,20,40,0.1,False,0.863,0
left,20,0,0,40,-90,100,40,0,0.2,False,1.389,0
right,100,60,0,40,-60,60,20,60,0.4,False,1.069,0
left,100,40,0,40,-30,80,40,40,0.6,False,0.845,0
left,40,40,20,60,0,0,20,20,0.2,False,1.46,0
right,0,100,0,20,-60,80,40,0,0.1,False,0.82,0
left,40,80,0,20,30,60,20,0,1.0,False,1.326,0
right,100,100,20,20,-90,80,0,20,0.1,False,1.468,0
left,40,20,20,0,-30,40,80,0,1.0,False,1.361,0
right,0,100,0,60,-30,60,20,20,0.8,False,0.82,0
right,60,40,20,20,90,80,40,0,0.2,False,1.85,0
left,20,100,40,80,-90,100,0,40,0.1,False,0.639,0
right,40,80,80,80,-60,80,60,20,0.1,False,1.589,0
left,100,80,0,40,30,40,100,40,0.6,False,1.682,0
right,20,80,0,0,-90,80,60,100,0.1,False,0.817,0
right,0,100,20,80,-30,80,0,0,0.2,False,1.433,0
left,100,40,20,20,-30,80,40,40,0.6,False,1.113,0
left,20,100,40,80,-90,100,0,40,0.1,False,0.552,0
right,60,100,80,60,-60,80,80,40,0.2,False,0.777,0
left,80,80,40,0,-90,60,20,0,0.6,False,0.993,0
right,0,80,20,80,-90,80,0,60,0.6,False,0.978,0
left,40,0,20,0,-30,40,80,0,1.0,False,1.388,0
right,40,40,100,80,-30,60,80,20,0.1,False,0.92,0
right,80,20,20,40,90,20,40,0,0.2,False,1.79,0
right,40,20,20,20,90,60,20,20,0.2,False,2.223,0
left,60,40,40,40,-30,60,40,60,0.8,False,1.37,0
right,100,80,40,0,-90,80,80,20,0.1,False,0.74,0
left,100,40,0,0,60,100,40,60,0.2,False,1.309,0
right,20,60,80,80,-30,100,60,20,0.2,False,0.95,0
left,20,100,40,80,-90,100,0,40,0.1,False,1.622,0
right,0,80,60,60,0,100,60,100,0.2,False,1.902,0
right,0,80,40,100,-90,40,0,60,0.8,False,0.954,0
right,0,100,20,60,-60,100,0,40,0.1,False,1.46,0
left,100,40,0,0,60,80,60,80,0.1,False,1.424,0
right,60,100,80,80,-60,60,0,40,0.4,False,0.996,0
right,80,0,80,40,90,100,60,20,0.4,False,1.498,0
left,20,60,100,60,-30,100,40,20,0.1,False,0.907,0
right,60,40,60,40,90,80,40,20,0.2,False,1.129,0
right,100,80,20,0,-90,40,40,20,0.6,False,1.446,0
right,100,20,0,0,90,80,20,100,0.4,False,0.982,0
right,40,80,20,80,-30,80,60,20,0.4,False,0.852,0
right,0,0,0,100,-60,20,0,40,0.6,False,0.854,0
right,80,100,60,40,30,0,100,20,0.1,False,1.14,0
right,80,100,60,20,0,20,100,0,1.0,False,0.728,0
left,20,100,60,80,-90,100,0,40,0.1,False,0.544,0
right,0,0,0,100,-60,40,0,40,0.6,False,0.786,0
right,60,80,40,80,-90,100,20,60,0.1,False,1.596,0
left,20,60,20,40,-30,40,100,40,0.8,False,1.43,0
right,0,0,20,100,-30,20,20,40,0.1,False,0.744,0
left,20,100,20,80,-90,80,0,40,0.4,False,0.777,0
right,20,100,20,80,0,0,0,100,0.6,False,0.941,0
right,80,80,60,40,60,0,100,0,1.0,False,0.821,0
right,80,0,20,0,-30,80,20,100,0.2,False,0.783,0
left,20,100,60,80,-90,100,0,40,0.1,False,1.211,0
right,80,80,60,80,-90,100,0,40,0.2,False,0.843,0
left,20,100,0,0,-90,100,60,60,0.1,False,0.964,0
left,20,0,80,0,-90,100,0,40,0.1,False,0.835,0
left,40,80,60,60,-60,100,0,60,0.1,False,1.256,0
right,20,100,40,60,-60,0,0,60,0.1,False,0.751,0
left,40,20,60,100,-30,100,0,40,0.1,False,1.364,0
left,0,100,60,80,-90,0,0,20,0.8,False,1.424,0
left,40,100,40,80,-60,80,0,40,0.1,False,1.502,0
left,0,80,40,80,-90,80,0,40,0.8,False,0.576,0
left,100,80,60,80,-90,100,20,0,0.2,False,1.358,0
left,20,100,60,80,0,60,0,40,0.1,False,1.391,0
left,0,80,40,80,-90,80,0,40,0.8,False,0.714,0
right,40,0,40,40,0,100,20,100,0.2,False,2.015,0
right,0,100,40,60,-90,60,20,60,0.6,False,0.874,0
left,0,40,20,100,-90,80,0,20,1.0,False,1.388,0
left,20,0,60,0,-90,100,0,40,0.6,False,0.73,0
right,20,100,60,60,90,80,20,40,0.1,False,1.974,0
left,40,80,60,40,-60,80,0,60,0.2,False,1.331,0
left,40,20,80,100,-30,100,0,60,0.1,False,0.775,0
left,0,80,60,100,-90,0,0,0,0.6,False,1.419,0
left,100,100,60,20,-90,0,0,20,0.8,False,1.539,0
left,20,100,60,60,-30,60,80,60,0.1,False,1.358,0
left,20,80,80,100,-60,100,0,20,0.6,False,0.51,0
left,20,80,80,100,-60,100,0,20,0.6,False,0.687,0
left,20,60,0,100,-60,100,20,40,1.0,False,0.936,0
left,100,80,80,0,-60,0,0,100,1.0,False,1.468,0
left,20,100,60,60,0,40,60,60,0.4,False,1.458,0
right,20,20,80,0,60,100,60,40,0.6,False,0.915,0
left,80,100,60,0,-90,20,0,40,0.6,False,1.425,0
left,40,80,60,20,90,80,0,80,1.0,False,1.35,0
right,100,20,60,60,0,60,40,40,0.6,False,0.8,0
right,40,100,40,80,0,80,60,60,0.1,False,1.415,0
right,40,60,60,0,-90,80,0,80,0.8,False,2.576,0
left,0,60,60,40,-90,80,20,60,0.8,False,1.061,0
right,40,20,100,100,-60,100,20,60,0.1,False,0.936,0
left,20,80,80,100,-60,100,0,20,0.6,False,0.524,0
right,100,20,80,80,-90,100,0,60,0.2,False,0.882,0
left,20,60,60,60,-60,80,40,60,0.8,False,1.141,0
