feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,20,60,100,0,-90,80,0,40,0.8,False,0.863,0
left,80,20,0,0,0,60,0,20,0.1,False,1.224,0
right,0,80,0,20,60,100,80,0,0.8,False,0.763,0
right,0,20,0,80,90,20,40,60,0.2,False,0.756,0
left,80,40,80,100,-60,0,80,80,1.0,False,1.189,0
left,40,0,80,100,-90,80,0,80,0.2,False,1.048,0
right,100,80,60,40,0,80,60,40,0.4,False,0.934,0
left,20,100,20,0,30,40,80,60,0.4,False,0.967,0
right,40,80,0,0,30,60,20,40,0.2,False,0.828,0
right,60,0,100,0,90,80,80,40,0.4,False,0.902,0
right,80,60,80,60,-90,0,40,60,1.0,False,0.846,0
left,0,100,100,40,60,80,100,60,0.4,False,1.045,0
right,0,20,0,80,90,20,40,60,0.2,False,0.785,0
right,0,40,0,60,0,40,40,60,0.2,False,0.844,0
right,0,20,0,60,-60,40,60,60,0.2,False,0.843,0
left,100,20,0,60,60,0,20,60,0.2,False,1.193,0
left,0,40,0,100,90,0,100,20,0.4,False,1.173,0
left,0,0,0,60,90,20,40,60,0.2,False,1.128,0
left,0,20,20,80,90,20,60,40,0.2,False,1.055,0
left,20,0,0,80,60,40,100,40,0.2,False,1.092,0
left,20,20,60,80,60,100,40,60,0.2,False,1.201,0
left,0,20,0,60,90,20,80,40,0.2,False,1.117,0
right,0,20,0,100,90,0,20,40,0.1,False,0.735,0
right,20,40,0,80,90,0,40,80,0.2,False,0.759,0
right,0,20,0,100,90,0,20,40,0.1,False,0.775,0
right,0,0,0,60,-60,20,80,80,0.4,False,4.726,0
left,40,0,60,60,60,60,40,60,0.2,False,1.114,0
right,0,0,0,80,90,0,40,60,0.2,False,0.8,0
left,0,20,20,80,90,40,40,60,0.1,False,1.197,0
right,60,20,80,60,60,100,0,60,0.4,False,0.791,0
left,0,40,0,100,90,20,80,60,0.1,False,1.144,0
left,20,0,0,40,60,0,20,80,1.0,False,1.19,0
right,0,20,0,60,60,40,60,80,0.2,False,0.806,0
