feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
-90,20,80,0,0,0,0.8,0,100,left,0,0,0,0.008,0,1.374401903081339,77.69467306137085,0
90,60,20,0,0,0,0.8,0,100,right,0,0,20,0.00147,0,0.7225421076160803,83.37082648277283,0
30,20,100,0,0,0,0.8,0,100,left,0,0,40,0.003,0,1.3057553246508635,73.80362820625305,0
-30,20,20,0,0,0,0.8,0,100,right,0,0,60,0.0032,0,2.3031953589284218,107.0823962688446,0
90,20,100,0,0,0,0.8,0,100,right,0,0,80,0.00299,0,1.0751971202328452,159.28064632415771,0
-30,20,100,0,0,0,0.8,0,100,right,0,0,100,0.00353,0,0.8593981292550429,105.36702275276184,0
30,20,20,0,0,0,0.8,0,100,left,0,20,0,0.00306,0,1.5828489039207665,73.4428060054779,0
-90,60,40,0,0,0,0.8,0,100,right,0,20,20,0.00237,0,1.79440062976956,160.1114890575409,0
30,20,60,0,0,0,0.8,0,100,right,0,20,40,0.00321,0,0.8205004239868284,116.10995244979858,0
90,20,60,0,0,0,0.8,0,100,left,0,20,60,0.0029,0,1.3524990736784652,74.89159679412842,0
-30,20,60,0,0,0,0.8,0,100,left,0,20,80,0.00309,0,1.366408619734754,77.34521508216858,0
-90,20,20,0,0,0,0.8,0,100,left,0,20,100,0.0053,0,1.3648981182605435,77.19210767745972,0
-90,60,100,0,0,0,0.8,0,100,right,0,40,0,0.00169,0,0.7802059226482218,151.9596447944641,0
90,60,20,0,0,0,0.8,0,100,left,0,40,20,0.00165,0,1.3451950441740763,74.62143731117249,0
60,20,20,0,0,0,0.8,0,100,right,0,40,40,0.00378,0,0.7408114710430118,83.07593488693237,0
-60,20,60,0,0,0,0.8,0,100,right,0,40,60,0.00286,0,0.8409107110576037,103.24049592018127,0
-60,60,40,0,0,0,0.8,0,100,left,0,40,80,0.00145,0,1.373517708397172,76.32315492630005,0
-90,20,20,0,0,0,0.8,0,100,right,0,40,100,0.00528,0,0.750719717262306,151.9420669078827,0
-90,60,100,0,0,0,0.8,0,100,left,0,60,0,0.00175,0,1.395178012922608,76.65453457832336,0
0,40,80,0,0,0,0.8,0,100,left,0,60,20,0.00152,0,1.536915133538276,74.99901175498962,0
0,40,40,0,0,0,0.8,0,100,right,0,60,40,0.00173,0,1.1366074975999536,164.18082356452942,0
30,60,40,0,0,0,0.8,0,100,left,0,60,60,0.00145,0,1.442706564273657,74.55741906166077,0
-30,20,100,0,0,0,0.8,0,100,left,0,60,80,0.00343,0,1.3643053665380382,78.00294494628906,0
30,20,100,0,0,0,0.8,0,100,right,0,60,100,0.00321,0,1.31953943356307,129.8253710269928,0
90,20,60,0,0,0,0.8,0,100,right,0,80,0,0.0029,0,1.8331338178960623,161.60708379745483,0
90,20,100,0,0,0,0.8,0,100,left,0,80,20,0.00282,0,1.353350572890629,74.65981245040894,0
-90,20,100,0,0,0,0.8,0,100,right,0,80,40,0.00608,0,2.078576223344076,160.44521307945251,0
0,40,80,0,0,0,0.8,0,100,right,0,80,60,0.00161,0,1.5121823418407956,150.40658617019653,0
90,20,20,0,0,0,0.8,0,100,left,0,80,80,0.00404,0,1.3743093719923185,74.44196653366089,0
30,20,60,0,0,0,0.8,0,100,left,0,80,100,0.00346,0,1.4667754129256294,74.44349956512451,0
-90,20,60,0,20,40,0.8,0,100,left,0,100,0,0.00152,0,1.3910889874308234,77.98751187324524,0
-30,20,20,0,0,0,0.8,0,100,left,0,100,20,0.00305,0,1.3764943860280874,80.08094215393066,0
-90,60,60,0,0,0,0.8,0,100,left,0,100,40,0.00213,0,1.3737605539141284,78.29458498954773,0
60,20,40,0,0,0,0.8,0,100,left,0,100,60,0.00401,0,1.3668014426116253,74.58199954032898,0
-90,60,20,0,0,0,0.8,0,100,left,0,100,80,0.0015,0,1.3697970518593323,77.41393303871155,0
0,20,40,0,0,0,0.8,0,100,left,0,100,100,0.00408,0,1.3774818931629302,77.21916317939758,0
-60,20,40,0,0,0,0.8,0,100,left,20,0,0,0.00332,0,1.384514800966372,76.58834457397461,0
60,20,80,0,0,0,0.8,0,100,right,20,0,20,0.00302,0,1.49834866141813,161.4066367149353,0
60,20,80,0,0,0,0.8,0,100,left,20,0,40,0.00299,0,1.3738754250543157,74.75452542304993,0
-90,20,60,0,0,0,0.8,0,100,right,20,0,60,0.00756,0,1.906451618845056,159.91469502449036,0
90,20,20,0,0,0,0.8,0,100,right,20,0,80,0.00375,0,0.8755443954128894,104.9259352684021,0
-60,20,80,0,0,0,0.8,0,100,left,20,0,100,0.00368,0,1.37630387397499,77.74185347557068,0
60,60,60,0,0,0,0.8,0,100,left,20,20,0,0.00152,0,1.904583859964996,76.6239013671875,0
30,60,40,0,0,0,0.8,0,100,right,20,20,20,0.00146,0,0.9988000251167866,97.4768452644348,0
-60,20,20,0,0,0,0.8,0,100,right,20,20,40,0.00398,0,0.8998423462118835,110.24776339530943,0
-60,20,100,0,0,0,0.8,0,100,right,20,20,60,0.00373,0,1.9154026365197527,158.7470223903656,0
30,20,20,0,0,0,0.8,0,100,right,20,20,80,0.00336,0,1.7508963411305152,98.07948136329652,0
-30,20,60,0,0,0,0.8,0,100,right,20,20,100,0.00375,0,0.7270327153721491,99.16816401481628,0
0,20,60,0,0,0,0.8,0,100,right,20,40,0,0.00369,0,0.8270870785876933,107.8980987071991,0
0,20,100,0,0,0,0.8,0,100,right,20,40,20,0.00343,0,1.0608168032148546,163.10596179962158,0
60,60,40,0,0,0,0.8,0,100,right,20,40,40,0.00156,0,0.7137555534747823,83.61715292930603,0
0,20,100,0,0,0,0.8,0,100,left,20,40,60,0.00323,0,1.4818465856286267,75.2218976020813,0
0,20,20,0,0,0,0.8,0,100,right,20,40,80,0.00278,0,1.5296786693138205,163.19723987579346,0
-30,40,80,0,0,0,0.8,0,100,left,20,40,100,0.00164,0,1.354225146224486,77.30684232711792,0
-30,40,40,0,0,0,0.8,0,100,right,20,60,0,0.0015,0,0.7745527402167388,153.21004128456116,0
-60,40,40,0,0,0,0.8,0,100,right,20,60,20,0.0015,0,2.0543252416743054,161.61787176132202,0
90,40,40,0,0,0,0.8,0,100,right,20,60,40,0.00151,0,1.9796593064647567,157.74972128868103,0
-90,40,40,0,0,0,0.8,0,100,left,20,60,60,0.00308,0,1.4063330266133744,75.78165984153748,0
-90,40,80,0,0,0,0.8,0,100,right,20,60,80,0.0026,0,1.3157098947553898,163.45900130271912,0
-90,20,60,0,0,0,0.8,0,100,left,20,60,100,0.00784,0,1.3771534678764157,77.82083201408386,0
-60,60,20,0,0,0,0.8,0,100,right,20,80,0,0.00148,0,0.8131734520747036,103.83644771575928,0
60,20,60,0,0,0,0.8,0,100,right,20,80,20,0.00344,0,1.509976432359371,161.29960989952087,0
60,60,20,0,0,0,0.8,0,100,left,20,80,40,0.00155,0,1.3620220558673517,75.10639023780823,0
-30,40,80,0,0,0,0.8,0,100,right,20,80,60,0.00149,0,1.4896309389873326,160.46306371688843,0
-60,20,20,0,0,0,0.8,0,100,left,20,80,80,0.00394,0,1.402533754476707,77.192227602005,0
-30,40,40,0,0,0,0.8,0,100,left,20,80,100,0.00159,0,1.3669714778477078,77.06344318389893,0
60,20,20,0,0,0,0.8,0,100,left,20,100,0,0.00356,0,1.409533585722922,74.89716649055481,0
-60,40,100,0,0,0,0.8,0,100,left,20,100,20,0.00152,0,1.3778885775331111,77.47041130065918,0
-90,40,80,0,0,0,0.8,0,100,left,20,100,40,0.00294,0,1.4110872727724384,76.88776659965515,0
-90,40,60,0,0,0,0.8,0,100,right,20,100,60,0.00296,0,2.048136568015507,160.6058530807495,0
0,20,20,0,0,0,0.8,0,100,left,20,100,80,0.00273,0,1.3740532438955788,77.48094654083252,0
90,60,80,0,0,0,0.8,0,100,right,20,100,100,0.00149,0,2.191442179601293,106.51526188850404,0
-90,40,20,0,0,0,0.8,0,100,right,40,0,0,0.00208,0,2.0582662157275364,160.37116622924805,0
90,40,40,0,0,0,0.8,0,100,left,40,0,20,0.00157,0,1.3664494153627322,74.22260093688965,0
-60,60,20,0,0,0,0.8,0,100,left,40,0,40,0.0015,0,1.4539772804195152,76.72484135627747,0
0,40,40,0,0,0,0.8,0,100,left,40,0,60,0.00163,0,1.3421586152428,76.22822165489197,0
60,40,40,0,0,0,0.8,0,100,left,40,0,80,0.00152,0,1.9616492822678215,76.70957899093628,0
-90,20,40,0,0,0,0.8,0,100,right,40,0,100,0.00788,0,1.790668703302467,159.5298798084259,0
-90,20,80,0,0,0,0.8,0,100,right,40,20,0,0.0077,0,0.759069370991397,153.11762499809265,0
-90,20,40,0,0,0,0.8,0,100,left,40,20,20,0.00801,0,1.4089194966544305,77.36458849906921,0
30,40,60,0,0,0,0.8,0,100,right,40,20,40,0.00155,0,1.78362726829779,157.4538643360138,0
-90,20,100,0,0,0,0.8,0,100,left,40,20,60,0.00619,0,1.3883259087068929,76.63210773468018,0
60,20,40,0,0,0,0.8,0,100,right,40,20,80,0.00413,0,1.7319394844247469,159.7379174232483,0
30,20,40,0,0,0,0.8,0,100,right,40,20,100,0.004,0,0.8306034215122727,100.422101020813,0
30,20,40,0,0,0,0.8,0,100,left,40,40,0,0.00406,0,1.512132740324465,72.84550642967224,0
60,40,60,0,0,0,0.8,0,100,right,40,40,20,0.00152,0,1.969284334051808,159.9534080028534,0
0,20,60,0,0,0,0.8,0,100,left,40,40,40,0.00425,0,1.3971731806955303,77.12129187583923,0
0,20,80,0,0,0,0.8,0,100,right,40,40,60,0.00419,0,1.038529012803794,100.62238669395448,0
90,20,40,0,0,0,0.8,0,100,left,40,40,80,0.00406,0,1.3831035164627674,74.59737849235535,0
30,40,80,0,0,0,0.8,0,100,right,40,40,100,0.00155,0,0.9559022352093268,98.39302897453308,0
-30,20,80,0,0,0,0.8,0,100,right,40,60,0,0.004,0,0.8570145290970499,105.06885719299316,0
-60,20,40,0,0,0,0.8,0,100,right,40,60,20,0.00396,0,0.8435767275230471,102.632239818573,0
-30,20,80,0,0,0,0.8,0,100,left,40,60,40,0.00395,0,1.354017087609277,77.42902421951294,0
90,20,40,0,0,0,0.8,0,100,right,40,60,60,0.00438,0,1.7754709913134088,157.7309012413025,0
0,20,80,0,0,0,0.8,0,100,left,40,60,80,0.00401,0,1.45055324749603,75.46471762657166,0
-30,20,40,0,0,0,0.8,0,100,right,40,60,100,0.00406,0,0.8368148205321401,103.12079572677612,0
0,20,40,0,0,0,0.8,0,100,right,40,80,0,0.00385,0,1.689632948075473,163.05207300186157,0
-30,20,40,0,0,0,0.8,0,100,left,40,80,20,0.00403,0,1.3444308656744115,78.24664068222046,0
60,20,60,0,0,0,0.8,0,100,left,40,80,40,0.00386,0,1.3685246657292036,75.48725080490112,0
90,60,100,0,0,0,0.8,0,100,left,40,80,60,0.00148,0,1.3452693520707495,75.21445870399475,0
30,20,80,0,0,0,0.8,0,100,right,40,80,80,0.00353,0,1.515272589490242,148.3036847114563,0
30,20,80,0,0,0,0.8,0,100,left,40,80,100,0.00349,0,1.369177450678943,73.29040789604187,0
60,20,100,0,0,0,0.8,0,100,left,40,100,0,0.0033,0,1.373904028943224,74.5902419090271,0
30,40,60,0,0,0,0.8,0,100,left,40,100,20,0.00149,0,1.463321762248759,74.82062029838562,0
-60,20,80,0,0,0,0.8,0,100,right,40,100,40,0.0033,0,0.8197042900719395,102.00310707092284,0
60,40,20,0,0,0,0.8,0,100,right,40,100,60,0.00167,0,1.7885258777271424,159.1363832950592,0
-60,20,60,0,0,0,0.8,0,100,left,40,100,80,0.0031,0,1.3828365869973585,77.80218625068665,0
90,20,80,0,0,0,0.8,0,100,right,40,100,100,0.00303,0,0.9435549208863754,105.02134346961977,0
-60,20,100,0,0,0,0.8,0,100,left,60,0,0,0.00351,0,1.431292656106076,77.23367381095886,0
-90,40,60,0,0,0,0.8,0,100,left,60,0,20,0.00304,0,1.373989945897814,76.92639636993408,0
