feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
-90,20,80,0,0,0,0.8,0,100,left,0,0,0,0.008,0,1.091989332483957,23.27369236946106,0
90,60,20,0,0,0,0.8,0,100,right,0,0,20,0.00147,0,0.7991254811304563,26.672733545303345,0
30,20,100,0,0,0,0.8,0,100,left,0,0,40,0.003,0,1.164340365872188,22.125375747680664,0
-30,20,20,0,0,0,0.8,0,100,right,0,0,60,0.0032,0,0.9078931813412352,27.498714208602905,0
90,20,100,0,0,0,0.8,0,100,right,0,0,80,0.00299,0,0.9143192867581804,26.313761949539185,0
-30,20,100,0,0,0,0.8,0,100,right,0,0,100,0.00353,0,0.932014037620607,27.0977840423584,0
30,20,20,0,0,0,0.8,0,100,left,0,20,0,0.00306,0,1.1402789579941628,22.07645034790039,0
-90,60,40,0,0,0,0.8,0,100,right,0,20,20,0.00237,0,0.8594824229873668,27.09556078910828,0
30,20,60,0,0,0,0.8,0,100,right,0,20,40,0.00321,0,0.8450867817280148,26.62337374687195,0
90,20,60,0,0,0,0.8,0,100,left,0,20,60,0.0029,0,1.2112907010370495,22.484241485595703,0
-30,20,60,0,0,0,0.8,0,100,left,0,20,80,0.00309,0,1.026939645698297,22.83922219276428,0
-90,20,20,0,0,0,0.8,0,100,left,0,20,100,0.0053,0,1.0488161785229957,22.294618368148804,0
-90,60,100,0,0,0,0.8,0,100,right,0,40,0,0.00169,0,0.9964779030790638,27.084450483322144,0
90,60,20,0,0,0,0.8,0,100,left,0,40,20,0.00165,0,1.1538470753565715,22.04342031478882,0
60,20,20,0,0,0,0.8,0,100,right,0,40,40,0.00378,0,0.8826301212863612,26.705131769180294,0
-60,20,60,0,0,0,0.8,0,100,right,0,40,60,0.00286,0,0.8232408504110907,27.09909009933472,0
-60,60,40,0,0,0,0.8,0,100,left,0,40,80,0.00145,0,1.0357770566891265,22.550747394561768,0
-90,20,20,0,0,0,0.8,0,100,right,0,40,100,0.00528,0,0.9507369697149274,26.987114667892456,0
-90,60,100,0,0,0,0.8,0,100,left,0,60,0,0.00175,0,1.059939614877646,22.730525732040405,0
