feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
60,40,80,20,100,60,0.6,0,100,right,0,0,0,1e-05,0,2.3310472736208534,138.64291381835938,0
-90,40,20,20,0,80,0.8,100,0,left,0,0,20,1e-05,0,1.350808278958434,82.28516793251038,0
90,60,100,0,0,80,0.2,100,0,left,0,0,40,1e-05,0,1.332558698990872,80.41693353652954,0
-90,60,60,40,0,0,0.8,0,100,right,0,0,60,1e-05,0,0.8111648786690842,162.16340470314026,0
30,40,40,100,0,80,0.4,20,80,left,0,0,80,1e-05,0,1.511952601939896,77.73527503013611,0
30,20,60,40,100,40,0.6,100,0,right,0,0,100,1e-05,0,1.1240987032413967,168.71007704734802,0
-90,20,20,40,100,40,0.4,20,80,left,0,20,0,1e-05,0,1.38866067699492,83.32174396514893,0
-60,20,80,0,0,100,0.2,20,80,left,0,20,20,1e-05,0,1.386147123823186,81.93297028541565,0
90,60,20,0,0,100,0.8,0,100,right,0,20,40,1e-05,0,0.7655179685086735,87.85984992980957,0
30,0,40,0,0,0,0.6,0,100,left,0,20,60,1e-05,0,1.492706717307411,78.55225610733032,0
-60,80,100,0,100,40,0.6,0,100,right,0,20,80,1e-05,0,0.9334692366319112,102.80939364433289,0
30,60,20,0,60,0,0.6,40,60,right,0,20,100,1e-05,0,0.7864117500433189,89.93319916725159,0
-60,60,100,0,40,40,0.6,80,20,right,0,40,0,1e-05,0,0.8528031934229421,111.57764554023744,0
30,60,100,20,20,40,0.8,40,60,left,0,40,20,1e-05,0,1.429137300670129,77.66094923019409,0
90,80,60,0,0,0,0.8,80,20,right,0,40,40,1e-05,0,2.029239996905989,167.8874387741089,0
-90,40,60,100,0,80,0.4,40,60,right,0,40,60,1e-05,0,1.0143532258187478,110.665137052536,0
-90,60,100,100,100,40,0.6,100,0,right,0,40,80,1e-05,0,1.3689106853598882,190.6592283248901,0
0,20,60,40,0,80,0.2,100,0,right,0,40,100,1e-05,0,1.8585161067970168,170.2316071987152,0
90,60,20,80,0,80,0.4,100,0,right,0,60,0,1e-05,0,2.022743886547401,166.12477040290833,0
0,20,60,100,100,40,0.6,40,60,left,0,60,20,1e-05,0,1.5216350729689103,80.674311876297,0
-90,20,20,0,100,40,0.6,80,20,right,0,60,40,1e-05,0,1.0112478291780576,102.0611515045166,0
-30,20,60,20,0,0,0.8,100,0,left,0,60,60,1e-05,0,0.773127601457008,98.40631341934204,0
60,20,100,0,0,100,0.1,20,80,right,0,60,80,1e-05,0,1.7870396921743417,107.15190052986144,0
60,20,20,0,0,80,0.1,80,20,left,0,60,100,1e-05,0,1.3341643697108752,79.58006739616394,0
90,40,100,0,0,0,0.8,20,80,right,0,80,0,1e-05,0,0.8229382437513679,108.49388575553894,0
-30,80,20,0,20,40,0.8,0,100,left,0,80,20,1e-05,0,1.4525926407237486,80.67344999313354,0
-30,60,100,60,100,60,0.6,60,40,right,0,80,40,1e-05,0,0.7620200121642177,162.37435841560364,0
90,60,40,80,80,40,0.6,40,60,right,0,80,60,1e-05,0,1.9711047754839817,166.94494080543518,0
90,20,100,20,80,0,0.6,20,80,left,0,80,80,1e-05,0,1.3489415230483393,81.21126818656921,0
-90,60,80,100,0,100,0.1,100,0,left,0,80,100,1e-05,0,1.8521839734980945,183.9490783214569,0
-60,0,100,0,40,40,0.8,0,100,right,0,100,0,1e-05,0,2.1664050469055103,170.4340858459473,0
-30,60,100,0,20,0,0.8,0,100,left,0,100,20,1e-05,0,1.4433328235380072,81.79216718673706,0
-90,60,20,0,0,100,0.4,0,100,right,0,100,40,1e-05,0,1.6147950161659974,162.54096007347107,0
0,20,20,20,0,100,0.8,20,80,right,0,100,60,1e-05,0,0.8620603424094334,109.17391276359558,0
-30,80,20,20,100,40,0.6,0,100,right,0,100,80,1e-05,0,1.415521116942148,108.2612762451172,0
90,60,20,0,100,40,0.6,80,20,left,0,100,100,1e-05,0,1.3791407254799417,80.62740588188171,0
0,20,20,20,80,60,0.6,20,80,left,20,0,0,1e-05,0,1.4925806490866012,82.06864213943481,0
90,80,80,60,0,80,0.4,40,60,left,20,0,20,1e-05,0,1.4752162313223651,79.48625802993774,0
-30,20,100,40,100,60,0.6,0,100,left,20,0,40,1e-05,0,1.4309896348189286,82.5245954990387,0
90,40,40,20,40,40,0.6,0,100,left,20,0,60,1e-05,0,2.0200282192354964,83.02776598930359,0
-90,60,100,0,0,100,0.1,80,20,left,20,0,80,1e-05,0,0.9498165875488191,106.57771277427672,0
-30,80,100,0,0,100,0.1,0,100,right,20,0,100,1e-05,0,1.5573756034946196,164.03287386894226,0
30,20,20,100,0,0,0.8,20,80,right,20,20,0,1e-05,0,1.4717750239256868,167.11763954162598,0
-90,20,80,40,100,0,0.6,20,80,right,20,20,20,1e-05,0,0.7675392120607051,162.79938411712646,0
-90,20,20,0,0,0,0.4,80,20,right,20,20,40,1e-05,0,1.9571261426881412,169.84942150115967,0
0,40,20,0,100,100,0.6,80,20,left,20,20,60,1e-05,0,1.334208538515826,81.32095837593079,0
60,0,80,0,0,0,0.8,80,20,left,20,20,80,1e-05,0,1.3521195185678967,80.79791522026062,0
-60,40,20,60,0,0,0.8,40,60,left,20,20,100,1e-05,0,1.3986798773921862,81.63680768013,0
90,60,100,20,60,40,0.6,60,40,right,20,40,0,1e-05,0,0.9290507064171138,112.8944799900055,0
-60,20,100,60,60,40,0.6,100,0,left,20,40,20,1e-05,0,0.7456342385484916,93.64052319526672,0
90,20,20,20,20,0,0.8,100,0,left,20,40,40,1e-05,0,1.3263044663185988,81.99567985534668,0
-60,20,40,20,40,40,0.8,40,60,right,20,40,60,1e-05,0,1.1059747862179934,172.3131628036499,0
0,60,20,20,40,40,0.8,20,0,left,20,40,80,1e-05,0,1.379697265279716,82.14619445800781,0
-90,40,100,20,20,40,0.8,40,60,left,20,40,100,1e-05,0,1.5414424457507572,82.57959032058716,0
-30,20,20,40,80,40,0.6,100,0,left,20,60,0,1e-05,0,0.5646329176475744,186.521404504776,0
60,60,20,0,0,0,0.4,0,100,right,20,60,20,1e-05,0,0.7229797137471857,88.06056046485901,0
90,20,40,40,0,80,0.4,40,60,right,20,60,40,1e-05,0,1.8653018959108665,109.86562967300416,0
0,60,100,0,0,100,0.6,80,20,left,20,60,60,1e-05,0,1.323558529629939,82.25314497947693,0
30,60,60,0,20,100,0.8,0,100,left,20,60,80,1e-05,0,2.0630377357421774,80.60810613632202,0
30,20,80,20,40,0,0.8,0,100,right,20,60,100,1e-05,0,1.769568769745412,166.81525945663452,0
-30,60,20,0,0,100,0.2,80,20,right,20,80,0,1e-05,0,0.7438085577023615,163.4042284488678,0
-30,60,20,40,0,80,0.4,40,60,left,20,80,20,1e-05,0,0.9143705511017356,110.50600719451904,0
-60,0,80,0,0,80,0.4,80,20,right,20,80,40,1e-05,0,0.8277508370806088,99.69356679916382,0
-90,60,100,40,100,40,0.6,40,60,left,20,80,60,1e-05,0,1.382540979382166,81.41501545906067,0
-30,20,40,0,0,0,0.2,0,100,right,20,80,80,1e-05,0,0.8415256141598502,108.71496200561523,0
30,20,20,0,40,40,0.8,80,20,right,20,80,100,1e-05,0,1.712860952900008,171.68524622917175,0
90,20,100,80,80,40,0.6,100,0,left,20,100,0,1e-05,0,1.3610321301229509,81.36015009880066,0
30,40,100,20,100,40,0.6,40,60,left,20,100,20,1e-05,0,0.9794285516431116,86.31217932701111,0
30,40,60,40,20,0,0.8,100,0,right,20,100,40,1e-05,0,1.92509533534942,167.5571415424347,0
60,60,100,100,0,80,0.4,100,0,left,20,100,60,1e-05,0,1.3560432151040285,80.37422895431519,0
60,60,20,40,100,0,0.6,20,80,left,20,100,80,1e-05,0,1.3438088507841506,79.53192687034607,0
-90,40,20,60,0,0,0.8,100,0,left,20,100,100,1e-05,0,0.6000812723135264,191.1523153781891,0
90,40,20,40,0,0,0.8,40,60,left,40,0,0,1e-05,0,1.3824345705013543,78.82336950302124,0
-90,20,80,0,40,0,0.8,0,100,left,40,0,20,1e-05,0,1.3748690792761893,81.89791083335876,0
-60,20,40,20,100,100,0.1,40,60,right,40,0,40,1e-05,0,2.046556076186392,170.21989631652832,0
0,80,80,40,60,40,0.6,100,0,left,40,0,60,1e-05,0,1.3489584513822106,82.87448811531067,0
-60,0,80,100,0,100,0.4,100,0,right,40,0,80,1e-05,0,1.4590366690383203,192.95434403419492,0
60,0,100,0,20,40,0.8,0,100,left,40,0,100,1e-05,0,1.442096338836086,79.35680198669434,0
-60,20,20,0,80,0,0.6,0,100,right,40,20,0,1e-05,0,1.5403923030113156,168.58386754989624,0
90,80,20,0,80,40,0.6,0,100,right,40,20,20,1e-05,0,1.8332264093710644,167.96064805984497,0
90,60,80,20,60,40,0.6,100,0,left,40,20,40,1e-05,0,1.3603222665939785,81.27370500564575,0
-30,20,60,40,80,0,0.6,20,80,left,40,20,60,1e-05,0,1.3906196362918617,82.93915438652039,0
-30,20,100,40,0,0,0.8,20,80,right,40,20,80,1e-05,0,1.508591826197731,171.219144821167,0
-90,20,80,0,80,60,0.6,80,20,left,40,20,100,1e-05,0,1.3942254045742843,81.76754951477051,0
30,40,40,20,60,100,0.6,40,60,right,40,40,0,1e-05,0,0.8444820967160331,87.66247773170471,0
-90,20,20,0,0,60,0.1,0,100,left,40,40,20,1e-05,0,1.4244825051464678,83.36224102973938,0
-30,0,100,0,0,0,0.8,80,20,right,40,40,40,1e-05,0,0.7117303894713233,161.59370350837708,0
-30,60,100,60,0,80,0.4,100,0,left,40,40,60,1e-05,0,0.7483967109257434,91.04212284088136,0
30,20,80,0,40,60,0.6,100,0,left,40,40,80,1e-05,0,1.3077220328713306,81.00342988967896,0
-60,80,40,0,0,0,0.8,80,20,left,40,40,100,1e-05,0,1.1991004913016765,100.66250658035278,0
-60,60,80,0,80,100,0.1,0,100,left,40,60,0,1e-05,0,1.4223982256214949,81.52116918563843,0
-90,40,100,40,0,80,0.6,0,100,right,40,60,20,1e-05,0,1.5563206518133186,111.39693760871889,0
0,80,20,0,0,0,0.8,80,20,right,40,60,40,1e-05,0,2.3645233757298865,117.47223591804504,0
90,60,100,0,0,80,0.8,0,100,left,40,60,60,1e-05,0,1.9993205814516812,84.81317663192749,0
-60,80,40,0,60,60,0.6,80,20,left,40,60,80,1e-05,0,1.4755934849686425,80.82375860214233,0
-30,40,80,40,0,80,0.4,40,60,right,40,60,100,1e-05,0,0.8303268347773964,100.62102675437929,0
30,80,60,0,0,80,0.8,80,20,right,40,80,0,1e-05,0,0.9058596904139684,110.59984850883484,0
0,40,20,20,40,40,0.6,0,100,right,40,80,20,1e-05,0,1.5261829529793451,163.9465970993042,0
30,80,100,0,100,40,0.4,80,20,right,40,80,40,1e-05,0,1.50967424202695,167.30376076698303,0
90,20,40,40,60,40,0.6,100,0,right,40,80,60,1e-05,0,1.8383371343784785,168.70782566070557,0
-30,60,20,100,40,40,0.8,20,80,left,40,80,80,1e-05,0,1.394844523634138,82.61238646507263,0
60,20,100,40,20,40,0.8,40,60,right,40,80,100,1e-05,0,0.7279297545994075,159.12387371063232,0
-90,40,40,0,60,60,0.6,0,100,right,40,100,0,1e-05,0,0.7283747663612272,162.0126235485077,0
0,40,60,60,100,100,0.6,100,0,left,40,100,20,1e-05,0,1.343578478082995,83.08003282546997,0
-60,20,60,40,0,100,0.2,40,20,left,40,100,40,1e-05,0,0.4870575103364065,186.17974948883057,1
-30,20,60,0,0,0,0.8,40,60,left,40,100,60,1e-05,0,1.1244126271061052,102.65248465538023,0
30,40,40,100,0,80,0.4,80,20,left,40,100,80,1e-05,0,1.3733386627246027,80.03447914123535,0
30,40,80,60,0,80,0.4,0,100,right,40,100,100,1e-05,0,0.9472375696728615,107.55584931373596,0
30,60,20,0,0,0,0.8,40,60,left,60,0,0,1e-05,0,1.39971944247447,79.53365778923035,0
-90,40,40,80,60,40,0.6,40,60,right,60,0,20,1e-05,0,0.9057207186879008,115.86218881607056,0
0,60,80,0,100,0,0.6,0,100,left,60,0,40,1e-05,0,1.3731211975487634,81.62304711341858,0
90,20,20,40,100,40,0.6,0,100,right,60,0,60,1e-05,0,2.117490147580473,112.37457013130188,0
60,20,100,0,100,40,0.4,80,20,left,60,0,80,1e-05,0,1.3283058941375592,79.65315890312195,0
-90,60,80,0,0,100,0.2,40,60,right,60,0,100,1e-05,0,0.9364642565107666,94.87565565109252,0
-90,60,40,40,80,100,0.1,100,0,right,60,20,0,1e-05,0,0.915971093093597,94.85318684577942,0
0,80,80,0,60,40,0.6,0,100,right,60,20,20,1e-05,0,2.1488407848716387,160.5061092376709,0
-90,60,40,20,40,40,0.6,100,0,right,60,20,40,1e-05,0,1.959269185336558,170.81394362449646,0
90,40,60,0,0,100,0.2,80,20,right,60,20,60,1e-05,0,2.3541184314932058,119.73007464408876,0
30,80,100,0,0,0,0.8,80,20,right,60,20,80,1e-05,0,1.847878895949693,167.6845088005066,0
60,60,20,20,0,100,0.2,40,60,left,60,20,100,1e-05,0,1.5050341599593096,78.3305413722992,0
90,20,60,0,0,60,0.1,0,100,right,60,40,0,1e-05,0,0.7535224907201447,88.50391173362732,0
30,60,60,0,40,0,0.8,0,100,left,60,40,20,1e-05,0,1.422471030886115,79.92664217948914,0
-60,40,80,20,100,40,0.6,100,0,right,60,40,40,1e-05,0,0.9727077556403152,99.07483863830566,0
0,20,100,0,0,80,0.4,40,60,left,60,40,60,1e-05,0,1.4623144002997728,80.03284883499146,0
-90,80,40,20,60,40,0.6,20,80,left,60,40,80,1e-05,0,1.5252618512006528,80.56729173660278,0
-90,60,20,0,0,80,0.4,40,60,left,60,40,100,1e-05,0,1.0259577107945697,106.77236485481262,0
0,40,100,20,60,40,0.6,40,60,right,60,60,0,1e-05,0,1.6650136531296695,107.7941348552704,0
-30,40,60,60,0,0,0.8,0,100,left,60,60,20,1e-05,0,1.3763780631422278,82.99892091751099,0
30,20,20,40,100,40,0.6,40,60,right,60,60,40,1e-05,0,0.7974709343688652,92.63824009895325,0
60,20,20,0,60,40,0.6,40,60,left,60,60,60,1e-05,0,1.4060078268484972,79.70616602897644,0
90,60,80,60,100,40,0.6,20,80,left,60,60,80,1e-05,0,1.458304224260226,80.09897971153259,0
-90,40,80,0,0,0,0.8,40,60,right,60,60,100,1e-05,0,0.7706582862768144,162.54484510421753,0
-30,20,40,0,20,60,0.8,80,20,left,60,80,0,1e-05,0,1.4018446266391114,81.59318804740906,0
0,20,40,0,0,60,0.1,0,100,left,60,80,20,1e-05,0,1.518065199740304,80.47978401184082,0
-90,40,20,40,60,100,0.6,40,60,left,60,80,40,1e-05,0,1.477563409399837,82.02184772491455,0
90,40,80,20,100,100,0.6,40,60,left,60,80,60,1e-05,0,1.4051886519489112,78.96298599243164,0
0,20,60,0,100,40,0.6,80,20,left,60,80,80,1e-05,0,1.3646391503975317,81.82498073577881,0
30,20,100,0,80,60,0.6,0,100,left,60,80,100,1e-05,0,1.5283766658549174,78.03236246109009,0
-90,80,100,0,0,100,0.1,0,100,left,60,100,0,1e-05,0,1.5295523116831018,82.45433020591736,0
30,20,80,60,40,60,0.6,20,80,left,60,100,20,1e-05,0,1.3968429474458413,79.02939510345459,0
-90,60,40,20,100,40,0.6,40,60,right,60,100,40,1e-05,0,1.0061382628917774,105.398446559906,0
30,40,100,40,100,0,0.6,20,80,right,60,100,60,1e-05,0,0.6608189259611835,93.10427331924438,0
-90,40,20,100,0,0,0.8,80,20,right,60,100,80,1e-05,0,0.7742488319132187,99.92086744308472,0
-30,20,60,0,40,100,0.4,0,100,right,60,100,100,1e-05,0,1.9245070891486509,170.2070369720459,0
90,20,80,0,0,80,0.2,40,60,left,80,0,0,1e-05,0,1.463255965575023,78.9892828464508,0
60,40,20,0,0,40,0.8,40,60,right,80,0,20,1e-05,0,1.1781912744558498,103.04523873329164,0
-90,60,20,0,0,0,0.8,20,80,left,80,0,40,1e-05,0,1.3737982319730162,81.36908602714539,0
60,80,60,0,80,40,0.6,0,100,left,80,0,60,1e-05,0,1.344209027216932,79.35674905776978,0
90,20,60,20,100,40,0.6,40,60,right,80,0,80,1e-05,0,0.8037349496128688,130.10550546646118,0
90,20,100,40,20,40,0.8,100,0,right,80,0,100,1e-05,0,1.621501969673734,168.9805393218994,0
0,40,100,100,0,80,0.4,100,0,right,80,20,0,1e-05,0,2.005349837741333,170.3663408756256,0
-90,0,60,0,0,80,0.4,0,100,right,80,20,20,1e-05,0,0.9354518210077568,116.01065683364868,0
-90,40,100,40,60,100,0.6,40,60,right,80,20,40,1e-05,0,2.1160747229851,169.70842719078064,0
-30,60,100,0,0,20,0.8,80,20,left,80,20,60,1e-05,0,1.3697724661476642,82.11613297462463,0
90,60,40,0,0,80,0.4,0,0,left,80,20,80,1e-05,0,1.955410372394732,80.20852732658386,0
-30,60,40,40,100,40,0.6,40,60,left,80,20,100,1e-05,0,1.414595348282905,81.42728877067566,0
30,0,100,0,60,40,0.6,80,20,right,80,40,0,1e-05,0,2.06547246472802,169.3401975631714,0
60,60,100,80,100,40,0.6,40,60,right,80,40,20,1e-05,0,1.842779661580738,167.58441019058228,0
-60,80,100,40,60,0,0.6,40,60,right,80,40,40,1e-05,0,0.6605795429289573,92.66383790969849,0
60,20,80,40,0,0,0.4,0,100,left,80,40,60,1e-05,0,1.4676959025729346,80.34589338302612,0
-90,20,100,40,80,40,0.6,60,40,right,80,40,80,1e-05,0,0.8439698332047845,98.76374554634094,0
-90,20,60,20,60,40,0.6,20,20,left,80,40,100,1e-05,0,1.506549606743676,82.59117388725281,0
90,80,80,0,40,40,0.8,0,100,right,80,60,0,1e-05,0,2.144310363832486,113.4591772556305,0
-90,20,100,40,0,80,0.4,100,0,left,80,60,20,1e-05,0,0.597444472884879,186.12822723388672,0
-30,60,20,100,0,80,0.4,60,40,right,80,60,40,1e-05,0,0.8578075598381221,94.6706612110138,0
-90,40,80,20,100,40,0.2,0,100,left,80,60,60,1e-05,0,1.398442609468226,82.36517381668091,0
90,20,20,20,0,60,0.6,100,0,right,80,60,80,1e-05,0,2.194251915846006,112.9050498008728,0
-60,20,40,60,80,40,0.6,0,100,right,80,60,100,1e-05,0,1.5379050463344954,163.1501567363739,0
0,60,80,0,60,0,0.6,40,60,left,80,80,0,1e-05,0,1.4400268153581106,80.07291316986084,0
0,60,80,80,0,0,0.8,100,0,left,80,80,20,1e-05,0,1.3285525419541229,82.18792510032654,0
90,80,100,0,0,80,0.4,40,60,right,80,80,40,1e-05,0,1.7619098171924936,104.38997340202332,0
0,60,60,40,0,0,0.8,40,60,right,80,80,60,1e-05,0,0.871867626724123,110.96843099594116,0
-90,20,20,20,0,100,0.4,40,60,right,80,80,80,1e-05,0,0.9610515460522492,96.93512177467346,0
-30,0,20,0,0,80,0.4,40,60,left,80,80,100,1e-05,0,0.8820836580120343,104.98202872276306,0
-60,80,60,0,20,40,0.8,0,100,right,80,100,0,1e-05,0,1.7473951583836238,162.9583339691162,0
-90,60,60,40,100,40,0.6,100,0,left,80,100,20,1e-05,0,0.9734710234434036,109.6413881778717,0
30,60,40,0,40,40,0.6,80,20,left,80,100,40,1e-05,0,1.3427944779039618,80.57402658462524,0
-30,40,80,20,40,60,0.8,0,100,left,80,100,60,1e-05,0,1.3784250119527877,81.98409056663513,0
90,40,40,0,100,100,0.1,80,20,right,80,100,80,1e-05,0,0.9711926543705648,110.356196641922,0
90,60,80,40,0,0,0.8,100,0,left,80,100,100,1e-05,0,1.3233172715287622,84.01180076599121,0
0,0,80,0,100,40,0.6,0,100,right,100,0,0,1e-05,0,1.090781199439396,174.79797911643982,0
30,60,80,60,0,0,0.8,0,100,right,100,0,20,1e-05,0,1.5539367301461795,169.78188514709473,0
30,80,100,40,0,80,0.4,40,60,right,100,0,40,1e-05,0,3.403211945667869,173.3980987071991,0
0,60,20,40,20,40,0.8,100,0,right,100,0,60,1e-05,0,1.993738667300004,171.15577149391174,0
60,60,20,0,0,0,0.4,80,20,left,100,0,80,1e-05,0,1.305933102331258,81.00926160812378,0
30,60,40,40,0,100,0.4,100,0,left,100,0,100,1e-05,0,1.3619499206391643,81.63022232055664,0
-30,20,20,20,100,0,0.6,40,60,right,100,20,0,1e-05,0,0.8290836113446619,163.65369057655334,0
60,60,100,60,100,60,0.6,100,0,right,100,20,20,1e-05,0,2.2438523471323384,112.36208724975586,0
-60,40,40,100,100,40,0.6,80,20,left,100,20,40,1e-05,0,0.8241306085545533,101.93006777763368,0
-60,40,40,100,0,100,0.6,20,80,left,100,20,60,1e-05,0,1.691925615207863,84.42441153526306,0
-60,60,20,0,100,60,0.6,0,100,left,100,20,80,1e-05,0,1.4173040575038651,82.09748125076294,0
60,20,20,0,100,40,0.4,0,100,left,100,20,100,1e-05,0,1.348636239539769,79.91301393508911,0
90,20,40,0,60,0,0.6,0,100,right,100,40,0,1e-05,0,1.7585288522239255,168.91910123825073,0
