feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
60,40,80,20,100,60,0.6,0,100,right,0,0,0,1e-05,0,0.9193069617003898,26.91725826263428,0
-90,40,20,20,0,80,0.8,100,0,left,0,0,20,1e-05,0,1.0139487746150664,22.795469284057617,0
90,60,100,0,0,80,0.2,100,0,left,0,0,40,1e-05,0,1.0966886944790846,22.27061891555786,0
-90,60,60,40,0,0,0.8,0,100,right,0,0,60,1e-05,0,0.80372214350897,27.351050853729248,0
30,40,40,100,0,80,0.4,20,80,left,0,0,80,1e-05,0,0.9995021135934156,22.33870220184326,0
30,20,60,40,100,40,0.6,100,0,right,0,0,100,1e-05,0,0.8555169495638146,26.860918283462524,0
-90,20,20,40,100,40,0.4,20,80,left,0,20,0,1e-05,0,1.041839718513598,22.83039379119873,0
-60,20,80,0,0,100,0.2,20,80,left,0,20,20,1e-05,0,2.6617450686423534,60.062684059143066,0
90,60,20,0,0,100,0.8,0,100,right,0,20,40,1e-05,0,0.8698825539241617,26.498342037200928,0
30,0,40,0,0,0,0.6,0,100,left,0,20,60,1e-05,0,0.9970679929280716,22.550848245620728,0
-60,80,100,0,100,40,0.6,0,100,right,0,20,80,1e-05,0,0.8205603970371066,27.466362714767456,0
30,60,20,0,60,0,0.6,40,60,right,0,20,100,1e-05,0,0.8801783260560652,26.773297548294067,0
-60,60,100,0,40,40,0.6,80,20,right,0,40,0,1e-05,0,0.912928481926809,27.37308955192566,0
30,60,100,20,20,40,0.8,40,60,left,0,40,20,1e-05,0,1.158236865791219,22.292786598205566,0
90,80,60,0,0,0,0.8,80,20,right,0,40,40,1e-05,0,0.8057569266922513,26.774070739746094,0
-90,40,60,100,0,80,0.4,40,60,right,0,40,60,1e-05,0,0.9245345223201792,27.41846537590027,0
