feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,20,60,100,0,-90,80,0,40,0.8,False,0.986,0
left,80,20,0,0,0,60,0,20,0.1,False,1.307,0
right,0,80,0,20,60,100,80,0,0.8,False,0.919,0
right,0,20,0,80,90,20,40,60,0.2,False,1.61,0
left,80,40,80,100,-60,0,80,80,1.0,False,1.377,0
left,40,0,80,100,-90,80,0,80,0.2,False,1.366,0
right,100,80,60,40,0,80,60,40,0.4,False,0.721,0
left,20,100,20,0,30,40,80,60,0.4,False,1.571,0
right,40,80,0,0,30,60,20,40,0.2,False,2.221,0
right,60,0,100,0,90,80,80,40,0.4,False,1.47,0
right,80,60,80,60,-90,0,40,60,1.0,False,2.035,0
left,0,100,100,40,60,80,100,60,0.4,False,1.374,0
right,100,40,0,60,-30,20,80,0,0.6,False,1.774,0
left,20,40,20,100,-60,60,60,60,0.1,False,0.883,0
left,60,60,80,40,-60,60,80,40,1.0,False,1.4,0
right,40,100,60,20,-60,0,20,20,0.2,False,0.801,0
left,0,60,80,20,-30,40,0,20,0.6,False,0.836,0
right,80,80,40,20,60,80,80,100,1.0,False,1.572,0
left,60,100,80,60,0,60,60,0,0.6,False,0.918,0
right,0,20,0,20,0,20,0,40,0.8,False,0.898,0
left,0,0,80,20,30,0,40,80,0.1,False,1.434,0
left,20,80,60,20,60,40,40,80,0.4,False,1.353,0
right,0,0,60,60,0,60,40,0,0.2,False,2.601,0
left,100,40,100,40,0,100,20,80,0.1,False,1.336,0
left,80,40,20,100,30,0,80,40,1.0,False,1.355,0
left,100,40,80,40,-60,40,20,80,0.8,False,1.427,0
right,100,20,80,20,90,20,60,100,0.2,False,0.812,0
left,80,60,40,100,-90,0,40,60,0.4,False,1.565,0
left,100,80,40,60,90,100,40,40,0.1,False,1.689,0
left,0,20,60,20,-30,20,60,80,0.8,False,1.403,0
left,60,100,40,100,-90,100,0,60,1.0,False,2.19,0
left,60,20,60,100,-30,0,100,60,0.6,False,1.561,0
right,100,0,100,20,-60,20,0,20,0.8,False,0.798,0
right,100,20,80,80,0,100,40,20,0.8,False,1.992,0
left,0,0,100,100,-90,80,100,20,0.6,False,1.462,0
left,20,0,40,20,-30,80,20,80,0.4,False,1.421,0
right,80,60,20,0,60,40,60,100,0.8,False,1.725,0
right,80,20,80,20,30,80,0,60,0.2,False,1.662,0
left,20,20,20,60,30,100,0,80,0.1,False,1.324,0
right,100,80,80,80,0,0,80,0,0.2,False,0.831,0
left,40,0,0,80,0,80,0,0,0.6,False,1.337,0
right,80,80,80,80,-60,100,40,60,0.8,False,0.848,0
right,80,20,100,80,-30,80,20,60,0.2,False,0.87,0
right,0,60,60,40,-90,100,20,60,0.1,False,0.89,0
left,100,40,0,20,60,100,100,40,0.2,False,1.39,0
right,20,60,20,100,-90,60,60,20,1.0,False,0.847,0
left,20,100,60,80,0,40,60,20,0.4,False,1.097,0
right,0,100,40,0,-30,80,60,60,1.0,False,0.744,0
left,60,40,80,80,-30,80,0,0,0.2,False,0.921,0
left,0,40,40,0,90,20,40,20,0.6,False,1.426,0
right,60,20,80,80,30,60,100,40,0.1,False,1.28,0
right,0,100,20,60,-90,40,0,100,0.1,False,1.322,0
right,0,80,20,0,-30,0,60,0,0.4,False,1.101,0
right,40,80,20,0,30,100,20,0,0.2,False,1.653,0
right,0,20,20,40,60,40,80,20,0.4,False,0.901,0
right,80,100,20,40,-30,0,40,0,0.1,False,0.933,0
left,100,80,80,20,30,60,20,60,0.1,False,1.309,0
right,100,60,80,60,30,40,100,20,0.2,False,0.684,0
right,20,100,100,100,-60,60,40,0,0.2,False,0.87,0
left,0,100,100,40,0,20,0,0,1.0,False,1.616,0
right,80,100,40,80,-60,100,40,0,0.6,False,0.942,0
left,20,40,60,0,-30,40,40,80,0.4,False,1.452,0
left,0,40,20,40,-60,0,40,60,0.1,False,1.432,0
right,40,80,100,20,-60,80,0,0,0.4,False,1.481,0
left,20,60,80,0,0,0,40,40,1.0,False,1.533,0
left,0,80,80,20,60,100,80,60,0.4,False,1.443,0
right,20,40,100,80,60,20,0,100,0.8,False,1.625,0
right,100,100,80,20,30,80,80,0,1.0,False,0.955,0
left,0,0,0,20,60,40,0,60,0.6,False,1.442,0
left,100,0,100,80,60,20,60,40,0.1,False,1.39,0
right,0,100,80,80,-90,100,80,0,1.0,False,0.751,0
right,40,0,40,20,60,20,20,100,1.0,False,1.162,0
