feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,0,100,40,20,-60,20,100,0,1.0,False,1.047,0
left,80,60,0,0,-90,20,20,80,0.8,False,1.067,0
left,80,20,100,100,60,80,60,20,0.6,False,1.201,0
right,0,20,100,60,-30,40,20,20,0.4,False,0.923,0
left,0,60,0,40,90,40,80,40,0.1,False,1.089,0
right,80,0,60,0,30,40,100,80,0.4,False,0.848,0
left,100,0,0,100,-60,40,0,20,0.1,False,1.029,0
right,40,60,100,40,-60,40,40,20,1.0,False,0.802,0
right,100,100,100,0,30,100,20,80,1.0,False,0.82,0
left,20,60,60,40,60,100,80,20,1.0,False,1.098,0
right,0,20,0,40,0,40,0,20,0.8,False,0.953,0
right,20,100,60,60,60,60,20,40,0.2,False,0.904,0
left,100,80,80,40,60,80,60,80,0.6,False,1.193,0
right,20,20,80,60,-90,0,0,20,1.0,False,0.916,0
left,100,60,80,0,0,60,80,60,0.8,False,1.116,0
right,80,0,100,100,-90,100,80,40,1.0,False,0.896,0
right,0,40,60,20,0,0,100,100,0.4,False,0.875,0
left,80,0,100,40,90,100,80,80,0.2,False,1.186,0
left,40,20,80,80,-90,80,40,60,0.1,False,1.049,0
left,40,40,20,0,-60,80,0,0,1.0,False,1.102,0
right,0,80,20,20,60,60,80,20,0.4,False,0.788,0
right,20,80,100,100,-60,100,40,60,1.0,False,0.923,0
right,60,80,60,0,-60,20,0,40,0.1,False,0.835,0
left,80,20,0,0,60,100,0,20,0.1,False,1.15,0
left,40,0,80,20,-30,100,60,20,0.8,False,1.068,0
left,100,80,80,60,-60,60,60,20,0.1,False,1.091,0
left,100,60,40,60,0,60,100,0,1.0,False,0.998,0
left,0,60,100,40,90,0,20,20,0.2,False,1.028,0
right,20,60,20,40,0,20,0,60,0.8,False,0.9,0
left,0,100,80,0,-90,20,20,60,0.6,False,1.224,0
right,20,60,0,20,0,0,60,40,0.6,False,0.853,0
right,60,100,100,80,60,100,60,20,0.2,False,0.758,0
right,20,0,80,100,30,0,100,40,0.1,False,0.982,0
left,80,60,80,80,-60,0,80,0,0.2,False,0.918,0
left,80,0,100,20,0,0,80,20,0.8,False,1.124,0
left,80,0,60,100,30,80,80,40,0.4,False,1.08,0
left,100,100,40,20,-30,60,20,100,1.0,False,1.07,0
right,60,40,0,0,0,80,80,0,0.1,False,0.887,0
left,80,40,20,40,-90,20,40,40,0.2,False,1.09,0
right,80,100,40,80,90,100,80,0,1.0,False,0.769,0
right,100,0,20,40,-90,0,100,80,0.2,False,0.783,0
right,40,80,20,100,-30,20,100,100,0.4,False,0.831,0
right,40,0,0,100,0,40,0,0,0.4,False,0.815,0
left,100,40,20,100,0,80,100,60,0.8,False,1.138,0
left,0,0,100,20,30,0,40,80,0.8,False,1.103,0
left,60,20,0,40,-30,0,40,20,1.0,False,1.016,0
left,100,0,40,80,90,60,80,100,0.2,False,1.171,0
left,20,20,60,0,-60,100,40,60,1.0,False,1.083,0
left,40,20,100,0,0,0,60,20,0.2,False,1.062,0
right,40,40,20,20,-90,100,20,60,0.4,False,0.973,0
right,0,40,40,100,30,60,100,80,0.4,False,0.744,0
left,0,40,20,80,-30,0,0,80,0.6,False,1.262,0
right,100,40,60,80,30,0,60,80,0.2,False,0.8,0
right,0,100,60,0,30,80,100,100,1.0,False,0.772,0
left,40,60,0,100,-30,80,40,100,0.1,False,1.103,0
right,80,40,100,60,-30,60,100,40,0.8,False,0.919,0
left,20,60,100,60,60,100,20,80,0.8,False,1.201,0
right,60,80,0,40,-30,20,60,80,0.8,False,0.82,0
right,60,60,60,100,-60,80,60,100,0.2,False,0.86,0
left,40,80,100,100,30,40,0,20,1.0,False,1.087,0
right,20,20,20,0,-90,20,60,80,0.1,False,0.915,0
right,60,100,80,20,60,100,60,60,0.6,False,0.775,0
left,20,100,100,0,90,0,60,20,0.2,False,1.193,0
right,0,80,20,0,0,20,60,100,0.8,False,0.938,0
right,60,80,100,80,0,80,60,20,1.0,False,0.905,0
right,60,40,20,100,-30,80,60,100,0.2,False,0.855,0
right,60,0,100,40,-60,40,40,40,0.8,False,0.935,0
left,20,20,20,60,60,20,100,20,0.1,False,1.148,0
right,60,40,80,60,0,0,20,60,0.6,False,0.909,0
left,80,60,60,0,-30,40,60,60,0.8,False,1.093,0
left,60,20,40,60,0,0,60,40,1.0,False,1.152,0
right,100,20,60,20,30,80,0,60,0.8,False,0.819,0
left,0,100,60,20,90,60,20,0,0.4,False,1.181,0
right,40,20,60,40,-30,60,40,60,0.4,False,0.992,0
left,60,0,100,80,-90,40,20,100,0.1,False,1.082,0
left,0,20,20,0,30,20,20,20,0.6,False,1.074,0
left,80,20,60,100,-30,40,20,80,0.8,False,1.103,0
left,20,40,0,80,-90,40,80,100,0.6,False,1.021,0
right,100,20,0,80,60,100,20,0,1.0,False,0.818,0
right,100,80,0,80,90,0,40,80,0.6,False,0.943,0
right,0,80,100,40,-90,60,60,0,0.6,False,0.768,0
right,100,60,100,20,0,20,100,80,1.0,False,0.89,0
right,80,80,60,60,0,100,80,40,0.4,False,0.94,0
left,0,40,60,20,90,60,80,80,1.0,False,1.121,0
right,40,0,60,40,-60,60,20,40,0.4,False,0.934,0
right,40,80,100,40,30,0,80,20,0.1,False,0.77,0
left,100,60,60,80,90,20,100,60,1.0,False,1.142,0
right,60,0,0,40,-60,60,100,20,0.4,False,0.938,0
right,60,80,80,40,0,100,80,40,0.4,False,0.854,0
right,40,40,40,20,-90,100,20,40,0.1,False,0.886,0
left,20,20,100,60,-30,100,80,80,0.8,False,1.105,0
right,0,20,40,20,-30,20,40,0,1.0,False,0.945,0
left,40,0,0,80,-30,100,20,100,0.6,False,1.092,0
left,0,80,40,60,0,60,40,20,0.1,False,1.092,0
right,60,0,0,60,0,0,80,100,1.0,False,0.94,0
left,20,20,80,40,-90,20,0,80,0.6,False,1.036,0
left,80,60,60,60,-30,80,60,40,0.8,False,1.236,0
left,80,100,0,20,60,20,40,100,0.1,False,1.187,0
left,20,20,80,0,-60,0,60,60,1.0,False,1.192,0
right,40,0,20,40,60,40,100,60,0.1,False,0.784,0
left,40,100,80,100,90,20,60,0,0.8,False,1.118,0
left,100,20,40,20,-90,0,20,40,0.8,False,1.036,0
right,60,0,60,100,-30,100,60,40,0.8,False,0.875,0
right,60,0,80,0,0,100,40,80,0.4,False,0.82,0
left,0,20,100,80,30,0,100,40,0.8,False,1.145,0
left,20,60,80,100,0,40,20,80,0.6,False,1.084,0
right,0,60,40,60,-30,40,100,0,0.2,False,0.895,0
right,60,100,60,40,60,60,80,0,0.6,False,0.853,0
left,40,40,40,0,90,60,80,0,1.0,False,1.159,0
right,60,0,20,80,-30,80,60,100,0.6,False,0.974,0
left,20,40,80,20,-30,60,100,60,0.1,False,0.716,0
left,100,80,20,100,-60,40,80,0,0.8,False,1.073,0
right,0,20,0,60,-90,100,20,60,1.0,False,0.81,0
right,80,100,40,60,90,60,60,20,0.6,False,0.839,0
left,60,20,80,80,60,20,0,40,0.6,False,1.1,0
right,80,40,0,40,60,40,80,80,1.0,False,0.774,0
right,20,60,80,60,-30,40,80,80,0.6,False,0.899,0
right,40,20,100,20,30,60,20,60,0.1,False,0.784,0
right,100,60,100,60,0,100,100,20,0.6,False,0.946,0
left,20,80,80,40,90,0,60,0,0.8,False,1.178,0
right,0,100,20,60,90,100,20,0,0.6,False,0.72,0
right,40,80,100,60,60,0,40,100,0.8,False,0.816,0
right,40,100,100,60,90,80,0,80,0.1,False,0.801,0
left,100,100,40,20,60,0,60,0,1.0,False,1.201,0
left,60,20,100,40,-90,0,40,0,0.4,False,1.061,0
right,40,60,20,20,30,60,80,100,0.2,False,0.784,0
left,20,0,80,60,30,100,20,60,0.8,False,1.168,0
left,20,60,100,40,0,40,100,0,0.6,False,1.064,0
right,100,80,20,0,0,40,80,40,1.0,False,0.992,0
right,100,40,60,40,-60,60,60,0,0.2,False,0.87,0
right,80,40,80,40,60,40,0,100,0.6,False,0.796,0
