feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,20,20,60,80,-30,40,100,80,0.4,False,1.014,0
left,80,40,0,40,0,80,20,20,0.6,False,1.334,0
right,100,80,60,80,30,20,40,20,0.2,False,0.571,0
left,40,40,40,40,0,20,40,100,1.0,False,1.425,0
right,0,20,40,100,30,20,60,100,0.6,False,0.71,0
left,80,60,60,20,0,40,40,60,1.0,False,1.361,0
right,60,60,80,100,30,0,80,20,0.2,False,0.783,0
left,100,60,80,0,60,60,60,0,0.1,False,1.341,0
left,60,60,40,100,-30,100,20,0,0.2,False,0.964,0
right,100,20,80,60,-30,80,0,40,0.2,False,0.866,0
right,60,0,0,20,-30,80,100,60,1.0,False,0.857,0
left,20,0,100,20,90,60,60,60,0.1,False,1.342,0
right,20,20,40,100,-30,100,20,60,0.8,False,0.896,0
right,0,60,100,100,30,0,40,20,0.4,False,0.794,0
left,20,100,60,40,90,80,80,0,0.8,False,1.427,0
left,80,20,20,60,0,0,80,100,0.8,False,1.456,0
left,80,60,0,60,30,100,20,100,0.8,False,1.309,0
right,0,100,100,80,-30,0,0,0,0.4,False,0.744,0
right,0,20,80,40,30,80,0,60,1.0,False,1.978,0
left,80,40,60,0,-90,60,0,80,0.4,False,1.427,0
right,0,80,100,80,-90,60,0,80,0.6,False,0.948,0
right,60,40,80,40,-60,40,20,20,1.0,False,0.942,0
left,100,20,100,100,-90,0,60,40,0.2,False,1.017,0
left,0,20,80,80,30,0,40,100,0.6,False,1.147,0
left,60,100,20,0,60,40,100,40,0.8,False,1.38,0
left,40,80,40,0,-60,100,80,100,0.1,False,0.981,0
right,0,100,20,20,30,20,0,20,0.2,False,2.165,0
right,40,0,20,40,-90,20,60,20,0.6,False,0.892,0
right,0,0,80,0,90,80,100,100,0.8,False,1.684,0
left,100,40,100,0,0,100,100,80,0.1,False,1.392,0
left,80,0,0,20,-60,100,40,60,0.6,False,1.019,0
right,80,40,40,40,0,100,60,100,0.6,False,0.852,0
left,60,100,20,0,90,40,40,80,0.1,False,1.493,0
right,100,60,80,40,-60,20,40,80,0.4,False,2.378,0
right,100,40,60,20,60,20,20,20,1.0,False,1.691,0
left,100,40,20,0,-30,20,0,0,0.6,False,1.375,0
right,20,80,20,20,60,80,60,40,0.4,False,1.23,0
right,60,20,80,80,-60,20,100,40,0.8,False,0.739,0
left,100,80,80,80,-90,20,60,80,0.8,False,1.518,0
left,20,100,40,20,90,40,20,40,0.2,False,1.372,0
left,20,100,20,100,-90,0,80,40,0.4,False,1.381,0
left,20,100,60,40,90,60,20,0,0.2,False,1.358,0
right,20,100,100,20,-30,100,100,40,0.6,False,0.873,0
left,0,20,20,40,0,0,100,0,0.6,False,1.37,0
right,40,100,20,0,-90,100,100,20,0.4,False,0.805,0
left,80,40,60,100,90,20,0,0,0.8,False,1.385,0
right,40,60,100,80,30,40,80,0,0.1,False,0.649,0
left,80,40,20,100,-60,0,60,0,0.8,False,1.452,0
left,60,80,80,0,-90,40,40,40,1.0,False,1.404,0
right,100,100,20,0,60,100,100,100,0.4,False,0.76,0
right,40,80,0,100,0,60,40,40,1.0,False,0.789,0
right,80,100,40,40,0,60,40,100,0.4,False,2.315,0
right,40,100,0,20,0,40,0,20,0.8,False,0.921,0
left,100,60,0,80,30,40,0,60,0.8,False,1.456,0
left,40,40,80,40,90,80,60,0,0.4,False,1.282,0
right,0,40,80,0,-60,80,20,60,0.2,False,0.902,0
right,0,80,40,100,0,60,0,20,0.8,False,1.865,0
left,40,20,100,60,90,100,80,100,1.0,False,1.359,0
right,80,80,60,80,-60,80,0,60,0.8,False,1.359,0
left,40,40,0,60,-90,40,80,60,0.1,False,1.406,0
right,60,100,100,60,-90,60,60,20,0.2,False,0.872,0
left,20,40,100,0,-60,0,40,100,1.0,False,1.437,0
right,80,60,100,100,-60,40,80,60,0.2,False,1.052,0
left,20,20,100,60,-60,80,40,100,0.6,False,0.778,0
left,100,100,60,0,-30,20,80,80,0.4,False,1.489,0
right,0,0,100,80,60,0,20,60,0.8,False,1.615,0
left,100,20,60,60,60,100,80,60,0.4,False,1.75,0
left,0,100,40,40,0,40,80,40,0.6,False,1.162,0
right,0,40,40,20,-60,100,100,40,0.1,False,0.779,0
right,60,20,80,60,90,80,100,20,0.6,False,0.874,0
right,40,60,0,100,-60,0,80,100,0.4,False,0.757,0
left,60,60,0,100,-90,60,0,60,0.1,False,0.977,0
right,80,80,0,60,-90,80,20,100,0.2,False,1.524,0
left,80,20,20,60,30,100,80,20,0.2,False,1.275,0
right,60,40,60,80,60,60,100,100,1.0,False,1.868,0
left,40,20,60,40,60,80,0,80,0.6,False,1.326,0
left,60,60,100,80,30,40,20,80,0.2,False,0.897,0
right,20,20,80,80,60,20,20,0,1.0,False,1.786,0
right,40,0,0,20,0,100,100,80,0.1,False,0.731,0
left,20,80,40,20,-30,0,60,20,0.4,False,1.406,0
left,60,0,80,100,60,60,20,100,0.4,False,1.345,0
right,40,0,100,0,-30,40,20,20,1.0,False,0.915,0
left,20,100,100,20,90,60,0,60,0.4,False,1.339,0
right,100,60,20,60,0,20,20,0,1.0,False,2.15,0
right,40,60,40,100,0,60,40,0,0.2,False,1.88,0
left,80,80,0,100,90,60,60,40,0.8,False,1.35,0
right,100,80,80,0,30,80,80,0,1.0,False,0.732,0
left,60,40,20,0,60,20,60,20,0.2,False,1.369,0
right,80,0,40,60,60,80,100,40,0.4,False,0.859,0
left,60,40,0,20,-90,0,0,80,0.4,False,1.516,0
right,20,20,0,100,90,0,80,100,0.8,False,1.12,0
left,60,80,40,80,0,60,100,80,0.6,False,1.644,0
left,0,60,40,20,-30,0,40,0,1.0,False,1.381,0
right,0,40,0,0,-60,40,80,40,0.1,False,0.799,0
right,80,80,20,40,-30,80,40,80,0.6,False,0.948,0
left,0,100,40,100,30,40,20,40,0.2,False,1.075,0
left,80,40,40,40,-30,40,60,40,0.6,False,1.113,0
right,60,20,60,60,60,0,60,20,0.4,False,0.734,0
left,40,0,20,60,-90,20,20,20,1.0,False,1.391,0
right,0,60,0,60,-60,20,80,40,0.1,False,0.755,0
left,40,20,60,40,-90,0,40,60,0.6,False,1.58,0
right,40,0,80,0,-30,100,80,60,0.1,False,0.724,0
right,100,80,40,40,90,100,40,0,0.6,False,2.367,0
left,20,0,0,40,-60,60,60,0,1.0,False,1.697,0
left,60,80,20,80,-60,20,100,100,0.1,False,1.438,0
right,0,100,40,80,0,0,20,0,0.1,False,0.888,0
left,100,60,80,0,-90,40,100,60,0.8,False,1.821,0
left,0,0,100,20,90,100,80,20,1.0,False,1.345,0
right,20,80,0,60,30,0,20,100,0.6,False,0.786,0
right,40,0,60,0,-30,0,60,0,0.6,False,1.525,0
left,60,20,60,20,60,20,0,0,0.6,False,1.386,0
right,100,0,0,60,-30,100,80,60,0.1,False,0.757,0
right,40,0,60,80,0,80,0,40,0.4,False,1.602,0
left,40,60,80,60,90,40,100,60,1.0,False,1.554,0
right,100,100,20,80,90,100,0,80,0.1,False,1.645,0
left,20,0,100,20,90,100,0,100,0.4,False,1.313,0
right,100,60,80,40,0,0,20,0,0.2,False,1.998,0
left,0,80,0,0,-90,60,80,100,0.2,False,0.947,0
left,20,0,0,40,-60,20,0,40,1.0,False,1.112,0
right,80,0,100,20,-60,80,40,80,1.0,False,0.993,0
right,60,100,60,60,90,20,80,20,0.8,False,0.799,0
left,100,40,60,100,60,80,20,0,0.8,False,1.378,0
right,40,60,40,40,60,40,60,80,1.0,False,0.979,0
right,20,80,100,100,-60,100,0,60,0.2,False,1.459,0
left,80,20,60,20,-90,0,100,80,0.4,False,1.508,0
left,40,0,20,20,-60,60,0,20,1.0,False,1.395,0
right,60,40,60,0,90,60,100,40,0.2,False,1.691,0
left,80,60,0,80,90,100,80,80,0.8,False,1.045,0
left,40,60,20,60,-90,20,100,40,0.1,False,1.417,0
right,100,100,0,40,30,40,100,20,0.2,False,0.824,0
left,80,80,20,20,0,80,80,100,0.2,False,1.613,0
left,40,20,40,80,90,80,60,0,0.2,False,1.346,0
right,80,0,60,80,-60,0,0,40,1.0,False,0.746,0
left,100,100,60,100,60,20,20,0,0.6,False,1.315,0
right,0,80,80,20,0,80,100,40,0.2,False,0.607,0
right,80,80,80,100,-60,80,20,20,0.2,False,1.027,0
left,100,100,0,0,-90,100,60,20,0.6,False,0.981,0
right,0,80,100,80,30,0,60,20,1.0,False,0.614,0
right,0,40,60,0,60,80,60,40,0.4,False,0.727,0
left,100,100,0,100,60,60,0,100,0.8,False,1.342,0
right,100,20,100,0,60,100,40,100,0.2,False,2.116,0
right,0,100,100,60,0,60,40,60,0.1,False,1.121,0
left,60,0,100,80,-30,0,80,100,0.6,False,1.424,0
left,80,0,40,40,60,100,40,100,0.1,False,1.342,0
right,60,20,60,40,90,40,80,60,0.8,False,0.824,0
left,20,60,40,80,60,100,60,100,0.1,False,1.42,0
right,0,0,0,60,90,80,40,0,0.1,False,0.703,0
left,80,40,60,60,-30,0,20,100,0.6,False,2.066,0
right,20,60,80,0,-30,20,20,60,1.0,False,0.814,0
left,0,0,40,80,-30,60,20,0,1.0,False,1.402,0
left,0,100,80,60,30,40,0,20,0.8,False,2.414,0
left,20,40,60,60,30,60,100,80,0.8,False,1.406,0
right,40,100,0,60,-60,80,20,100,0.8,False,1.347,0
right,100,0,20,60,-60,20,60,40,0.6,False,2.472,0
right,100,20,100,20,-30,40,80,0,0.1,False,0.827,0
left,0,60,20,20,0,80,0,100,0.2,False,1.379,0
right,20,40,20,40,30,60,80,0,0.4,False,1.063,0
right,60,20,100,20,30,40,60,80,0.6,False,0.632,0
left,40,0,80,100,-90,60,0,60,0.4,False,1.371,0
right,80,60,100,20,30,60,40,0,0.6,False,0.98,0
left,20,0,60,100,0,100,40,80,0.8,False,1.356,0
left,40,0,0,20,60,20,80,20,0.8,False,1.239,0
left,20,80,100,40,30,80,60,0,0.1,False,1.048,0
right,100,20,60,40,60,20,60,40,0.4,False,1.155,0
left,60,100,0,60,30,80,80,80,0.1,False,1.492,0
left,60,80,40,80,-30,100,100,60,0.2,False,1.541,0
right,20,100,0,100,90,0,100,60,0.6,False,0.919,0
right,80,60,80,0,-90,40,40,0,0.1,False,0.831,0
right,40,40,20,60,90,0,0,80,0.1,False,0.825,0
left,100,0,40,60,30,100,0,80,0.6,False,1.329,0
right,20,40,60,80,-90,20,60,20,0.1,False,1.565,0
right,100,80,20,20,0,60,20,40,0.2,False,1.839,0
left,20,60,80,0,90,20,60,80,0.2,False,1.395,0
right,40,80,100,20,30,0,0,100,0.4,False,0.68,0
left,80,80,100,80,-60,100,100,20,0.6,False,1.418,0
left,80,60,80,0,60,80,100,40,0.8,False,1.47,0
left,40,20,80,40,0,0,20,20,0.1,False,1.387,0
right,20,100,20,0,-60,40,100,80,0.1,False,0.868,0
left,100,20,20,40,30,60,20,0,0.1,False,1.341,0
left,20,60,100,100,90,40,20,80,0.8,False,1.379,0
left,80,20,80,100,90,20,80,80,0.2,False,1.355,0
right,20,20,0,20,0,80,20,60,0.1,False,1.128,0
right,20,0,80,80,90,40,100,100,0.8,False,0.703,0
left,0,100,40,60,60,100,60,80,0.8,False,1.351,0
right,100,0,80,20,60,60,80,80,0.4,False,1.651,0
left,80,20,60,20,30,0,80,80,0.2,False,1.986,0
right,60,60,100,60,30,100,40,60,0.2,False,2.115,0
right,40,80,40,0,-30,100,100,40,0.1,False,1.928,0
right,20,100,20,20,-60,0,60,60,0.8,False,0.84,0
left,100,40,100,100,-30,0,40,60,0.1,False,1.037,0
left,60,40,20,80,-60,60,20,100,1.0,False,0.922,0
right,60,100,20,0,30,0,40,0,0.6,False,0.875,0
right,80,60,100,40,30,100,100,0,0.4,False,2.229,0
left,100,60,60,100,90,100,100,40,0.8,False,1.471,0
left,40,80,60,80,0,20,0,60,0.8,False,1.437,0
right,0,40,20,80,-90,60,60,60,0.2,False,0.868,0
left,20,60,20,20,60,20,0,40,1.0,False,1.394,0
left,40,60,20,100,-60,60,20,20,0.1,False,1.371,0
right,80,0,0,100,-60,20,40,60,0.4,False,0.889,0
right,80,100,80,80,-90,20,80,20,0.8,False,1.107,0
left,40,0,100,80,-90,80,60,40,0.4,False,1.414,0
left,20,80,60,80,60,40,60,0,1.0,False,1.474,0
right,0,0,40,100,0,80,20,60,0.2,False,0.914,0
right,0,80,0,0,30,80,20,60,1.0,False,2.126,0
left,100,20,40,60,-30,60,0,40,0.6,False,1.348,0
right,80,100,20,0,30,20,80,20,0.6,False,1.026,0
left,80,20,20,20,-30,100,60,80,0.2,False,0.877,0
right,20,80,20,80,-90,0,100,80,1.0,False,0.737,0
left,0,0,100,60,-90,60,40,0,0.4,False,1.374,0
right,100,40,0,0,90,40,100,40,0.8,False,1.758,0
right,0,60,0,80,-90,40,40,40,0.2,False,0.852,0
left,60,100,40,20,90,80,80,20,0.8,False,1.372,0
left,40,80,20,40,-30,20,100,20,0.1,False,1.37,0
right,100,40,80,100,60,20,80,40,0.2,False,0.827,0
right,40,20,100,60,-30,100,0,0,1.0,False,1.676,0
left,20,40,40,80,-60,60,80,80,0.4,False,1.407,0
left,100,40,80,0,-60,40,20,20,0.1,False,1.391,0
right,20,100,60,100,90,100,60,40,0.4,False,0.751,0
right,60,20,60,80,60,100,60,0,0.6,False,1.556,0
left,40,80,60,40,-60,40,60,60,0.6,False,1.019,0
left,80,20,0,0,0,40,20,80,0.4,False,1.366,0
left,0,100,100,100,-30,40,0,40,1.0,False,0.823,0
right,20,60,40,40,-90,40,20,20,0.2,False,1.798,0
right,100,0,0,40,0,60,100,0,0.4,False,1.714,0
left,100,20,60,0,0,20,0,100,1.0,False,1.539,0
right,20,100,60,40,-30,80,60,20,0.2,False,0.914,0
left,20,60,80,0,-30,100,40,0,1.0,False,1.079,0
right,60,20,0,20,90,40,0,80,0.4,False,0.781,0
left,0,20,40,100,60,80,80,100,0.8,False,1.561,0
right,40,60,40,0,-90,80,100,60,0.6,False,1.891,0
left,80,100,0,80,-90,40,40,60,0.8,False,0.991,0
left,80,100,20,40,-60,60,60,80,1.0,False,0.893,0
right,0,100,80,20,60,60,80,20,0.6,False,1.522,0
right,0,20,80,0,0,20,100,20,0.4,False,1.15,0
left,80,80,60,100,-90,0,0,40,1.0,False,1.526,0
right,100,60,100,20,-90,60,80,60,0.6,False,1.712,0
