feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,20,20,60,80,-30,40,100,80,0.4,False,0.816,0
left,80,40,0,40,0,80,20,20,0.6,False,1.126,0
right,100,80,60,80,30,20,40,20,0.2,False,0.846,0
left,40,40,40,40,0,20,40,100,1.0,False,1.104,0
right,0,20,40,100,30,20,60,100,0.6,False,0.836,0
left,80,60,60,20,0,40,40,60,1.0,False,1.073,0
right,60,60,80,100,30,0,80,20,0.2,False,0.906,0
left,100,60,80,0,60,60,60,0,0.1,False,1.148,0
left,60,60,40,100,-30,100,20,0,0.2,False,1.089,0
right,100,20,80,60,-30,80,0,40,0.2,False,0.944,0
right,60,0,0,20,-30,80,100,60,1.0,False,0.821,0
left,20,0,100,20,90,60,60,60,0.1,False,1.244,0
right,20,20,40,100,-30,100,20,60,0.8,False,0.908,0
right,0,60,100,100,30,0,40,20,0.4,False,0.838,0
left,20,100,60,40,90,80,80,0,0.8,False,1.057,0
left,80,20,20,60,0,0,80,100,0.8,False,1.159,0
left,80,60,0,60,30,100,20,100,0.8,False,1.126,0
right,0,100,100,80,-30,0,0,0,0.4,False,0.827,0
right,0,20,80,40,30,80,0,60,1.0,False,0.771,0
left,80,40,60,0,-90,60,0,80,0.4,False,1.079,0
right,0,80,100,80,-90,60,0,80,0.6,False,0.771,0
right,60,40,80,40,-60,40,20,20,1.0,False,0.884,0
left,100,20,100,100,-90,0,60,40,0.2,False,1.021,0
left,0,20,80,80,30,0,40,100,0.6,False,1.076,0
left,60,100,20,0,60,40,100,40,0.8,False,1.182,0
left,40,80,40,0,-60,100,80,100,0.1,False,1.073,0
right,0,100,20,20,30,20,0,20,0.2,False,0.783,0
right,40,0,20,40,-90,20,60,20,0.6,False,0.896,0
right,0,0,80,0,90,80,100,100,0.8,False,0.829,0
left,100,40,100,0,0,100,100,80,0.1,False,1.106,0
left,80,0,0,20,-60,100,40,60,0.6,False,1.066,0
right,80,40,40,40,0,100,60,100,0.6,False,0.771,0
left,60,100,20,0,90,40,40,80,0.1,False,1.174,0
right,100,60,80,40,-60,20,40,80,0.4,False,0.797,0
right,100,40,60,20,60,20,20,20,1.0,False,0.91,0
left,100,40,20,0,-30,20,0,0,0.6,False,1.077,0
right,20,80,20,20,60,80,60,40,0.4,False,0.909,0
right,60,20,80,80,-60,20,100,40,0.8,False,0.896,0
left,100,80,80,80,-90,20,60,80,0.8,False,1.017,0
left,20,100,40,20,90,40,20,40,0.2,False,1.232,0
left,20,100,20,100,-90,0,80,40,0.4,False,1.012,0
left,20,100,60,40,90,60,20,0,0.2,False,1.195,0
