PathInteraction	StartEgo	GoalEgo	StartOther	GoalOther	RoadFriction	FogDensity	Precipitation	PrecipitationDeposits	Cloudiness	WindIntensity	Wetness	FogDistance
c2	Right	Base	Base	Left	0.4	100	20	20	60	40	0	100
c1	Base	Right	Left	Right	0.2	40	100	100	80	60	60	60
c2	Base	Left	Right	Base	0.4	20	0	40	0	80	20	40
c4	Right	Base	Left	Base	1	0	40	60	60	20	100	0
c1	Left	Right	Base	Right	0.1	80	60	80	40	0	80	20
c2	Base	Left	Right	Left	0.6	60	80	60	20	100	40	80
c1	Left	Right	Base	Right	0.4	60	40	0	20	60	80	0
c4	Left	Base	Right	Base	0.8	40	100	80	20	80	0	20
c2	Base	Left	Right	Left	0.2	0	80	0	100	0	20	100
c1	Base	Left	Left	Right	0.8	80	20	100	0	40	100	80
c1	Base	Right	Left	Right	1	100	0	20	100	100	60	20
c2	Base	Left	Right	Left	1	80	80	40	40	60	0	40
c4	Right	Base	Left	Base	0.6	20	60	0	40	20	60	80
c4	Left	Right	Right	Base	0.1	100	100	100	100	20	40	40
c2	Right	Left	Base	Left	1	60	60	80	60	80	20	60
c2	Base	Left	Right	Left	0.1	0	0	40	20	40	80	60
c2	Right	Base	Base	Left	0.2	40	60	40	100	100	100	0
c1	Base	Right	Left	Right	0.8	0	40	20	40	80	40	100
c1	Left	Right	Base	Right	0.6	20	20	60	80	40	20	20
c2	Right	Base	Base	Left	0.4	0	80	80	0	60	60	20
c1	Left	Right	Base	Left	0.8	20	80	100	60	20	80	20
c1	Base	Right	Left	Right	0.6	100	40	40	80	0	0	80
c4	Right	Base	Left	Base	0.8	60	0	80	80	100	100	40
c2	Base	Left	Right	Base	0.1	40	100	20	60	60	20	80
c2	Base	Left	Right	Base	0.2	80	40	100	20	40	60	40
c2	Right	Base	Base	Left	1	80	100	0	0	40	40	0
c4	Left	Base	Right	Base	0.1	40	20	0	0	0	100	60
c4	Right	Base	Left	Base	1	40	20	80	80	20	80	100
c1	Base	Left	Left	Right	0.4	80	80	20	80	20	40	60
c1	Left	Right	Base	Left	0.1	20	40	60	100	100	0	60
c1	Left	Right	Base	Right	0.2	60	0	60	0	0	60	100
c4	Right	Base	Left	Right	0.6	40	0	100	60	0	40	0
c2	Base	Left	Right	Left	0.4	100	20	100	40	100	20	0
c1	Left	Right	Base	Right	0.6	0	20	20	100	80	80	40
c4	Left	Right	Right	Base	0.2	100	60	80	0	80	80	80
c4	Right	Base	Left	Base	0.2	60	20	40	20	20	40	20
c1	Left	Right	Base	Left	0.4	20	60	20	20	40	100	100
c2	Base	Left	Right	Left	0.1	60	0	20	0	20	0	0
c2	Base	Left	Right	Left	0.8	20	60	80	80	60	40	0
c4	Right	Base	Left	Base	0.8	100	80	60	40	80	100	60
c4	Right	Base	Left	Right	0.6	80	0	60	100	60	20	100
c1	Base	Right	Left	Right	0.1	80	100	40	60	80	60	0
c1	Left	Right	Base	Right	0.8	40	40	80	100	40	20	80
c4	Right	Base	Left	Base	0.2	20	100	0	40	0	0	40
c2	Base	Left	Right	Left	0.8	0	100	0	60	100	100	20
c4	Right	Base	Left	Base	1	0	60	100	0	100	0	100
c1	Left	Right	Base	Right	0.4	40	100	60	100	100	80	80
c1	Base	Right	Left	Right	1	100	40	20	20	20	20	20
c1	Left	Right	Base	Right	0.2	100	60	60	60	60	100	40
c2	Base	Left	Right	Left	1	0	0	0	80	80	60	80
c4	Left	Base	Right	Base	0.8	60	100	40	100	40	60	100
c4	Right	Base	Left	Base	0.8	40	80	20	20	0	60	0
c1	Left	Right	Base	Right	0.6	100	20	0	40	60	60	60
c2	Base	Left	Right	Base	0.6	40	80	80	0	40	100	40
c4	Right	Base	Left	Base	0.1	60	80	100	40	40	0	100
c1	Left	Right	Base	Right	1	20	40	20	0	0	80	0
c2	Base	Left	Right	Base	0.4	40	0	100	40	80	0	60
c2	Right	Base	Base	Left	0.2	80	40	20	80	100	0	60
c4	Right	Base	Left	Right	0.1	0	0	40	80	40	40	80
c4	Right	Base	Left	Right	0.4	100	60	40	80	0	80	80
c1	Left	Right	Base	Right	0.6	20	100	40	20	20	60	60
