PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,StartEgo,Min_TTC,Collision_Occurred
c4,base,20,0.8,20,right,0,100,60,base,40,20,left,3.8623962434158936,False
c2,left,100,0.2,100,base_left_lane,60,20,40,left,20,0,right,5.3332669004110285,False
c2,left,40,0.8,40,base_left_lane,80,100,80,left,80,40,right,4.719592859878771,False
c2,left,40,0.2,0,right,60,80,0,base,80,40,base,2.3085827079715386,False
c2,left,0,0.1,40,base_left_lane,20,40,20,left,80,100,right,3.2059513056341298,False
c2,left,0,0.6,40,right,80,20,60,base,60,0,base,0.0,True
c4,base,0,0.6,20,left,80,40,40,base,60,60,right,3.4761649996668704,False
c2,left,40,0.4,80,right,100,0,80,left,20,0,base,3.4399507169098635,False
c2,left,20,0.1,20,base_left_lane,100,20,40,left,80,20,right,3.417987786274383,False
c4,base,20,0.2,40,right,60,60,60,base,100,0,left,2.492403328574486,False
c1,right,80,0.1,60,base_left_lane,60,80,20,left,100,80,left,0.7837145101427925,False
c2,left,40,0.4,0,base_left_lane,40,0,100,left,60,0,right,3.3069074049366396,False
c2,left,80,0.6,0,base_left_lane,100,40,0,left,100,0,right,3.835397294220269,False
c2,left,0,0.4,40,right,80,20,80,base,100,60,base,2.1429634285528847,False
c1,right,0,0.4,20,left,100,20,0,right,100,40,base,2.4812552923563524,False
c1,left,80,0.6,80,left,40,40,40,right,20,0,base,3.290567602809115,False
c1,right,40,0.6,0,left,100,0,0,right,20,0,base,3.2108264210818165,False
c1,right,80,0.6,100,base,100,80,60,right,0,0,left,5.663656795309812,False
c4,right,0,1.0,20,right,80,40,40,base,80,80,left,3.941502927182441,False
c4,base,80,0.6,60,right,60,80,40,base,40,60,left,0.0,True
c1,right,80,1.0,60,left,80,40,100,right,60,80,base,3.6937918315497096,False
c1,right,0,0.1,80,base_left_lane,80,80,20,left,100,100,left,0.9737207520453324,False
c2,base,20,1.0,0,base_left_lane,40,40,80,left,40,40,right,4.23660382800444,False
c1,right,0,0.1,100,base,0,0,100,right,80,0,left,5.477712121965023,False
c1,left,80,0.4,20,left,40,100,40,right,40,40,base,2.7000171566023545,False
c2,left,80,0.1,80,base_left_lane,0,100,60,left,20,20,right,3.5390673496775875,False
c4,base,20,0.8,0,right,100,80,60,base,40,80,left,2.868126387416488,False
c4,base,80,0.4,60,right,20,0,20,base,20,60,left,0.0,True
c4,base,60,1.0,60,right,0,40,80,base,60,60,left,2.668539780976572,False
c4,base,0,0.2,0,right,60,100,100,base,80,40,left,0.0,True
c4,base,100,0.8,40,right,80,20,20,base,80,20,left,3.2151819907008594,False
c4,base,80,1.0,20,left,80,60,80,right,60,0,right,0.0,True
c4,base,100,0.1,60,left,40,80,40,right,40,100,right,1.159665244657123,False
c1,left,40,0.1,40,left,80,0,20,right,60,20,base,3.3387238769985004,False
c2,left,40,0.6,60,right,60,80,20,left,20,60,base,4.2421887633340525,False
c1,left,20,0.4,20,left,20,40,40,right,100,40,base,2.338517334435232,False
