PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,TimeOfDay,StartEgo,Min_TTC,Collision_Occurred
c4,base,40,0.6,60,right,0,20,60,base,80,60,-90,left,1.3264710512225397,False
c4,base,60,1.0,100,right,60,60,0,base,0,60,30,left,2.060966932917952,False
c1,left,0,0.2,0,left,0,40,80,right,0,60,60,base,2.928401694409701,False
c1,right,20,0.4,100,base,80,60,20,right,60,20,-30,left,4.795328433999647,False
c2,left,0,0.6,100,base_left_lane,40,100,40,left,100,100,60,right,3.694221586719016,False
c4,right,60,0.6,60,right,80,40,80,base,40,80,90,left,3.8257556547899094,False
c2,left,80,0.6,100,base_left_lane,40,100,100,left,20,40,60,right,4.8751766703327934,False
c2,base,40,0.4,0,base_left_lane,60,20,100,left,80,60,0,right,2.967157178871195,False
c4,base,0,0.6,80,left,20,20,20,base,80,80,90,right,14.600992295991851,False
c2,left,80,0.2,60,base_left_lane,80,40,0,left,100,100,60,right,3.434136397030356,False
c1,right,40,0.6,20,left,60,60,80,right,0,80,30,base,2.5656267712747187,False
c4,base,80,0.1,40,right,80,40,80,base,0,60,30,left,2.3340931939674876,False
c4,base,0,0.1,40,right,20,80,80,base,80,0,90,left,1.8195787209225998,False
c4,base,20,0.4,80,right,40,60,0,base,0,20,-30,left,2.6650927605557597,False
c4,base,20,0.6,100,left,80,20,40,base,40,100,60,right,1.98567282313783,False
c2,left,60,0.4,20,base_left_lane,40,0,60,left,0,40,-30,right,3.490718876246035,False
c1,right,20,0.2,20,left,0,80,60,right,60,0,-90,base,3.5834797502392335,False
c1,right,100,0.1,20,left,100,80,60,right,20,80,30,base,2.2280349954362375,False
c4,base,0,0.4,20,right,60,100,40,base,100,20,60,left,1.8022993222044925,False
c4,base,20,0.8,40,right,100,40,80,base,40,20,0,left,2.087684828727672,False
c4,base,100,0.4,0,right,20,80,80,base,60,60,30,left,2.4431435956641354,False
c2,base,80,0.4,0,base_left_lane,60,80,60,left,100,100,-60,right,2.588151134011375,False
c1,right,40,0.2,20,left,60,40,20,right,80,40,-90,base,2.043880358249199,False
c1,left,0,0.8,80,left,100,20,60,right,40,40,90,base,1.9614136775781779,False
c4,base,20,0.4,80,left,0,100,20,base,0,20,-60,right,7.633993358692222,False
c2,left,40,0.4,100,base_left_lane,0,0,20,left,0,100,90,right,3.2558879852610625,False
c1,right,100,0.8,100,left,80,80,60,right,0,60,-60,base,0.0,True
c4,base,0,0.8,40,right,0,80,60,base,40,60,-30,left,1.4192244289017555,False
c2,left,20,0.4,20,base_left_lane,0,20,20,left,20,80,-30,right,2.9093811639813656,False
c4,right,80,0.6,80,right,100,60,40,base,60,40,90,left,3.790952195570682,False
c1,right,60,1.0,80,left,20,100,60,right,80,80,-30,base,1.955832548303233,False
c2,left,80,0.4,60,base_left_lane,100,40,60,left,80,100,60,right,6.647278713472236,False
c4,base,40,0.8,80,left,60,80,100,right,40,80,-30,right,1.0845738481639735,False
c2,left,100,0.2,40,base_left_lane,40,60,0,left,80,100,30,right,3.1260144445765556,False
c1,right,0,0.8,20,base,100,0,80,right,80,100,-30,left,3.610634868085359,False
c4,base,0,1.0,40,right,100,0,40,base,60,20,-90,left,3.60467603910563,False
c2,left,0,0.2,40,base_left_lane,0,0,0,left,0,40,60,right,3.479823382382739,False
c2,left,60,0.1,20,right,0,80,0,base,100,20,30,base,1.7954977606209048,False
c2,left,60,0.6,100,base_left_lane,40,60,80,left,0,0,30,right,7.076071931296069,False
c4,base,100,0.2,0,left,0,60,40,base,20,0,60,right,1.9727628113978655,False
c4,base,40,0.8,100,right,40,20,60,base,40,0,30,left,2.868125351918499,False
c2,left,20,0.8,60,base_left_lane,20,40,0,left,0,100,-60,right,3.775754470766401,False
c4,base,60,0.8,0,left,100,20,40,base,20,80,-90,right,1.8735088841947845,False
c2,left,20,0.8,60,base_left_lane,0,40,60,left,80,20,-90,right,2.1836661598799485,False
c4,base,0,0.8,0,left,0,20,20,base,0,20,-60,right,5.170561757226303,False
c4,base,20,0.8,100,right,60,80,20,base,100,60,60,left,2.8736851017776868,False
c4,right,20,0.8,60,right,80,60,100,base,80,40,-90,left,4.291872270266551,False
c4,base,0,0.4,60,right,40,100,100,base,40,0,90,left,2.437250835485202,False
c1,right,100,0.1,20,base_left_lane,60,60,60,left,0,80,0,left,0.9974715576431252,False
c1,right,20,0.4,20,left,0,40,60,right,100,0,90,base,2.2673101363028696,False
c2,base,0,0.4,0,base_left_lane,60,20,0,left,40,0,-30,right,3.2787435038632857,False
c1,right,80,0.6,0,left,0,100,60,right,0,100,60,base,2.4708563480658796,False
c1,right,40,0.6,60,left,40,60,80,right,20,100,0,base,0.0,True
c2,left,60,1.0,80,base_left_lane,20,60,40,left,20,60,30,right,3.0581480491425905,False
c4,base,0,0.6,20,right,80,80,40,base,100,80,-90,left,4.040652585369428,False
c1,right,20,1.0,20,left,0,100,60,right,100,100,-30,base,3.8279944599154745,False
c1,right,0,0.8,60,base,40,20,80,right,80,0,-60,left,3.0584927718835178,False
c2,left,60,0.6,80,right,20,60,40,left,100,100,90,base,2.3968063800476647,False
c4,base,60,0.6,40,left,0,60,60,base,80,100,-30,right,2.340990108408415,False
c1,right,0,0.2,20,left,100,100,100,right,100,80,90,base,3.002633111614008,False
c2,left,20,0.1,60,base_left_lane,80,20,80,left,80,100,-30,right,3.159815096296805,False
c1,left,20,0.6,60,left,80,60,100,right,40,80,-60,base,3.996844531178989,False
c1,right,60,0.8,100,base_left_lane,80,100,0,left,20,0,60,left,0.9946486172899597,False
c1,right,60,0.6,60,base,100,60,60,right,80,100,60,left,3.157134017957831,False
c1,right,40,0.8,100,left,20,20,60,right,60,40,60,base,4.034840920917591,False
c2,left,80,0.8,100,base_left_lane,60,80,40,left,80,0,-60,right,6.828619375664711,False
c4,base,80,1.0,100,left,80,100,0,right,40,100,30,right,0.8924005534711156,False
c1,right,60,0.1,0,left,100,0,40,right,60,60,-90,base,2.213779105501325,False
c2,base,80,0.4,60,base_left_lane,0,60,0,left,0,100,30,right,3.143118944391446,False
c1,right,0,0.6,80,left,0,0,80,right,40,0,-90,base,2.174410025643715,False
c2,base,40,0.6,20,base_left_lane,0,20,40,left,100,60,-30,right,2.6746214892526154,False
c1,right,60,0.6,100,left,40,80,100,right,80,20,60,base,3.262663161379342,False
c2,left,60,0.8,0,base_left_lane,0,80,40,left,40,60,30,right,3.6773978941374694,False
c1,right,40,1.0,100,left,100,0,40,right,100,40,0,base,3.339679800009881,False
c2,base,100,0.4,40,base_left_lane,0,0,40,left,80,100,-90,right,2.8177136146822885,False
c4,base,40,0.1,40,right,40,40,80,base,20,40,90,left,1.4276007625509453,False
c1,left,100,1.0,20,left,20,40,40,right,80,40,90,base,2.082920244215073,False
c2,left,100,0.4,60,base_left_lane,40,80,20,left,40,20,90,right,5.074341477333114,False
c2,left,20,0.4,0,base_left_lane,40,80,0,left,60,80,90,right,4.0932356384813104,False
c1,right,0,0.6,40,left,100,40,80,right,40,80,90,base,3.450447917200137,False
c4,base,60,0.6,80,right,100,60,60,base,40,60,-30,left,2.7307668918836594,False
c1,right,80,1.0,100,left,80,0,80,right,60,20,0,base,2.179850286682014,False
c4,base,0,0.1,40,right,20,80,80,base,40,0,90,left,2.777402657854891,False
c4,base,0,0.4,0,right,0,60,100,base,80,20,0,left,1.7057554166675328,False
c2,left,0,0.8,40,right,60,80,0,left,80,20,30,base,3.391799030837931,False
c2,base,0,0.6,40,base_left_lane,80,20,20,left,0,20,-60,right,3.726861250962027,False
c4,base,80,0.4,60,right,40,40,80,base,20,0,30,left,3.671852442305114,False
c4,base,0,0.8,0,left,0,20,60,right,0,100,-90,right,1.0500850830441328,False
c4,right,60,0.4,80,right,40,40,60,base,0,40,60,left,4.865870738117029,False
c4,right,0,0.2,60,right,80,0,100,base,20,0,60,left,3.8431793268982184,False
