PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,StartEgo,Min_TTC,Collision_Occurred
c2,left,20,0.4,0,right,0,40,0,left,80,20,base,3.2342963701795844,False
c4,right,40,1.0,20,right,80,100,60,base,0,20,left,4.790630587554238,False
c2,left,0,0.6,0,base_left_lane,0,100,100,left,0,40,right,3.2022333840261386,False
c1,right,80,0.1,80,left,0,60,100,right,100,20,base,3.2137422434658616,False
c2,left,0,0.1,20,right,20,20,60,base,20,40,base,1.594070146580435,False
c2,base,40,1.0,60,base_left_lane,80,0,0,left,40,80,right,3.496640760408562,False
c4,base,20,1.0,40,left,40,0,100,right,80,80,right,0.0,True
c4,base,80,0.6,0,right,100,100,60,base,40,100,left,2.550867557869975,False
c2,left,60,1.0,60,right,0,80,20,base,60,100,base,1.9328189834543137,False
c2,base,100,0.8,0,base_left_lane,20,100,80,left,20,80,right,2.7534120926473964,False
c1,right,100,0.2,60,left,40,0,40,right,0,100,base,4.415991375798242,False
c4,base,20,0.4,40,right,80,60,80,base,0,100,left,0.0,True
c1,left,20,1.0,60,left,20,0,80,right,0,0,base,3.2570167033175013,False
c1,right,100,0.8,20,base,60,80,80,right,20,40,left,4.941116457852104,False
c1,right,100,0.6,40,base_left_lane,40,60,60,left,60,60,left,0.8117405804525172,False
c4,right,20,0.8,20,right,0,20,80,base,80,60,left,4.714201521555672,False
c4,base,0,0.4,80,left,100,80,20,base,100,100,right,20.80851115119454,False
c2,left,100,0.1,100,right,100,60,40,base,60,0,base,1.909095015526856,False
c4,base,0,0.8,40,left,40,0,80,base,20,100,right,3.017164569851608,False
c2,base,60,0.2,60,base_left_lane,60,80,0,left,40,40,right,4.303460031471351,False
c4,base,40,0.2,100,left,0,80,60,right,60,0,right,1.0967862123810448,False
c1,left,80,0.2,80,left,60,60,100,right,40,60,base,2.0889007541560995,False
c4,right,60,0.4,100,right,40,40,40,base,40,60,left,3.627896096197077,False
c1,right,20,0.8,60,left,40,100,100,right,80,80,base,0.0,True
c4,base,0,0.8,0,left,40,60,20,right,60,100,right,0.0,True
c1,right,60,0.1,100,base,20,40,20,right,40,80,left,5.1889284166948775,False
c2,left,60,0.1,0,right,60,20,20,left,100,40,base,3.4248780291053507,False
c4,base,80,0.6,40,left,60,80,0,base,20,80,right,11.481492575927295,False
c1,right,60,0.2,0,base_left_lane,80,0,80,left,80,60,left,0.9681209158117567,False
c4,base,20,0.6,100,left,100,40,0,right,80,40,right,1.242120031820449,False
c1,right,40,0.2,20,base,60,40,40,right,0,20,left,5.621432839353508,False
c1,left,100,0.1,100,left,80,60,60,right,20,0,base,3.14906243340449,False
c1,right,20,0.6,40,left,0,60,20,right,20,20,base,3.6374237361738477,False
c2,left,80,0.6,60,right,20,80,100,base,60,100,base,2.047709351610503,False
