PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,TimeOfDay,StartEgo,Min_TTC,Collision_Occurred
c1,right,20,0.6,20,left,0,40,0,right,80,40,-60,base,3.234241262456323,False
c4,right,80,1.0,0,right,0,20,60,base,100,20,0,left,3.9431370190275374,False
c2,left,0,0.8,40,right,0,100,0,left,0,100,90,base,2.872207115663186,False
c4,base,20,0.2,40,right,80,80,20,base,100,100,60,left,1.7033329180794856,False
c2,left,60,0.1,0,right,40,60,60,left,20,60,-90,base,2.93490147983835,False
c1,right,100,0.4,20,base_left_lane,60,60,100,left,60,0,30,left,0.9701041352744986,False
c2,left,80,0.6,100,base_left_lane,60,80,20,left,100,40,-30,right,3.7248926937912015,False
c1,right,40,0.2,60,left,60,100,100,right,40,0,-60,base,3.1287222227112563,False
c4,base,0,1.0,100,left,80,20,80,base,80,20,90,right,2.5086456457591146,False
c2,base,0,0.6,20,base_left_lane,20,100,0,left,60,100,-90,right,3.5819782771492132,False
c1,left,0,0.8,80,left,60,60,20,right,100,40,60,base,2.1540767365041282,False
c4,base,20,0.6,0,right,0,0,60,base,0,0,30,left,2.751520933718696,False
c1,right,100,0.1,60,base,60,80,20,right,20,60,60,left,3.5683187648647796,False
c1,left,60,0.1,80,left,100,60,60,right,20,80,-30,base,2.3131243975733033,False
c4,base,80,0.1,60,left,20,80,80,base,0,100,-60,right,2.313209829695879,False
c4,base,100,0.4,100,left,80,0,60,base,20,60,90,right,2.496626017607473,False
c1,right,20,0.1,0,base_left_lane,20,40,40,left,100,100,-90,left,0.9826283596332956,False
c1,left,100,0.4,40,left,60,20,100,right,100,40,60,base,2.997530923767313,False
c2,left,40,0.1,20,right,100,60,60,left,40,80,90,base,2.940385672931734,False
c4,base,60,0.8,60,left,100,100,60,right,40,20,60,right,0.0,True
c2,base,40,1.0,40,base_left_lane,40,20,40,left,60,60,-30,right,2.53689605874064,False
c1,right,100,0.8,20,left,100,20,20,right,80,80,30,base,2.743791852208972,False
c4,base,40,0.2,40,left,40,40,0,right,80,0,-30,right,0.9637725746841684,False
c4,right,20,0.2,100,right,20,0,20,base,40,100,0,left,5.16492610047554,False
c2,left,40,0.2,0,right,100,20,20,base,20,40,30,base,0.0,True
c4,base,80,1.0,100,left,40,80,40,right,20,80,-90,right,1.0302875032309387,False
c1,right,80,0.8,80,base_left_lane,60,80,80,left,80,20,-90,left,0.9846134640183317,False
c4,base,100,0.6,60,right,0,100,100,base,20,100,0,left,2.33941111033626,False
c1,right,0,0.4,80,left,80,0,100,right,0,60,-30,base,0.6719239932753032,False
c4,right,80,0.4,60,right,20,20,0,base,20,20,0,left,4.351755738394165,False
c1,right,60,1.0,0,base,40,40,80,right,80,60,90,left,4.522087068562932,False
c4,base,60,0.6,100,right,80,0,40,base,60,40,60,left,1.6477802148029042,False
c2,left,0,0.4,40,right,40,0,80,base,0,80,-90,base,1.9005284544408227,False
c2,base,0,1.0,60,base_left_lane,80,100,0,left,0,0,30,right,3.7272226702108284,False
c4,right,100,0.2,80,right,60,0,80,base,20,100,90,left,4.320348041251451,False
c1,right,40,0.2,20,left,60,40,20,right,0,60,-30,base,3.1725543829328013,False
c1,left,80,0.1,100,left,20,0,60,right,60,0,90,base,2.5979070100946577,False
c1,right,20,0.6,20,base,0,60,40,right,20,60,-30,left,3.344334615703248,False
c2,base,100,0.6,40,base_left_lane,60,80,60,left,100,40,-30,right,2.6343828057322685,False
c2,left,0,0.6,100,base_left_lane,40,40,0,left,100,100,-60,right,3.151059313726908,False
c4,base,0,0.4,60,left,40,20,40,right,40,20,90,right,1.0442799134496674,False
c4,base,0,0.6,40,left,60,80,40,right,20,40,30,right,0.0,True
c2,left,40,0.1,0,right,20,80,80,base,60,100,30,base,1.6365725558297743,False
c2,left,40,1.0,40,right,60,20,100,left,100,60,-60,base,3.502400769801202,False
c4,base,20,0.2,0,right,20,60,20,base,60,60,-90,left,3.7497463168060094,False
c4,base,60,0.1,0,left,40,20,100,base,20,20,60,right,2.7953583457062874,False
c4,right,80,0.1,40,right,20,80,0,base,0,60,-90,left,4.2998549331445926,False
c1,right,60,0.4,100,base,40,20,60,right,100,40,-30,left,5.330387167592706,False
c4,base,80,0.8,100,left,80,0,60,base,40,20,60,right,2.385479505867964,False
c1,right,100,1.0,20,left,0,80,80,right,0,20,-90,base,2.189961715206846,False
c4,base,20,1.0,60,left,60,60,40,right,40,100,-90,right,0.0,True
c1,left,80,0.8,80,left,100,20,60,right,20,100,-30,base,2.001124183198242,False
c2,base,80,0.4,20,base_left_lane,100,40,80,left,20,20,60,right,3.5358710245257114,False
c2,left,80,0.8,80,right,0,100,20,left,40,100,0,base,4.039797269006877,False
c4,base,0,0.8,40,right,20,0,20,base,60,60,-90,left,2.981531164115117,False
c2,left,60,0.6,60,right,100,80,0,base,100,0,0,base,1.84071198787367,False
c4,right,100,0.2,80,right,80,100,100,base,80,0,90,left,4.380244276222523,False
c4,right,20,0.4,0,right,60,40,40,base,40,100,0,left,4.371736409713352,False
c4,right,20,0.4,20,right,0,40,100,base,80,100,90,left,3.862216392508793,False
c4,base,20,0.2,40,right,0,60,60,base,60,0,90,left,1.8512985948384024,False
c1,left,60,0.2,20,left,0,20,100,right,0,40,-90,base,2.927127429204051,False
c4,base,40,1.0,60,left,80,0,40,right,80,40,90,right,0.9744832550958541,False
c4,base,20,0.1,40,left,20,60,80,base,100,20,0,right,1.9190236700179035,False
c4,right,40,0.4,20,right,100,0,0,base,100,80,-60,left,3.9723507684794814,False
c1,right,0,0.2,20,base,80,0,80,right,0,60,-30,left,3.228042845649364,False
c1,right,60,1.0,40,left,20,0,40,right,20,40,0,base,0.8724584506894673,False
c1,right,40,1.0,40,left,80,0,60,right,0,100,-30,base,3.7124146496691948,False
c1,right,0,0.8,0,base_left_lane,60,60,100,left,100,100,60,left,0.9406780635180472,False
c2,base,0,0.2,40,base_left_lane,60,100,80,left,60,60,30,right,2.3842976405315923,False
c4,base,40,0.4,80,left,40,80,80,base,0,0,90,right,3.1677649268778683,False
c4,base,60,0.4,0,right,20,60,100,base,80,20,90,left,2.108733433184767,False
c2,left,60,0.8,20,right,80,60,60,base,20,40,-90,base,1.8492945530112868,False
c4,base,100,0.1,100,left,40,20,60,right,20,100,90,right,0.0,True
c1,right,20,0.4,60,base,20,40,100,right,60,20,0,left,2.8900099449928205,False
c1,right,80,0.6,40,left,80,40,60,right,40,80,30,base,1.8160445859663328,False
c1,right,20,0.1,80,base,100,0,60,right,20,60,30,left,3.4948958017767437,False
c2,left,100,1.0,80,base_left_lane,0,0,40,left,60,20,30,right,4.2592967995326045,False
c4,base,100,0.8,60,left,60,100,20,base,80,20,30,right,2.7930903420000557,False
c2,left,80,1.0,20,right,100,0,40,left,60,0,-30,base,3.773286870406417,False
c1,right,40,0.1,100,base_left_lane,60,20,80,left,80,60,-60,left,1.0143543720797816,False
c4,base,100,0.2,100,left,80,20,0,right,20,40,-30,right,0.8187165504891046,False
c4,base,40,0.4,80,right,20,80,0,base,0,80,90,left,1.9217421739124074,False
c2,base,40,1.0,100,base_left_lane,80,100,100,left,100,0,-60,right,2.9235032755189523,False
c4,base,80,0.4,20,left,0,40,80,right,60,100,0,right,1.510884415080355,False
c1,right,40,0.6,40,base,20,0,100,right,80,100,-90,left,3.34204060662583,False
c4,right,0,0.6,60,right,0,0,40,base,60,60,-30,left,5.173809345666745,False
c1,left,40,0.8,40,left,20,20,0,right,20,0,-90,base,2.8085080185234754,False
c2,left,60,1.0,80,right,40,0,20,base,40,20,-90,base,1.753075797347653,False
c1,right,0,1.0,0,left,40,80,80,right,0,40,-60,base,2.5074032305857052,False
c1,left,0,0.6,100,left,100,80,0,right,40,80,60,base,2.2893100494133773,False
c4,base,20,0.4,20,left,100,60,100,base,100,0,-60,right,2.7864859560069313,False
c1,right,80,0.6,100,base_left_lane,60,40,20,left,100,100,90,left,1.1481359172490166,False
c4,base,60,0.6,100,left,60,20,80,base,0,0,30,right,5.5762122176824525,False
c2,left,0,0.2,0,right,80,60,0,left,60,0,-30,base,3.7890551492822144,False
c2,base,60,0.4,80,base_left_lane,80,100,20,left,40,80,30,right,5.4008929946147415,False
c2,left,60,0.1,80,right,80,80,60,base,0,40,60,base,1.7961970682745219,False
c4,base,20,0.4,40,left,0,20,60,right,0,60,60,right,0.0,True
c1,right,20,0.1,40,left,60,100,20,right,40,0,-30,base,3.0884268686487553,False
c1,right,80,0.2,80,base_left_lane,20,80,0,left,20,0,-30,left,1.0600248367107958,False
c2,left,40,0.2,40,right,60,40,40,base,100,40,-90,base,0.0,True
c2,left,100,0.2,100,right,40,80,80,left,40,100,-30,base,2.8255299610980336,False
c1,left,0,0.2,0,left,20,40,100,right,0,0,30,base,2.9991239084177814,False
c4,base,100,1.0,40,left,100,80,60,base,60,60,-30,right,2.7777421281109462,False
c2,base,80,0.1,40,base_left_lane,0,100,80,left,60,40,90,right,4.43089831123834,False
c4,base,0,0.4,80,left,0,100,20,right,40,100,90,right,1.0337793175098045,False
c2,left,80,0.4,100,base_left_lane,100,100,20,left,60,0,30,right,4.367178251008471,False
c1,right,60,1.0,0,left,0,80,40,right,100,100,-90,base,0.0,True
c1,right,0,0.1,60,base_left_lane,60,0,40,left,0,100,60,left,0.9828821867924153,False
c2,left,60,0.2,40,right,40,40,0,left,60,40,60,base,2.9876315910557856,False
c4,base,20,0.4,80,right,40,60,40,base,20,40,90,left,2.6340316935668517,False
c1,right,0,0.6,80,base,60,100,20,right,100,100,0,left,3.1891506525374935,False
c1,right,0,0.8,60,left,0,40,60,right,80,80,30,base,0.0,True
c1,right,100,0.4,40,base_left_lane,40,60,20,left,0,40,-30,left,0.9641064774437518,False
c4,base,80,0.1,20,left,0,100,100,base,60,0,30,right,2.61304147596657,False
c1,right,80,0.6,100,base,60,0,100,right,100,0,60,left,3.295167225201269,False
c2,left,80,0.8,60,right,100,40,0,base,20,20,-90,base,1.9058217705146798,False
c2,base,100,1.0,80,base_left_lane,80,20,0,left,40,80,-90,right,2.452449041744942,False
c4,base,20,0.1,100,right,100,40,100,base,40,100,-30,left,2.4593810069061335,False
c2,left,100,0.1,20,right,60,100,20,base,100,20,-60,base,0.0,True
c4,base,100,0.4,20,left,60,40,80,base,60,100,60,right,2.1066288072534576,False
c4,base,80,0.2,20,left,0,0,40,base,20,0,-30,right,2.4359886419595593,False
c4,base,40,1.0,100,left,0,20,100,right,100,40,0,right,1.1537123761141346,False
c2,left,100,0.2,0,right,40,80,20,left,0,20,0,base,2.591702813422256,False
c1,right,0,0.6,0,base,20,60,100,right,60,40,-60,left,7.222513786718058,False
c1,left,60,0.6,40,left,0,20,20,right,60,20,30,base,3.40732145595698,False
c2,base,20,1.0,40,base_left_lane,0,40,20,left,80,60,30,right,2.7434016660193494,False
c1,right,40,0.8,80,base_left_lane,60,0,100,left,60,0,30,left,0.9363552974460417,False
c2,left,40,1.0,20,right,40,60,80,left,0,60,-90,base,3.324823438244742,False
c4,base,60,0.6,60,right,20,80,0,base,20,80,0,left,2.7110347119016303,False
c2,base,20,1.0,100,base_left_lane,100,0,80,left,40,60,-90,right,2.9342231402798635,False
c2,base,60,0.6,0,base_left_lane,40,100,40,left,40,20,90,right,2.787446485038843,False
c1,right,60,1.0,0,base_left_lane,0,80,60,left,0,60,-30,left,1.0560057835378753,False
c4,base,40,0.2,40,left,60,100,100,right,40,80,60,right,1.0407344047690696,False
c4,right,40,0.2,20,right,80,100,80,base,80,40,60,left,3.4885184639318974,False
c4,base,40,0.8,100,left,80,40,80,right,60,80,90,right,0.9989068790656501,False
c1,left,0,0.2,60,left,60,0,60,right,100,100,-90,base,2.714452499787109,False
c2,base,40,0.6,40,base_left_lane,60,0,80,left,80,100,-60,right,2.6521143664684894,False
c4,right,0,0.1,20,right,40,80,80,base,0,80,90,left,4.236554796969005,False
c4,right,80,0.8,40,right,40,40,0,base,0,80,0,left,3.901277198317751,False
c1,right,60,0.2,80,left,100,100,0,right,20,100,-30,base,2.0797654800472785,False
c1,right,100,0.2,80,base,20,20,60,right,100,60,0,left,4.1416093526583095,False
c1,left,20,0.2,60,left,40,100,60,right,20,20,30,base,2.0588063366129874,False
c1,right,0,0.1,80,left,20,100,80,right,100,0,-60,base,3.304022745882835,False
c4,base,100,0.8,40,left,80,100,0,right,20,100,90,right,0.9923622732036925,False
c2,base,100,1.0,60,base_left_lane,20,0,100,left,0,60,30,right,2.7521539591011885,False
c2,left,80,0.4,20,right,60,20,20,base,0,20,-90,base,1.7712092565174644,False
c2,left,20,0.1,40,base_left_lane,100,100,40,left,0,100,-90,right,2.0890695869188503,False
c4,base,40,0.8,60,right,60,40,0,base,100,40,60,left,2.573640064762344,False
c2,left,40,0.1,40,right,40,40,100,base,80,100,90,base,2.09430751771137,False
c1,right,60,0.2,20,base_left_lane,80,80,100,left,80,0,60,left,0.9263934567411818,False
c1,right,20,1.0,0,left,0,80,80,right,20,20,-90,base,3.2686737298206054,False
c2,base,20,0.6,100,base_left_lane,60,0,60,left,100,0,60,right,3.3139871372327625,False
c4,right,60,0.6,60,right,100,40,60,base,40,100,-30,left,3.2534574387573527,False
c4,base,40,0.2,20,right,20,80,20,base,100,40,-30,left,2.944018691080951,False
c4,base,60,0.6,60,left,80,0,40,base,20,60,90,right,2.823290090683154,False
c2,left,0,0.4,0,right,20,60,0,left,20,0,-30,base,3.73039879647624,False
c4,right,80,0.2,80,right,60,100,20,base,80,100,0,left,4.369772883341399,False
c4,base,80,0.1,40,left,0,60,0,base,80,0,-60,right,2.785079993683339,False
c4,right,40,0.6,80,right,60,100,20,base,40,0,60,left,4.099072907327072,False
c2,base,60,0.6,80,base_left_lane,100,20,100,left,20,40,30,right,4.254236758394032,False
c1,left,20,0.8,100,left,20,60,60,right,100,60,-30,base,3.0039852474287243,False
c4,base,20,0.4,20,left,0,80,40,right,0,40,30,right,1.1270927127271675,False
c2,base,100,0.4,0,base_left_lane,0,20,80,left,0,40,30,right,2.5340065613500076,False
c1,left,40,0.1,0,left,40,40,20,right,60,80,-30,base,3.421509619185932,False
c2,left,40,1.0,40,right,0,0,100,left,60,20,-60,base,3.164845052989582,False
c1,right,80,1.0,40,base,80,80,40,right,80,0,60,left,3.0748808186350955,False
c1,right,40,0.8,40,base_left_lane,100,80,80,left,60,20,60,left,1.042888180137531,False
c4,base,60,0.4,60,right,100,20,40,base,60,0,30,left,2.6870607578209,False
c1,right,100,1.0,40,base_left_lane,40,20,100,left,20,100,90,left,0.9503079759470573,False
c4,base,20,0.4,0,left,100,80,60,base,80,80,-30,right,6.286265165756882,False
c4,right,100,0.2,100,right,40,20,60,base,100,20,0,left,4.1110255870010315,False
c4,base,60,0.4,100,left,100,20,80,right,0,20,0,right,0.0,True
c4,base,20,1.0,0,right,20,40,100,base,100,40,-90,left,2.605088594892406,False
c1,right,40,1.0,20,left,60,80,60,right,0,20,-90,base,3.18981432674945,False
