Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
scenario1,0,1,1,2,0,60,40,0,0,60,80,0.8
scenario2,0,1,2,1,0,20,20,40,80,40,100,0.2
scenario3,1,2,0,1,60,0,80,60,0,0,40,1
scenario4,2,1,0,1,0,0,100,20,20,0,40,0.6
scenario5,2,0,1,0,40,60,0,40,40,80,60,0.2
scenario6,2,0,1,2,0,60,100,80,60,100,80,1
scenario7,2,0,1,0,80,100,60,40,80,0,100,0.2
scenario8,1,2,2,0,60,100,40,20,40,40,80,0.6
scenario9,0,2,1,2,60,80,40,0,20,80,0,1
scenario10,2,1,0,1,40,20,60,80,80,100,0,1
scenario11,0,1,2,0,100,100,20,80,60,20,20,0.8
scenario12,0,1,2,0,60,0,0,20,60,20,0,0.4
scenario13,0,1,2,0,100,100,20,80,60,20,20,0.8
scenario14,0,1,2,0,100,100,40,80,80,40,40,1
scenario15,2,0,1,0,0,100,20,60,60,20,20,1
scenario16,2,0,0,1,80,100,20,60,80,20,20,0.8
scenario17,2,1,0,1,80,100,0,60,60,0,20,0.1
scenario18,2,0,1,2,80,100,20,60,40,80,20,0.8
scenario19,0,1,2,0,80,100,0,80,80,40,20,0.6
scenario20,0,1,2,0,100,100,0,80,40,100,40,0.8
scenario21,0,1,2,0,40,80,0,60,40,40,20,0.8
scenario22,1,2,2,0,100,40,40,80,40,20,20,0.8
scenario23,2,1,0,1,100,100,100,80,0,40,0,0.6
scenario24,2,0,0,1,0,80,100,80,60,20,20,1
scenario25,2,0,1,2,80,100,20,60,40,80,20,0.8
scenario26,1,0,2,0,100,80,20,40,0,40,40,0.6
scenario27,0,1,1,2,100,100,60,60,40,60,60,1
scenario28,2,0,1,0,0,80,100,60,80,20,0,0.8
scenario29,1,2,2,0,80,100,0,60,60,20,40,0.1
scenario30,2,1,0,1,80,40,80,100,20,0,40,0.8
scenario31,0,1,2,0,0,100,20,60,40,0,40,1
scenario32,0,1,2,0,40,40,0,60,40,40,0,0.8
scenario33,2,1,0,1,100,40,20,60,40,20,20,1
scenario34,0,2,1,2,60,100,20,60,60,20,40,0.2
scenario35,1,2,2,0,60,60,20,60,20,40,20,0.8
scenario36,2,0,0,1,0,80,100,80,60,0,20,1
scenario37,0,2,1,2,60,100,20,60,60,20,40,0.2
scenario38,0,1,2,0,0,80,80,80,60,0,20,1
scenario39,2,0,1,0,80,80,20,60,60,20,20,0.4
scenario40,0,1,2,0,0,100,0,60,40,0,40,1
scenario41,2,0,1,0,100,40,0,0,40,40,20,1
scenario42,2,0,0,1,0,100,80,80,60,20,40,1
scenario43,2,1,0,1,40,100,100,80,60,0,20,1
scenario44,2,0,1,0,40,80,100,80,60,20,0,1
scenario45,1,2,0,2,20,100,80,60,80,0,0,1
scenario46,2,0,1,2,80,60,40,80,40,0,20,1
scenario47,1,0,2,0,0,80,100,80,0,20,0,0.8
scenario48,1,2,0,2,80,100,0,60,80,20,40,0.4
scenario49,0,2,1,2,60,100,20,60,60,20,40,0.2
scenario50,2,0,1,0,40,60,100,80,80,20,0,0.8
scenario51,2,0,1,0,100,60,0,0,20,60,0,1
scenario52,2,0,0,1,20,100,0,60,20,0,60,0.8
scenario53,1,2,0,2,0,80,100,40,80,0,40,0.2
scenario54,2,0,1,0,0,100,0,80,60,40,20,0.4
scenario55,0,1,2,1,100,40,0,0,40,40,0,0.8
scenario56,1,2,0,2,80,40,20,60,80,100,40,0.4
scenario57,2,0,0,1,20,100,0,60,60,0,20,1
scenario58,2,0,1,0,80,100,20,80,100,0,20,0.2
scenario59,0,1,2,0,0,100,60,80,60,20,40,1
scenario60,1,2,2,0,100,60,0,40,40,20,40,0.4
scenario61,0,1,1,2,0,60,40,0,0,60,80,0.8
scenario62,0,1,2,1,0,20,20,40,80,40,100,0.2
scenario63,1,2,0,1,60,0,80,60,0,0,40,1
scenario64,2,1,0,1,0,0,100,20,20,0,40,0.6
scenario65,2,0,1,0,40,60,0,40,40,80,60,0.2
scenario66,2,0,1,2,0,60,100,80,60,100,80,1
scenario67,2,0,1,0,80,100,60,40,80,0,100,0.2
scenario68,1,2,2,0,60,100,40,20,40,40,80,0.6
scenario69,0,2,1,2,60,80,40,0,20,80,0,1
scenario70,2,1,0,1,40,20,60,80,80,100,0,1
scenario71,0,1,2,0,100,100,20,80,60,20,20,0.8
scenario72,0,1,2,0,60,0,0,20,60,20,0,0.4
scenario73,0,1,2,0,100,100,20,80,60,20,20,0.8
scenario74,0,2,1,2,0,100,20,100,60,0,20,1
scenario75,1,2,0,2,40,100,0,80,20,20,20,0.1
scenario76,2,0,1,0,80,100,20,80,80,40,20,0.8
scenario77,2,1,0,1,100,20,0,80,60,20,20,0.6
scenario78,2,0,1,0,80,100,40,100,60,80,40,1
scenario79,2,0,1,2,80,100,100,60,60,20,20,1
scenario80,2,0,0,1,80,100,20,60,80,20,20,0.8
scenario81,2,1,0,1,80,100,0,60,60,0,20,0.1
scenario82,2,0,1,2,80,100,20,60,40,80,20,0.8
scenario83,0,1,2,0,80,100,0,80,80,40,20,0.6
scenario84,0,1,2,0,100,100,0,80,40,100,40,0.8
scenario85,2,0,1,2,80,100,100,60,60,20,20,1
scenario86,0,1,1,2,100,80,0,40,20,100,20,0.8
scenario87,2,1,0,1,100,40,40,80,40,20,20,0.8
scenario88,2,1,0,1,100,20,100,80,0,40,0,0.4
scenario89,1,2,0,1,80,100,20,80,60,20,40,1
scenario90,0,1,2,0,20,100,0,0,40,40,0,0.1
scenario91,2,0,1,2,80,100,0,40,60,100,40,0.8
scenario92,1,2,0,2,40,80,20,80,0,0,0,0.1
scenario93,2,0,1,2,80,80,40,60,40,60,20,1
scenario94,0,2,1,2,0,80,40,80,40,0,20,1
scenario95,1,2,0,1,0,40,40,60,80,40,20,0.8
scenario96,1,2,0,1,80,100,20,80,60,20,20,0.2
scenario97,2,0,1,2,80,80,40,60,40,60,20,1
scenario98,0,1,1,2,60,100,20,60,60,60,20,0.2
scenario99,1,2,0,2,60,100,0,60,60,100,20,1
scenario100,1,2,2,0,80,100,20,100,60,20,0,0.2
scenario101,1,2,2,0,20,80,20,60,80,40,20,1
scenario102,2,0,1,0,20,80,40,80,40,0,0,1
scenario103,2,0,1,2,80,100,0,60,60,100,40,0.8
scenario104,1,0,2,0,100,80,0,0,0,0,20,0.2
scenario105,1,2,0,1,80,100,0,80,60,40,40,0.2
scenario106,2,1,0,1,40,100,40,80,60,20,20,0.4
scenario107,2,1,0,1,40,20,100,80,0,40,0,0.6
scenario108,1,2,0,2,100,100,0,60,80,20,0,0.4
scenario109,2,0,1,2,80,80,40,60,40,60,20,1
scenario110,2,0,1,2,60,100,20,100,60,20,40,0.2
scenario111,1,0,2,0,80,100,40,100,0,20,0,0.2
scenario112,2,0,0,1,60,100,20,80,80,20,20,0.6
scenario113,1,0,2,0,100,60,0,0,20,0,20,0.1
scenario114,1,2,2,0,20,100,20,60,60,60,0,1
scenario115,1,0,2,0,100,100,0,100,40,20,20,0.8
scenario116,1,2,0,2,0,80,100,40,80,0,0,0.2
scenario117,1,2,0,2,0,100,0,80,60,100,20,1
scenario118,0,1,2,1,40,80,20,40,40,40,0,0.8
scenario119,1,2,0,2,100,40,20,60,80,100,0,0.4
scenario120,1,0,2,0,100,100,20,100,80,20,0,0.2
scenario121,2,0,1,2,80,80,40,60,40,60,20,1
scenario122,1,0,2,0,80,100,40,100,100,0,0,0.1
scenario123,0,1,2,0,0,100,0,60,60,60,0,1
scenario124,1,2,2,0,100,80,20,80,0,20,40,0.4
scenario125,1,2,0,2,80,100,20,100,0,20,100,0.1
scenario126,2,0,1,2,100,40,0,20,0,0,0,0.1
scenario127,1,0,2,0,80,100,20,80,80,20,20,0.2
scenario128,2,0,0,1,60,0,40,80,80,20,40,0.4
scenario129,1,0,2,0,80,100,40,80,0,40,60,0.1
scenario130,1,2,0,2,0,60,80,40,0,0,0,0.1
scenario131,2,0,1,2,80,80,0,100,60,20,60,0.6
scenario132,2,1,0,1,40,100,0,40,40,20,0,0.8
scenario133,0,1,2,0,100,100,20,80,60,20,20,0.8
scenario134,2,0,1,2,100,80,20,60,40,60,20,0.8
scenario135,0,1,2,0,40,0,80,20,60,40,0,0.2
scenario136,2,0,0,1,60,0,0,20,20,20,0,0.4
scenario137,2,1,0,1,0,0,100,20,0,0,40,1
scenario138,2,0,1,2,80,80,40,60,40,60,20,0.6
scenario139,1,2,2,0,60,100,40,20,40,60,60,0.8
scenario140,0,1,2,0,40,0,0,20,60,20,20,0.2
scenario141,2,0,1,2,80,80,60,20,40,60,40,1
scenario142,0,1,2,0,0,20,20,40,80,40,100,0.1
scenario143,0,1,2,1,60,0,0,20,60,20,0,0.4
scenario144,0,1,2,0,60,0,0,20,60,20,0,0.6
scenario145,2,0,1,2,80,80,60,20,40,60,40,1
scenario146,0,1,2,1,80,20,60,20,60,60,80,0.8
scenario147,1,2,0,1,80,80,100,20,20,40,60,1
scenario148,1,2,2,0,80,100,60,80,40,60,80,0.2
scenario149,1,2,2,0,100,80,20,80,60,40,60,1
scenario150,0,1,2,0,100,100,80,40,60,80,20,0.4
scenario151,2,0,1,0,60,80,20,20,20,60,20,0.8
scenario152,0,1,1,2,60,80,80,20,20,60,40,1
scenario153,0,1,2,1,80,60,80,0,20,60,60,1
scenario154,2,0,1,2,80,80,80,40,60,80,40,1
scenario155,1,0,2,0,80,80,60,20,40,60,40,1
scenario156,1,0,2,0,80,100,80,0,40,60,40,1
scenario157,2,0,1,2,80,80,60,20,40,60,40,1
