instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario1,20,40,0,0,0,0.8,0,100,0,0,0,c1,0.05918,1,2,0,1,0,6.185587022971014,0
scenario2,20,100,0,0,80,0.4,80,20,0,0,0,c2,0.00204,0,1,2,0,0,2.0491788353677234,0
scenario3,20,100,0,0,100,0.2,0,100,0,0,0,c4,0.00144,2,0,1,2,0,1.1274439393204003,0
scenario4,60,20,0,0,0,0.8,80,20,0,0,20,c1,0.00135,1,2,0,2,0,6.028998385849093,0
scenario5,20,40,0,100,40,0.6,0,100,0,0,20,c2,0.00126,2,0,0,1,0,3.06018358337734,0
scenario6,60,20,0,0,80,0.4,0,100,0,0,20,c4,0.00137,1,0,2,0,0,3.3572274386198444,0
scenario7,80,100,0,0,0,0.8,0,100,0,0,40,c1,0.00128,0,2,1,2,0,2.776564430380553,0
scenario8,40,100,0,0,0,0.8,80,20,0,0,40,c2,0.00219,0,1,2,1,0,3.295968924093814,0
scenario9,20,100,0,40,40,0.8,0,100,0,0,40,c4,0.00266,1,2,2,0,0,3.697265832060338,0
scenario10,80,20,0,0,0,0.8,0,100,0,0,60,c1,0.00158,0,1,1,2,0,3.383388781607015,0
scenario11,20,20,0,40,40,0.8,0,100,0,0,60,c2,0.00265,2,1,0,1,0,3.742406112336426,0
scenario12,20,100,20,0,0,0.8,0,100,0,0,60,c4,0.00126,2,0,1,0,0,24.26435340002293,0
scenario13,60,60,0,20,40,0.8,0,100,0,0,80,c1,0.00269,1,2,0,1,0,6.457968741924264,0
scenario14,20,40,0,0,80,0.4,80,20,0,0,80,c2,0.00154,0,1,2,0,0,1.5358831324259996,0
scenario15,20,40,0,0,100,0.2,0,100,0,0,80,c4,0.00172,2,0,1,2,0,1.1108022349375448,0
scenario16,20,80,0,20,40,0.8,80,20,0,0,100,c1,0.00127,1,2,0,2,0,5.171844426147617,0
scenario17,60,80,0,0,80,0.4,0,100,0,0,100,c2,0.0013,2,0,0,1,0,2.915291432930812,0
scenario18,20,60,0,0,0,0.8,80,20,0,0,100,c4,0.00424,1,0,2,0,0,2.427542760693417,0
scenario19,20,60,0,60,40,0.6,0,100,0,20,0,c1,0.00219,0,2,1,2,0,2.919263813816849,0
scenario20,60,60,0,0,0,0.8,0,100,0,20,0,c2,0.01783,0,1,2,1,0,5.725594994188014,0
scenario21,60,40,0,60,40,0.6,0,100,0,20,0,c4,0.00135,1,2,2,0,0,3.3010421945804107,0
scenario22,20,100,0,80,40,0.6,0,100,0,20,20,c1,0.00127,0,1,1,2,0,2.891282257921933,0
scenario23,60,100,0,20,40,0.8,0,100,0,20,20,c2,0.00268,2,1,0,1,0,3.4883443213366063,0
scenario24,20,60,0,20,40,0.8,0,100,0,20,20,c4,0.00733,2,0,1,0,0,4594.5813076906425,0
scenario25,20,20,0,0,0,0.8,80,20,0,20,40,c1,0.00351,1,2,0,1,0,5.895438534873025,0
scenario26,60,20,0,20,40,0.8,0,100,0,20,40,c2,0.00291,0,1,2,0,0,2.2374894442625406,0
scenario27,60,60,0,0,0,0.8,80,20,0,20,40,c4,0.00155,2,0,1,2,1,0.0,1
scenario28,20,80,0,0,20,0.8,0,100,0,20,60,c1,0.00188,1,2,0,2,0,6.066438040068387,0
scenario29,20,20,0,0,80,0.4,0,100,0,20,60,c2,0.00427,2,0,0,1,0,2.9738093012880804,0
scenario30,20,80,0,0,80,0.4,0,100,0,20,60,c4,0.00386,1,0,2,0,0,2.38618138304712,0
scenario31,40,20,0,0,0,0.8,0,100,0,20,80,c1,0.0208,0,2,1,2,0,2.199269540035724,0
scenario32,40,80,0,0,0,0.8,0,100,0,20,80,c2,0.01813,0,1,2,1,0,5.681998148494442,0
scenario33,20,20,0,0,20,0.8,0,100,0,20,80,c4,0.00169,1,2,2,0,1,0.0,1
scenario34,40,40,0,0,80,0.4,0,100,0,20,100,c1,0.00145,0,1,1,2,0,2.540521048123386,0
scenario35,20,20,20,0,0,0.8,0,100,0,20,100,c2,0.00167,2,1,0,1,0,3.4189474471836983,0
scenario36,20,20,0,80,40,0.6,0,100,0,20,100,c4,0.00135,2,0,1,0,0,11.63232848977013,0
scenario37,20,60,20,0,0,0.8,0,100,0,40,0,c1,0.00135,1,2,0,1,0,6.26094414980255,0
scenario38,40,40,0,20,40,0.8,0,100,0,40,0,c2,0.0032,0,1,2,0,0,2.098981537579262,0
scenario39,40,80,0,20,40,0.8,0,100,0,40,0,c4,0.00287,2,0,1,2,0,1.2807780750943014,0
scenario40,40,40,0,0,0,0.8,80,20,0,40,20,c1,0.00165,1,2,0,2,0,5.870853459614332,0
scenario41,20,40,0,40,40,0.6,0,100,0,40,20,c2,0.00141,2,0,0,1,0,3.787019107066684,0
scenario42,40,100,0,0,80,0.4,0,100,0,40,20,c4,0.00128,1,0,2,0,1,0.0,1
scenario43,60,100,0,0,0,0.8,0,100,0,40,40,c1,0.01753,0,2,1,2,0,3.651837976923127,0
scenario44,20,80,0,40,40,0.6,0,100,0,40,40,c2,0.00131,0,1,2,1,0,3.374804756248208,0
scenario45,20,80,0,0,0,0.8,80,20,0,40,40,c4,0.00605,1,2,2,0,0,3.7710800163708,0
scenario46,20,60,0,0,80,0.4,0,100,0,40,60,c1,0.00365,0,1,1,2,0,3.651519278120991,0
scenario47,20,20,0,60,40,0.6,0,100,0,40,60,c2,0.00281,2,1,0,1,0,3.363005674259091,0
scenario48,60,80,0,0,0,0.8,80,20,0,40,60,c4,0.00232,2,0,1,0,0,2.593854511653861,0
scenario49,20,100,0,60,40,0.6,0,100,0,40,80,c1,0.00246,1,2,0,1,0,6.111849625251539,0
scenario50,60,60,0,0,80,0.4,0,100,0,40,80,c2,0.00132,0,1,2,0,0,2.09721881195342,0
scenario51,20,60,0,0,20,0.8,0,100,0,40,80,c4,0.00145,2,0,1,2,0,1.3311778653288762,0
scenario52,20,60,0,80,40,0.6,0,100,0,40,100,c1,0.00124,1,2,0,2,0,6.349259801218226,0
scenario53,80,60,0,0,0,0.8,0,100,0,40,100,c2,0.00141,2,0,0,1,0,2.920922708289001,0
scenario54,20,20,0,0,0,0.8,0,100,0,40,100,c4,0.0566,1,0,2,0,1,0.0,1
scenario55,20,80,0,0,0,0.8,0,100,0,60,0,c1,0.05148,0,2,1,2,1,0.0,1
scenario56,20,80,0,100,40,0.6,0,100,0,60,0,c2,0.00125,0,1,2,1,0,2.704372636221741,0
scenario57,40,40,0,0,0,0.8,0,100,0,60,0,c4,0.02135,1,2,2,0,0,2.950719798238739,0
scenario58,20,20,0,20,40,0.8,0,100,0,60,20,c1,0.00885,0,1,1,2,0,3.367989089294771,0
scenario59,20,80,0,20,40,0.8,0,100,0,60,20,c2,0.00748,2,1,0,1,0,3.4703153823971866,0
scenario60,20,60,0,40,40,0.8,0,100,0,60,20,c4,0.00256,2,0,1,0,0,15.62057473486473,0
scenario61,20,20,0,0,100,0.2,0,100,0,60,40,c1,0.0017,1,2,0,1,0,5.744370137017568,0
scenario62,20,100,0,0,0,0.8,0,100,0,60,40,c2,0.04891,0,1,2,0,0,2.303378762250699,0
scenario63,60,20,0,60,40,0.6,0,100,0,60,40,c4,0.00123,2,0,1,2,0,1.0847824450899357,0
