instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario1,0,80,0,0,100,0.1,0,100,0,0,0,c1,1e-05,0,1,1,2,0,3.0594493201190947,0
scenario2,60,60,60,100,40,0.6,100,0,0,0,0,c2,1e-05,0,1,2,1,0,3.2086363750353635,0
scenario3,20,20,20,80,0,0.6,0,100,0,0,0,c4,1e-05,2,0,1,2,0,1.2701608709766106,0
scenario4,20,100,0,0,0,0.2,80,20,0,0,20,c1,1e-05,1,2,0,1,0,4.6261565307652734,0
scenario5,20,40,100,0,80,0.4,40,60,0,0,20,c2,1e-05,2,1,0,1,0,2.446136418838987,0
scenario6,60,40,20,80,100,0.6,20,80,0,0,20,c4,1e-05,2,0,1,0,0,23.50524476044964,0
scenario7,60,100,0,0,0,0.0,0,100,0,0,40,c1,1e-05,0,2,1,2,0,3.099428864937572,0
scenario8,80,80,0,20,100,0.6,80,20,0,0,40,c2,1e-05,2,0,0,1,0,2.3262389514842257,0
scenario9,40,20,20,0,40,0.8,20,80,0,0,40,c4,1e-05,1,0,2,0,1,0.0,1
scenario10,40,100,60,100,40,0.6,0,100,0,0,60,c1,1e-05,1,2,0,2,0,5.462012066645169,0
scenario11,60,20,20,20,0,0.8,100,0,0,0,60,c2,1e-05,0,1,2,0,0,1.6250393510206045,0
scenario12,20,100,100,0,80,0.8,100,0,0,0,60,c4,1e-05,1,2,2,0,0,4.418082019183968,0
scenario13,40,20,100,100,40,0.6,20,80,0,0,80,c1,1e-05,0,1,1,2,0,3.1796044654878672,0
scenario14,20,100,20,40,60,0.8,40,60,0,0,80,c2,1e-05,0,1,2,1,0,3.245231611567713,0
scenario15,80,60,0,0,100,0.4,20,80,0,0,80,c4,1e-05,2,0,1,2,0,1.0792065817687635,0
scenario16,40,80,100,0,0,0.8,80,20,0,0,100,c1,1e-05,1,2,0,1,0,4.78004259842674,0
scenario17,20,20,40,0,100,0.2,100,0,0,0,100,c2,1e-05,2,1,0,1,0,3.1546389625975446,0
scenario18,0,40,0,100,40,0.6,80,20,0,0,100,c4,1e-05,2,0,1,0,0,4.273770933055489,0
scenario19,80,20,0,100,40,0.6,80,20,0,20,0,c1,1e-05,0,2,1,2,0,2.8479555624907062,0
scenario20,20,20,20,60,40,0.6,100,80,0,20,0,c2,1e-05,2,0,0,1,0,2.022408305585181,0
scenario21,80,60,40,40,0,0.8,40,60,0,20,0,c4,1e-05,1,0,2,0,0,2.819840612247288,0
scenario22,80,20,0,0,60,0.2,80,20,0,20,20,c1,1e-05,1,2,0,2,0,5.087703752452232,0
scenario23,20,100,20,0,80,0.8,100,0,0,20,20,c2,1e-05,0,1,2,0,0,2.005493812973824,0
scenario24,20,20,100,0,0,0.8,0,100,0,20,20,c4,1e-05,1,2,2,0,0,1.7399516684573513,0
scenario25,0,40,0,20,40,0.8,80,20,0,20,40,c1,1e-05,0,1,1,2,0,3.088743492636237,0
scenario26,60,100,40,100,60,0.6,60,40,0,20,40,c2,1e-05,0,1,2,1,0,4.163368271759974,0
scenario27,80,100,0,80,60,0.6,0,100,0,20,40,c4,1e-05,2,0,1,2,0,1.1646406782936247,0
scenario28,80,20,20,60,40,0.6,0,100,0,20,60,c1,1e-05,1,2,0,1,0,5.559739391915068,0
