instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,c4,2,0,1,0,1.0,80,100,40,60,20,100,20,0,3.627855966687975,0
scenario2,c4,1,2,2,0,0.8,40,0,0,20,100,60,40,0,1.7569710189847247,0
scenario3,c4,2,0,1,2,0.2,100,20,60,100,40,0,60,0,1.2552313170303109,0
scenario4,c4,1,0,2,0,0.1,60,60,80,0,80,80,0,0,2.567279288139088,0
scenario5,c4,2,0,1,0,0.4,20,40,20,40,60,20,80,0,20.387160273544765,0
scenario6,c4,1,2,2,0,0.6,0,80,100,80,0,40,100,0,3.1329063567060484,0
scenario7,c2,0,1,2,1,1.0,80,100,40,60,20,100,20,0,3.309816663451264,0
scenario8,c2,2,1,0,1,0.8,40,0,0,20,100,60,20,0,3.0257876715491605,0
scenario9,c2,2,0,0,1,0.2,100,20,60,100,40,0,20,0,2.418471901887364,0
scenario10,c2,0,1,2,0,0.8,80,0,0,20,100,100,40,0,2.0077386809218964,0
scenario11,c2,0,1,2,1,0.2,40,60,40,0,80,100,20,0,2.2309001637335206,0
scenario12,c2,2,1,0,1,0.2,80,100,0,20,60,60,20,1,0.0,1
scenario13,c2,2,0,0,1,0.8,80,100,40,20,40,0,60,0,2.929233411269608,0
scenario14,c2,0,1,2,0,1.0,100,20,0,20,40,100,60,0,2.199231555033964,0
scenario15,c2,0,1,2,1,1.0,40,100,80,40,0,60,20,1,0.0,1
scenario16,c2,2,1,0,1,0.8,60,40,40,60,20,60,20,0,2.1162797084002465,0
scenario17,c2,2,0,0,1,1.0,80,20,0,100,80,0,0,0,2.427941363885455,0
scenario18,c2,0,1,2,0,0.2,40,40,0,60,20,100,0,0,1.61161350220482,0
scenario19,c2,0,1,2,1,0.1,80,60,60,20,20,80,20,0,4.197778263225521,0
scenario20,c2,2,1,0,1,1.0,40,100,40,100,60,100,40,0,2.9027701318824826,0
scenario21,c2,2,0,0,1,0.4,40,80,20,60,20,0,20,0,2.8301130735169133,0
scenario22,c1,0,2,1,2,1.0,20,0,40,80,20,20,20,0,3.320098737290364,0
scenario23,c2,0,1,2,0,0.2,100,100,40,60,20,60,40,0,2.157339138094742,0
scenario24,c1,1,2,0,1,0.1,80,40,60,0,0,100,80,0,5.776869264657825,0
scenario25,c2,0,1,2,1,0.2,0,0,100,60,100,40,20,0,4.477667564254653,0
scenario26,c2,2,1,0,1,1.0,80,80,80,40,100,0,40,0,2.6898518763107857,0
scenario27,c2,2,0,0,1,0.8,100,100,80,40,100,100,0,1,0.0,1
scenario28,c2,0,1,2,0,0.2,60,100,60,60,80,100,60,0,2.3861040468553374,0
scenario29,c2,0,1,2,1,1.0,40,60,0,0,20,60,60,0,2.6019189654727746,0
scenario30,c2,2,1,0,1,0.1,100,0,40,20,100,0,0,0,2.617558738349108,0
scenario31,c2,2,0,0,1,0.6,20,80,20,60,40,100,20,0,2.752989234379181,0
scenario32,c2,0,1,2,0,0.8,40,20,40,100,40,60,0,0,1.844742907088594,0
scenario33,c2,0,1,2,1,0.8,80,20,20,60,80,20,40,0,4.428808579345098,0
scenario34,c2,2,1,0,1,0.8,0,100,60,0,60,100,40,0,3.3366599583232746,0
scenario35,c1,0,1,1,2,0.8,80,60,100,20,80,40,40,0,2.8447144158163487,0
scenario36,c2,2,0,0,1,1.0,60,60,60,60,60,0,40,0,2.5775531179437863,0
scenario37,c2,0,1,2,0,1.0,80,40,60,80,80,60,100,0,1.9191003711247,0
scenario38,c2,0,1,2,1,1.0,40,20,60,100,20,80,60,0,3.1690099093012405,0
scenario39,c1,1,2,0,2,0.1,60,100,0,80,40,100,40,0,4.042673052105651,0
scenario40,c2,2,1,0,1,0.8,20,0,40,40,0,80,60,0,3.750154276061506,0
scenario41,c2,2,0,0,1,0.2,60,100,0,20,0,80,40,0,3.0342509202449053,0
scenario42,c2,0,1,2,0,0.2,100,60,80,0,80,0,0,0,2.168230931880025,0
scenario43,c1,0,2,1,2,0.2,100,40,0,40,60,0,40,1,0.0,1
scenario44,c1,1,2,0,1,0.4,80,40,100,20,100,100,60,0,4.926342249712459,0
scenario45,c2,0,1,2,1,0.6,80,100,80,60,0,80,80,0,3.34974837732775,0
scenario46,c2,2,1,0,1,0.1,40,80,40,40,20,60,80,0,3.4855651014520967,0
scenario47,c2,2,0,0,1,1.0,20,100,80,20,0,0,80,0,2.9051517252097026,0
scenario48,c1,0,1,1,2,1.0,0,0,40,100,40,100,100,0,4.095160081723392,0
scenario49,c2,0,1,2,0,0.1,20,0,0,60,80,60,40,0,2.326330517140045,0
scenario50,c2,0,1,2,1,1.0,60,0,60,0,60,40,60,0,3.122850846804212,0
scenario51,c2,2,1,0,1,0.8,40,80,80,20,20,20,80,0,3.3465683815221112,0
scenario52,c1,1,2,0,2,0.2,20,100,20,80,60,20,0,0,5.43119556726775,0
scenario53,c2,2,0,0,1,0.2,100,80,0,100,0,20,80,0,2.6436837598510152,0
scenario54,c1,0,2,1,2,0.4,0,100,40,20,20,40,100,0,4.182676371832459,0
scenario55,c1,1,2,0,1,1.0,40,20,20,100,100,40,100,0,6.577772361816636,0
scenario56,c2,0,1,2,0,0.8,0,60,0,80,100,60,60,0,2.2721342477925583,0
scenario57,c2,0,1,2,1,0.1,40,60,0,80,40,40,60,0,6.784985521721476,0
scenario58,c2,2,1,0,1,0.6,100,20,20,20,60,80,0,0,2.8617410378624686,0
scenario59,c1,0,1,1,2,0.1,0,60,60,100,100,0,0,0,3.2566023068583334,0
scenario60,c1,1,2,0,2,0.4,60,0,80,0,100,60,60,0,5.249833443531159,0
scenario61,c2,2,0,0,1,1.0,60,20,100,0,40,60,0,0,1.923441414949977,0
scenario62,c2,0,1,2,0,0.6,40,100,100,80,0,0,0,1,0.0,1
scenario63,c1,0,2,1,2,0.6,60,80,20,100,20,60,60,0,2.367958600155109,0
scenario64,c1,1,2,0,1,0.6,100,20,40,40,40,40,40,0,6.05657943073308,0
scenario65,c2,0,1,2,1,0.4,60,60,0,40,80,80,100,0,2.97348488067969,0
scenario66,c2,2,1,0,1,0.8,20,40,80,100,40,80,100,0,2.58052449818962,0
scenario67,c1,0,1,1,2,0.6,100,20,0,80,0,20,60,0,2.099922216172234,0
scenario68,c1,1,2,0,2,0.2,20,60,60,60,0,0,100,0,5.756492156807207,0
scenario69,c2,2,0,0,1,0.1,20,20,80,0,60,80,80,0,2.625020414162807,0
scenario70,c1,0,2,1,2,0.4,100,80,100,0,20,40,0,0,2.536380287817326,0
scenario71,c1,1,2,0,1,0.6,20,0,60,40,100,80,80,0,6.261089628594815,0
scenario72,c1,0,1,1,2,0.4,0,80,60,0,80,20,40,0,2.889584193021375,0
scenario73,c2,0,1,2,0,0.4,100,80,20,0,60,80,100,0,2.2610599205529227,0
scenario74,c1,1,2,0,2,0.1,0,0,20,40,100,20,80,0,5.981520243489208,0
scenario75,c1,0,2,1,2,0.4,0,20,100,100,40,20,80,0,3.388020553751068,0
scenario76,c1,1,2,0,1,0.6,60,60,20,0,80,20,80,0,4.841013273177892,0
scenario77,c1,0,1,1,2,0.6,0,40,80,80,0,20,80,0,2.8091192854521507,0
scenario78,c1,1,2,0,2,0.4,20,40,80,80,0,40,80,0,7.091045382706828,0
scenario79,c1,0,2,1,2,0.1,0,80,100,80,60,80,100,0,2.96869326108831,0
scenario80,c1,1,2,0,1,0.6,60,40,20,100,0,20,100,0,6.6557098642562895,0
scenario81,c1,0,1,1,2,0.2,20,20,100,40,20,80,60,0,2.601436274888946,0
scenario82,c1,1,2,0,2,1.0,80,100,40,0,20,100,20,0,5.036222491743239,0
scenario83,c1,0,2,1,2,1.0,80,100,60,60,20,100,20,0,2.520454440297425,0
scenario84,c1,1,2,0,1,1.0,80,100,80,60,20,100,20,0,4.387837065451142,0
scenario85,c1,0,1,1,2,0.1,80,100,40,60,20,100,20,0,3.4106975865223985,0
scenario86,c1,1,2,0,2,1.0,80,80,40,60,20,100,20,0,4.267193300064541,0
scenario87,c1,0,2,1,2,1.0,0,100,40,60,20,100,20,0,2.182430689800727,0
scenario88,c1,1,2,0,1,1.0,80,100,40,60,20,20,20,0,4.760590630182477,0
scenario89,c1,0,1,1,2,1.0,80,100,40,60,20,40,20,0,2.415457409744572,0
scenario90,c1,1,2,0,2,1.0,80,100,40,60,20,100,80,0,4.8679836153615135,0
scenario91,c1,0,2,1,2,1.0,80,100,40,80,20,100,20,1,0.0,1
scenario92,c1,1,2,0,1,1.0,80,100,20,60,20,100,20,0,5.95195158766861,0
scenario93,c1,0,1,1,2,0.4,80,100,40,60,20,100,20,0,2.0120700739723305,0
scenario94,c1,1,2,0,2,0.6,80,100,40,60,20,100,20,0,4.286435979208047,0
scenario95,c1,0,2,1,2,1.0,80,100,40,60,20,100,100,0,3.3788591913496373,0
