instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,c1,0,2,1,2,0.4,100,0,60,60,40,100,40,0,2.637468293483252,0
scenario2,c2,2,1,0,1,0.1,40,20,40,80,100,20,60,0,3.372583553426542,0
scenario3,c4,1,0,2,0,0.2,20,80,100,100,0,80,40,0,3.354055506083037,0
scenario4,c4,2,0,1,2,1.0,0,40,20,0,80,40,60,0,0.7480781560942634,0
scenario5,c2,2,1,0,1,0.8,100,100,100,20,20,60,40,0,2.56706342323385,0
scenario6,c4,1,2,2,0,1.0,20,60,0,40,60,0,60,1,0.0,1
scenario7,c2,0,1,2,1,0.2,80,0,80,40,20,20,0,0,3.482255639994173,0
scenario8,c4,2,0,1,0,0.6,80,100,0,80,80,100,80,0,3.3963705037724568,0
scenario9,c2,0,1,2,1,0.4,60,60,100,0,100,100,100,0,3.90101542722301,0
scenario10,c2,0,1,2,0,0.1,0,40,40,20,60,100,40,0,1.645424128685653,0
scenario11,c4,2,0,1,0,0.2,40,100,60,40,40,40,20,0,2.2158194614238007,0
scenario12,c1,1,2,0,2,0.4,0,20,100,60,0,0,80,0,5.45235055718189,0
scenario13,c1,1,2,0,1,0.6,0,80,80,100,100,40,0,0,6.483737371702792,0
scenario14,c4,1,2,2,0,0.8,60,40,80,60,80,60,20,0,4.9923892213389545,0
scenario15,c1,1,2,0,2,0.1,100,100,20,100,80,80,100,0,5.528265425932556,0
scenario16,c1,1,2,0,2,0.6,60,60,20,40,20,40,80,0,5.332277711331087,0
scenario17,c1,0,1,1,2,0.4,80,40,0,100,100,0,20,0,2.3189882578068715,0
scenario18,c4,2,0,1,2,0.8,20,60,60,100,100,60,80,0,1.013738235952185,0
scenario19,c4,2,0,1,2,0.2,60,80,40,20,80,20,100,0,1.35152898692409,0
scenario20,c4,2,0,1,0,0.6,20,0,100,0,40,20,60,0,1387.9108818078423,0
scenario21,c4,2,0,1,0,0.8,0,0,20,80,60,80,0,0,12.374275035760078,0
scenario22,c2,0,1,2,1,0.1,0,100,80,0,20,0,20,0,2.932770785027941,0
scenario23,c2,0,1,2,1,0.1,80,80,0,60,40,60,60,0,3.601212473739208,0
scenario24,c4,1,2,2,0,1.0,100,20,60,0,20,80,0,0,3.0555926426571176,0
scenario25,c2,0,1,2,1,0.8,20,20,40,0,20,40,100,0,4.657989256132163,0
scenario26,c2,2,0,0,1,1.0,40,80,20,40,0,100,100,0,3.1172614688540867,0
scenario27,c2,0,1,2,1,1.0,100,40,40,100,20,20,80,0,3.359017637817637,0
scenario28,c4,2,0,1,0,0.4,80,60,40,20,40,80,0,0,5.266898525940332,0
scenario29,c2,0,1,2,1,0.6,40,60,40,40,80,60,40,0,2.8830571568495507,0
scenario30,c2,2,0,0,1,0.6,100,60,60,20,80,0,20,0,2.3276168243585103,0
scenario31,c1,1,2,0,2,0.2,40,40,80,100,40,100,60,0,4.656738427793384,0
scenario32,c1,1,2,0,1,0.4,0,100,0,80,40,20,100,0,6.562874647594949,0
scenario33,c1,1,2,0,2,1.0,100,0,0,80,0,60,20,0,4.836705978719656,0
scenario34,c2,0,1,2,1,0.4,60,40,60,80,0,40,0,0,5.276982781620605,0
scenario35,c2,2,0,0,1,1.0,40,0,80,60,80,80,80,0,2.760888729043143,0
scenario36,c1,0,1,1,2,0.6,0,20,20,20,0,20,40,0,2.8820551353406514,0
scenario37,c1,0,2,1,2,0.1,20,0,80,20,0,0,0,0,2.0410603302352697,0
scenario38,c1,0,1,1,2,0.1,20,60,100,80,80,40,40,0,2.891330684646465,0
scenario39,c1,1,2,0,2,0.4,0,80,60,40,100,80,60,0,4.933208270810203,0
scenario40,c4,2,0,1,0,0.8,80,80,60,80,20,0,100,0,25.98164867400313,0
scenario41,c4,1,2,2,0,0.2,80,60,20,60,20,100,20,0,4.66257190668166,0
scenario42,c1,0,1,1,2,0.2,40,20,0,0,20,60,80,0,3.0941092857128227,0
