Row,z_1,z_2
bnd_pnt_1,-2.3940328088794,-1.24268080489636
bnd_pnt_2,-2.29897945031763,-1.57494014859067
bnd_pnt_3,-2.22965239919838,-1.80655213165281
bnd_pnt_4,-2.06698511476868,-2.20727690881165
bnd_pnt_5,-0.26473891880044,-3.69635989915045
bnd_pnt_6,-0.144846563278883,-3.76451583109753
bnd_pnt_7,1.14410893235519,-3.28039331966494
bnd_pnt_8,1.25680822184343,-3.21473724208029
bnd_pnt_9,1.51792350551413,-2.91050235540158
bnd_pnt_10,2.45826848457621,-1.6122248372883
bnd_pnt_11,2.62314700248348,-1.22595083905293
bnd_pnt_12,2.76073849062264,0.866707791782459
bnd_pnt_13,2.70836238580726,1.12431689542512
bnd_pnt_14,2.6133090272455,1.45657623911942
bnd_pnt_15,2.54398197612624,1.68818822218157
bnd_pnt_16,2.38131469169655,2.08891299934041
bnd_pnt_17,0.579068495728305,3.57799598967921
bnd_pnt_18,0.459176140206748,3.64615192162628
bnd_pnt_19,-0.829779355427327,3.16202941019369
bnd_pnt_20,-0.942478644915561,3.09637333260904
bnd_pnt_21,-1.20359392858627,2.79213844593034
bnd_pnt_22,-2.14393890764835,1.49386092781706
bnd_pnt_23,-2.30881742555562,1.10758692958168
bnd_pnt_24,-2.44640891369478,-0.985071701253703
bnd_pnt_25,-2.3940328088794,-1.24268080489636
