instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_startego,collision,min_ttc,algo_safety
scenario1,c4,0,20,0.8,20,3,0,100,60,0,40,20,1,0,3.8623962434158936,0
scenario2,c2,1,100,0.2,100,1,60,20,40,1,20,0,2,0,5.3332669004110285,0
scenario3,c2,1,40,0.8,40,1,80,100,80,1,80,40,2,0,4.719592859878771,0
scenario4,c2,1,40,0.2,0,3,60,80,0,0,80,40,0,0,2.308582707971538,0
scenario5,c2,1,0,0.1,40,1,20,40,20,1,80,100,2,0,3.2059513056341298,0
scenario6,c2,1,0,0.6,40,3,80,20,60,0,60,0,0,1,0.0,1
scenario7,c4,0,0,0.6,20,2,80,40,40,0,60,60,2,0,3.4761649996668704,0
scenario8,c2,1,40,0.4,80,3,100,0,80,1,20,0,0,0,3.4399507169098635,0
scenario9,c2,1,20,0.1,20,1,100,20,40,1,80,20,2,0,3.417987786274383,0
scenario10,c4,0,20,0.2,40,3,60,60,60,0,100,0,1,0,2.492403328574486,0
scenario11,c1,2,80,0.1,60,1,60,80,20,1,100,80,1,0,0.7837145101427925,0
scenario12,c2,1,40,0.4,0,1,40,0,100,1,60,0,2,0,3.30690740493664,0
scenario13,c2,1,80,0.6,0,1,100,40,0,1,100,0,2,0,3.835397294220269,0
scenario14,c2,1,0,0.4,40,3,80,20,80,0,100,60,0,0,2.1429634285528847,0
scenario15,c1,2,0,0.4,20,2,100,20,0,2,100,40,0,0,2.4812552923563524,0
scenario16,c1,1,80,0.6,80,2,40,40,40,2,20,0,0,0,3.290567602809115,0
scenario17,c1,2,40,0.6,0,2,100,0,0,2,20,0,0,0,3.2108264210818165,0
scenario18,c1,2,80,0.6,100,0,100,80,60,2,0,0,1,0,5.663656795309812,0
scenario19,c4,2,0,1.0,20,3,80,40,40,0,80,80,1,0,3.941502927182441,0
scenario20,c4,0,80,0.6,60,3,60,80,40,0,40,60,1,1,0.0,1
scenario21,c1,2,80,1.0,60,2,80,40,100,2,60,80,0,0,3.6937918315497096,0
