Row,z_1,z_2
bnd_pnt_1,-2.58324526394275,1.1530052634706
bnd_pnt_2,-2.12369849804817,-1.28584150953444
bnd_pnt_3,-2.00908083537802,-1.71999505376131
bnd_pnt_4,-1.99781422942825,-1.759709115883
bnd_pnt_5,-1.91094516867075,-2.06566370893499
bnd_pnt_6,-1.71674756953555,-2.50514098275024
bnd_pnt_7,-1.43776048963651,-2.70165477501236
bnd_pnt_8,0.0847237080550236,-3.19231876795207
bnd_pnt_9,0.41343756974462,-3.26014999523078
bnd_pnt_10,1.68879228680995,-2.94301264750442
bnd_pnt_11,2.06172427472432,-2.75236003104089
bnd_pnt_12,2.17648516723099,-2.41157496563792
bnd_pnt_13,2.54330631432356,-0.925987029704993
bnd_pnt_14,2.08375954842898,1.51285974330005
bnd_pnt_15,1.96914188575882,1.94701328752692
bnd_pnt_16,1.95787527980905,1.9867273496486
bnd_pnt_17,1.87100621905155,2.2926819427006
bnd_pnt_18,1.67680861991636,2.73215921651584
bnd_pnt_19,1.39782154001731,2.92867300877796
bnd_pnt_20,-0.12466265767422,3.41933700171768
bnd_pnt_21,-0.453376519363816,3.48716822899639
bnd_pnt_22,-1.72873123642914,3.17003088127003
bnd_pnt_23,-2.10166322434351,2.9793782648065
bnd_pnt_24,-2.21642411685019,2.63859319940353
bnd_pnt_25,-2.58324526394275,1.1530052634706
