Row,z_1,z_2
bnd_pnt_1,-2.57289602066805,1.3579546527692
bnd_pnt_2,-2.58351869996393,1.26633820551683
bnd_pnt_3,-2.16155632191567,-1.18602784373995
bnd_pnt_4,-2.09854171630714,-1.54455204207147
bnd_pnt_5,-1.9979918982877,-2.00624917809496
bnd_pnt_6,-1.81067430251554,-2.4624514166595
bnd_pnt_7,-1.51321833801853,-2.62919926907027
bnd_pnt_8,0.0188834363521144,-3.21606669424137
bnd_pnt_9,0.343720904822018,-3.31971155901625
bnd_pnt_10,1.65768542558518,-3.03585679781205
bnd_pnt_11,2.04546506873182,-2.85230489882396
bnd_pnt_12,2.1517967252666,-2.56199022697802
bnd_pnt_13,2.54041056829966,-1.12173589389572
bnd_pnt_14,2.55103324759555,-1.03011944664335
bnd_pnt_15,2.12907086954728,1.42224660261343
bnd_pnt_16,2.06605626393875,1.78077080094494
bnd_pnt_17,1.96550644591931,2.24246793696844
bnd_pnt_18,1.77818885014715,2.69867017553298
bnd_pnt_19,1.48073288565014,2.86541802794375
bnd_pnt_20,-0.051368888720503,3.45228545311485
bnd_pnt_21,-0.376206357190407,3.55593031788973
bnd_pnt_22,-1.69017087795357,3.27207555668553
bnd_pnt_23,-2.07795052110021,3.08852365769744
bnd_pnt_24,-2.18428217763499,2.79820898585149
bnd_pnt_25,-2.57289602066805,1.3579546527692
