instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,c1,0,1,1,2,0,60,40,0,90,0,60,80,0.8,False,8.733,0
scenario2,c2,0,1,2,1,0,20,20,40,30,40,100,20,0.2,False,156.747,0
scenario3,c1,0,2,1,2,0,80,60,0,-90,40,100,60,0.1,False,2.661,0
scenario4,c1,1,2,0,1,100,20,20,0,-30,60,80,60,0.4,False,3.743,0
scenario5,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,True,0.0,1
scenario6,c2,2,1,0,1,60,100,80,60,60,80,100,100,0.8,False,3.539,0
scenario7,c2,0,1,2,0,40,80,0,100,-60,100,0,60,1.0,False,3.402,0
scenario8,c2,2,0,0,1,40,40,80,60,-90,100,60,60,0.8,False,3.774,0
scenario9,c2,2,1,0,1,20,80,0,100,-30,0,40,20,0.6,False,4.646,0
scenario10,c4,1,2,2,0,100,40,60,100,60,20,80,60,0.2,False,3.894,0
scenario11,c1,0,2,1,2,60,60,0,0,-60,60,20,0,0.4,True,0.0,1
scenario12,c2,0,1,2,1,60,100,60,0,-90,80,0,80,0.4,False,3.425,0
scenario13,c1,0,2,1,2,0,80,60,0,-90,40,100,60,0.1,False,2.067,0
scenario14,c1,1,2,0,1,0,100,80,20,-90,40,100,40,0.1,False,3.762,0
scenario15,c1,0,2,1,2,20,80,80,20,0,40,100,60,0.1,False,5.282,0
scenario16,c2,0,1,2,0,0,100,40,0,-90,20,100,0,0.1,False,1989.745,0
scenario17,c1,1,2,0,2,0,80,60,0,30,40,80,60,0.1,False,26.91,0
scenario18,c4,2,0,1,0,0,80,80,20,90,40,60,40,0.1,False,5283.637,0
scenario19,c1,0,2,1,2,20,100,80,20,-60,40,80,40,0.1,True,0.0,1
scenario20,c2,0,1,2,0,60,80,60,0,-90,40,40,80,0.1,False,1.622,0
scenario21,c2,2,0,0,1,60,60,80,0,60,40,0,80,0.1,False,2.935,0
scenario22,c1,0,2,1,2,0,100,60,0,60,40,100,60,0.1,False,2.255,0
scenario23,c2,0,1,2,0,0,100,60,20,-90,40,80,0,0.2,False,2260.306,0
scenario24,c1,0,1,1,2,0,0,40,0,-60,20,40,80,0.2,False,6.199,0
scenario25,c1,0,2,1,2,20,100,80,20,-60,40,80,40,0.1,True,0.0,1
scenario26,c1,1,2,0,1,20,80,60,0,-90,60,100,40,0.1,False,4.219,0
scenario27,c4,1,0,2,0,0,80,60,0,30,60,100,60,0.1,False,2.688,0
scenario28,c1,0,2,1,2,20,80,100,20,60,60,80,20,0.1,True,0.0,1
scenario29,c2,0,1,2,0,0,0,40,40,-90,40,40,0,0.2,False,912.859,0
scenario30,c1,1,2,0,1,0,100,80,20,0,20,80,20,0.4,False,3.95,0
scenario31,c1,0,2,1,2,0,80,80,0,30,20,100,20,0.1,False,3.578,0
scenario32,c1,0,2,1,2,0,100,20,40,-90,20,100,60,0.1,False,12.163,0
scenario33,c4,2,0,1,0,0,60,80,20,90,80,40,40,0.1,False,4235.356,0
scenario34,c1,1,2,0,1,20,100,80,0,60,40,100,40,0.2,False,3634.294,0
scenario35,c1,0,2,1,2,20,100,60,60,-60,40,80,40,0.2,False,1.999,0
scenario36,c2,0,1,2,0,0,100,60,20,-60,40,60,20,0.1,False,2498.38,0
scenario37,c1,0,2,1,2,20,100,80,20,-60,40,80,40,0.1,False,3.577,0
scenario38,c4,2,0,1,0,20,20,40,40,-90,20,40,0,0.2,False,129.924,0
scenario39,c4,2,0,1,0,80,60,80,40,90,40,40,40,0.8,False,4171.277,0
scenario40,c2,2,1,0,1,0,20,40,60,-60,60,20,0,0.4,False,3.756,0
scenario41,c2,0,1,2,0,20,100,100,40,-60,60,80,40,0.1,False,1.716,0
scenario42,c1,1,2,0,1,0,100,20,40,30,0,80,20,0.4,False,5.29,0
scenario43,c1,1,2,0,2,40,100,60,0,90,40,100,60,0.1,False,35.211,0
scenario44,c4,2,0,1,2,20,80,60,0,30,20,100,80,0.1,False,7115.134,0
scenario45,c1,0,1,1,2,20,60,60,0,60,60,0,60,0.1,False,3.988,0
scenario46,c1,0,2,1,2,80,100,80,20,60,20,100,100,0.1,False,2.022,0
scenario47,c4,1,2,2,0,40,80,60,20,30,60,100,60,0.2,False,5.128,0
scenario48,c2,0,1,2,0,0,100,40,40,-60,20,40,20,0.1,False,67.772,0
scenario49,c2,0,1,2,0,20,100,100,40,-60,60,80,40,0.1,True,0.0,1
scenario50,c4,1,2,2,0,60,80,60,100,30,60,80,80,0.2,False,4.736,0
scenario51,c4,2,0,1,0,0,100,60,40,60,40,100,80,0.1,False,3598.22,0
scenario52,c4,1,2,2,0,20,100,40,20,0,20,100,80,0.1,False,4.073,0
scenario53,c4,1,2,2,0,100,40,60,20,60,40,40,40,1.0,False,5.148,0
scenario54,c2,0,1,2,0,40,80,40,20,60,40,100,60,0.2,False,563.171,0
scenario55,c2,0,1,2,1,60,40,60,40,0,60,80,60,0.1,False,2586.828,0
scenario56,c1,1,2,0,1,20,40,20,80,-60,60,20,40,0.6,False,2.543,0
scenario57,c1,0,1,1,2,20,20,60,20,30,80,0,60,0.1,False,3.612,0
scenario58,c4,2,0,1,0,0,100,60,0,-90,40,60,20,0.1,False,9999.0,0
scenario59,c1,1,2,0,1,80,20,0,40,0,20,60,0,0.4,False,3678.727,0
scenario60,c2,0,1,2,0,60,100,20,0,-90,0,40,20,0.1,False,1891.029,0
scenario61,c2,0,1,2,0,20,100,100,40,-60,60,80,40,0.1,False,1.708,0
scenario62,c4,2,0,1,0,20,100,60,20,90,20,100,80,0.1,False,4816.294,0
scenario63,c4,2,0,1,2,0,100,60,0,-90,40,80,20,0.2,False,1.033,0
scenario64,c4,1,2,2,0,80,20,80,20,90,40,20,40,1.0,False,4.28,0
scenario65,c4,1,2,2,0,80,80,40,0,-30,60,80,40,0.4,False,4.001,0
scenario66,c2,0,1,2,0,40,60,40,40,90,60,40,60,0.2,False,1.68,0
scenario67,c2,0,1,2,0,20,80,80,0,-90,0,20,40,0.2,False,2.298,0
scenario68,c4,1,2,2,0,60,100,60,80,0,40,100,80,0.2,False,5.127,0
scenario69,c4,1,2,2,0,40,80,20,100,90,60,80,80,0.2,False,4.144,0
scenario70,c1,1,2,0,1,40,20,0,60,-30,80,20,100,0.8,False,3.694,0
