instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario1,-90,20,40,0,0,0,0.8,0,100,0,0,0,c1,0.01539,0,2,1,2,0,3.2479479731934755,0
scenario2,90,60,100,0,0,0,0.8,0,100,0,0,0,c2,0.00234,2,1,0,1,0,3.517795739919676,0
scenario3,30,20,20,0,0,0,0.8,0,100,0,0,0,c4,0.00616,2,0,1,0,0,2.821808640906098,0
scenario4,0,60,100,0,0,0,0.8,0,100,0,0,20,c1,0.00192,1,2,0,2,0,3.3316678244614506,0
scenario5,-90,20,100,0,20,40,0.8,0,100,0,0,20,c2,0.002,0,1,2,1,0,2.510440943391952,0
scenario6,90,60,20,0,0,0,0.8,0,100,0,0,20,c4,0.00311,1,2,2,0,0,4.895945258566017,0
scenario7,-30,60,40,0,0,0,0.8,0,100,0,0,40,c1,0.0024,1,2,0,1,0,4.000558485373386,0
scenario8,-90,60,100,0,0,0,0.8,0,100,0,0,40,c2,0.00387,0,1,2,0,0,1.7410288516823704,0
scenario9,90,20,60,0,0,0,0.8,0,100,0,0,40,c4,0.0053,1,0,2,0,0,1.9580546379507715,0
scenario10,-30,20,80,0,0,0,0.8,0,100,0,0,60,c1,0.00757,0,1,1,2,0,2.7275269775328894,0
scenario11,30,20,80,0,0,0,0.8,0,100,0,0,60,c2,0.00677,2,0,0,1,0,3.05487693416108,0
scenario12,60,60,60,0,0,0,0.8,0,100,0,0,60,c4,0.00245,2,0,1,2,0,0.97671051440698,0
scenario13,-90,20,40,0,20,40,0.8,0,100,0,0,80,c1,0.00264,0,2,1,2,0,2.289353036681004,0
scenario14,-30,20,20,0,0,0,0.8,0,100,0,0,80,c2,0.00632,2,1,0,1,0,3.553062732647172,0
scenario15,-90,60,20,0,0,0,0.8,0,100,0,0,80,c4,0.00342,2,0,1,0,0,2.763492419585285,0
scenario16,0,40,60,0,0,0,0.8,0,100,0,0,100,c1,0.00289,1,2,0,2,0,3.697981692674548,0
scenario17,-90,20,80,0,0,0,0.8,0,100,0,0,100,c2,0.01511,0,1,2,1,1,0.0,1
scenario18,-60,40,60,0,0,0,0.8,0,100,0,0,100,c4,0.00205,1,2,2,0,0,4.336604705983966,0
scenario19,90,20,20,0,0,0,0.8,0,100,0,20,0,c1,0.00805,1,2,0,1,0,3.7599810367331816,0
scenario20,90,20,100,0,0,0,0.8,0,100,0,20,0,c2,0.00546,0,1,2,0,0,1.7438784353957102,0
scenario21,-90,20,80,0,0,0,0.8,80,20,0,20,0,c4,0.00197,1,0,2,0,0,3.613198454109263,0
scenario22,30,60,20,0,0,0,0.8,0,100,0,20,20,c1,0.00214,0,1,1,2,0,2.374532177692632,0
scenario23,-90,60,60,0,0,0,0.8,0,100,0,20,20,c2,0.00438,2,0,0,1,0,2.1386791750886727,0
scenario24,-60,40,100,0,0,0,0.8,0,100,0,20,20,c4,0.00213,2,0,1,2,0,0.9524038264222376,0
scenario25,60,40,100,0,0,0,0.8,0,100,0,20,40,c1,0.00199,0,2,1,2,0,2.0748054936709845,0
scenario26,60,20,40,0,0,0,0.8,0,100,0,20,40,c2,0.00777,2,1,0,1,0,3.393128222517891,0
scenario27,0,20,100,0,0,0,0.8,0,100,0,20,40,c4,0.00625,2,0,1,0,0,3.9818734549845054,0
scenario28,-60,40,20,0,0,0,0.8,0,100,0,20,60,c1,0.00261,1,2,0,2,0,3.2729611457191714,0
scenario29,-30,60,80,0,0,0,0.8,0,100,0,20,60,c2,0.00233,0,1,2,1,0,3.489389223309238,0
scenario30,30,60,80,0,0,0,0.8,0,100,0,20,60,c4,0.00198,1,2,2,0,0,4.160183072329972,0
scenario31,0,40,20,0,0,0,0.8,0,100,0,20,80,c1,0.00203,1,2,0,1,0,3.5311323358590454,0
scenario32,90,60,60,0,0,0,0.8,0,100,0,20,80,c2,0.00233,0,1,2,0,0,1.79758020029256,0
scenario33,60,60,20,0,0,0,0.8,0,100,0,20,80,c4,0.00235,1,0,2,0,0,2.364876469615423,0
scenario34,0,20,40,0,0,0,0.8,0,100,0,20,100,c1,0.00804,0,1,1,2,0,2.524703599538715,0
scenario35,-60,20,40,0,0,0,0.8,0,100,0,20,100,c2,0.00692,2,0,0,1,0,3.0619861907886525,0
scenario36,-60,20,80,0,0,0,0.8,0,100,0,20,100,c4,0.00606,2,0,1,2,0,0.9699487672228748,0
scenario37,60,20,80,0,0,0,0.8,0,100,0,40,0,c1,0.00578,0,2,1,2,0,3.16287251634687,0
scenario38,30,40,40,0,0,0,0.8,0,100,0,40,0,c2,0.00326,2,1,0,1,0,2.715930783485907,0
scenario39,90,40,40,0,0,0,0.8,0,100,0,40,0,c4,0.00265,2,0,1,0,0,2.469976403692204,0
scenario40,-60,60,40,0,0,0,0.8,0,100,0,40,20,c1,0.0026,1,2,0,2,0,3.2932945069667445,0
scenario41,-30,40,100,0,0,0,0.8,0,100,0,40,20,c2,0.00285,0,1,2,1,0,3.563567623391033,0
scenario42,-30,40,60,0,0,0,0.8,0,100,0,40,20,c4,0.00246,1,2,2,0,0,4.870522416565631,0
scenario43,-60,60,80,0,0,0,0.8,0,100,0,40,40,c1,0.00224,1,2,0,1,0,4.119100887295096,0
scenario44,0,60,40,0,0,0,0.8,0,100,0,40,40,c2,0.00242,0,1,2,0,0,1.7825497419329,0
scenario45,30,40,100,0,0,0,0.8,0,100,0,40,40,c4,0.002,1,0,2,0,0,1.8371890077179769,0
scenario46,30,20,60,0,0,0,0.8,0,100,0,40,60,c1,0.00704,0,1,1,2,0,2.7805618713994624,0
scenario47,0,40,80,0,0,0,0.8,0,100,0,40,60,c2,0.00261,2,0,0,1,0,2.532133763298684,0
