Row,z_1,z_2
bnd_pnt_1,-5.48794616561328,-0.714975056791819
bnd_pnt_2,-5.48495346282111,-0.90081753505246
bnd_pnt_3,-5.37014119060876,-1.07184809738127
bnd_pnt_4,-5.00361431037631,-1.46446385355835
bnd_pnt_5,-4.12872058299326,-2.13651991483142
bnd_pnt_6,-3.27969765733062,-2.54179766399223
bnd_pnt_7,-3.11270746584302,-2.60428725774708
bnd_pnt_8,-0.936924475857363,-3.06153495458601
bnd_pnt_9,0.671453627395956,-3.32643867510621
bnd_pnt_10,2.06296905639427,-3.43941827262982
bnd_pnt_11,2.42792019936164,-3.3402111883239
bnd_pnt_12,5.30450627431989,0.235350005140929
bnd_pnt_13,5.81431048356041,0.895392122031103
bnd_pnt_14,5.81131778076824,1.08123460029174
bnd_pnt_15,5.69650550855589,1.25226516262055
bnd_pnt_16,5.32997862832344,1.64488091879764
bnd_pnt_17,4.45508490094039,2.3169369800707
bnd_pnt_18,3.60606197527775,2.72221472923152
bnd_pnt_19,3.43907178379015,2.78470432298637
bnd_pnt_20,1.26328879380449,3.2419520198253
bnd_pnt_21,-0.345089309448828,3.50685574034549
bnd_pnt_22,-1.73660473844714,3.6198353378691
bnd_pnt_23,-2.10155588141451,3.52062825356319
bnd_pnt_24,-4.97814195637276,-0.0549329399016453
bnd_pnt_25,-5.48794616561328,-0.714975056791819
