Row,timeofday,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
scenario1,-60,20,40,60,0,0,0.8,20,80,0,1,1,2
scenario2,90,40,100,80,0,80,0.4,100,0,0,1,2,0
scenario3,60,20,60,0,80,100,0.1,0,100,2,0,1,0
scenario4,-90,60,40,40,100,60,0.6,100,0,0,2,1,2
scenario5,90,60,40,0,0,0,0.8,20,80,2,1,0,1
scenario6,-90,0,100,0,100,60,0.6,0,100,1,2,2,0
scenario7,-60,80,100,0,0,80,0.4,80,20,1,2,0,2
scenario8,60,40,20,20,100,40,0.6,100,0,2,0,0,1
scenario9,-30,60,20,0,0,100,0.2,20,80,2,0,1,2
scenario10,90,20,20,0,0,100,0.6,80,20,1,2,0,1
scenario11,30,40,80,80,20,40,0.8,40,60,0,1,2,1
scenario12,60,40,100,0,0,0,0.4,80,20,1,0,2,0
scenario13,-30,20,20,20,100,0,0.6,0,100,0,1,1,2
scenario14,-30,60,20,100,0,100,0.1,60,40,0,1,2,0
scenario15,90,80,40,60,100,40,0.6,20,80,2,0,1,0
scenario16,-90,40,100,100,0,80,0.4,100,0,0,2,1,2
scenario17,-30,60,40,0,0,0,0.8,100,0,2,1,0,1
scenario18,-90,20,20,0,0,100,0.1,80,20,1,2,2,0
scenario19,0,60,100,0,0,40,0.8,0,100,1,2,0,2
scenario20,-30,20,100,0,80,40,0.6,80,20,2,0,0,1
scenario21,-90,20,20,20,80,60,0.6,40,60,2,0,1,2
scenario22,60,80,40,0,0,100,0.1,0,100,1,2,0,1
scenario23,-30,20,80,40,0,80,0.4,20,0,0,1,2,1
scenario24,-30,80,100,40,100,40,0.6,20,80,1,0,2,0
scenario25,-90,40,100,20,0,80,0.8,20,80,0,1,1,2
scenario26,90,20,100,0,0,100,0.1,40,60,0,1,2,0
scenario27,60,20,100,20,80,0,0.6,40,60,2,0,1,0
scenario28,-90,0,80,0,0,0,0.8,80,20,0,2,1,2
scenario29,0,40,40,0,0,100,0.8,80,20,2,1,0,1
scenario30,0,0,40,0,20,40,0.8,40,60,1,2,2,0
scenario31,90,0,100,0,40,40,0.6,0,100,1,2,0,2
scenario32,90,60,20,60,20,60,0.2,40,60,2,0,0,1
scenario33,0,40,80,80,0,80,0.4,100,0,2,0,1,2
scenario34,30,20,20,40,100,40,0.6,40,60,1,2,0,1
scenario35,-60,80,20,0,60,40,0.6,0,100,0,1,2,1
scenario36,-90,20,100,40,100,0,0.6,40,60,1,0,2,0
scenario37,30,20,100,40,100,0,0.6,100,0,0,1,1,2
scenario38,-30,40,40,100,0,20,0.8,80,20,0,1,2,0
scenario39,-90,60,80,20,0,0,0.6,0,100,2,0,1,0
scenario40,60,60,20,80,0,80,0.6,100,0,0,2,1,2
scenario41,90,80,80,0,0,80,0.4,80,20,2,1,0,1
scenario42,90,20,100,60,100,40,0.6,0,100,1,2,2,0
scenario43,90,20,60,20,60,60,0.6,40,60,1,2,0,2
scenario44,0,80,20,20,0,0,0.8,0,100,2,0,0,1
scenario45,0,20,100,20,60,0,0.6,0,100,2,0,1,2
scenario46,30,20,100,80,0,0,0.8,100,0,1,2,0,1
scenario47,90,20,20,0,0,0,0.6,80,20,0,1,2,1
scenario48,90,0,20,0,0,80,0.4,0,100,1,0,2,0
scenario49,30,20,40,40,0,100,0.2,20,80,0,1,1,2
scenario50,-90,20,40,60,0,100,0.4,40,60,0,1,2,0
scenario51,-30,20,80,20,100,100,0.6,20,80,2,0,1,0
scenario52,90,20,60,40,40,40,0.8,100,0,0,2,1,2
scenario53,90,80,100,0,40,40,0.6,0,100,2,1,0,1
scenario54,-60,0,20,0,20,40,0.8,0,100,1,2,2,0
scenario55,-90,60,40,20,20,40,0.8,100,0,1,2,0,2
scenario56,-30,20,20,20,80,40,0.6,100,0,2,0,0,1
scenario57,-30,40,20,100,0,100,0.4,0,100,2,0,1,2
scenario58,-90,60,40,20,40,0,0.8,40,60,1,2,0,1
scenario59,30,60,80,20,40,40,0.8,100,0,0,1,2,1
scenario60,30,80,60,0,100,0,0.6,0,100,1,0,2,0
scenario61,30,0,100,0,0,100,0.1,0,100,0,1,1,2
scenario62,0,20,100,0,0,60,0.2,80,20,0,1,2,0
scenario63,-90,80,100,40,60,40,0.6,40,60,2,0,1,0
scenario64,90,60,100,0,100,40,0.6,80,20,0,2,1,2
scenario65,90,20,20,20,80,0,0.6,20,80,2,1,0,1
scenario66,30,20,60,0,0,0,0,0,100,1,2,2,0
scenario67,-90,20,60,100,100,40,0.6,40,60,1,2,0,2
scenario68,60,60,20,0,40,40,0.8,80,20,2,0,0,1
scenario69,0,60,20,0,0,0,0.8,0,0,2,0,1,2
scenario70,30,60,100,20,60,100,0.6,40,60,1,2,0,1
scenario71,-90,20,100,40,100,40,0.6,100,0,0,1,2,1
scenario72,-30,60,80,20,0,80,0.2,40,60,1,0,2,0
scenario73,-90,40,60,40,60,40,0.6,0,100,0,1,1,2
scenario74,30,60,100,0,80,60,0.6,0,100,0,1,2,0
scenario75,90,40,100,80,100,60,0.6,100,0,2,0,1,0
scenario76,-60,80,100,0,40,40,0.8,0,100,0,2,1,2
scenario77,60,20,60,20,40,60,0.8,100,100,2,1,0,1
scenario78,0,20,60,40,60,0,0.6,40,60,1,2,2,0
scenario79,30,60,40,0,40,40,0.8,20,80,1,2,0,2
scenario80,90,20,20,100,0,0,0.8,0,100,2,0,0,1
scenario81,-60,20,100,20,0,0,0.6,40,60,2,0,1,2
scenario82,0,40,20,20,100,60,0.6,0,100,1,2,0,1
scenario83,30,20,20,60,0,0,0.8,0,100,0,1,2,1
scenario84,-30,60,40,100,0,0,0.8,0,100,1,0,2,0
scenario85,-90,60,40,0,0,60,0.8,0,100,0,1,1,2
scenario86,-90,80,80,0,100,40,0.4,0,100,0,1,2,0
scenario87,60,60,80,40,0,80,0.2,40,60,2,0,1,0
scenario88,-30,60,20,20,80,40,0.6,40,60,0,2,1,2
scenario89,60,40,20,80,0,0,0.8,100,0,2,1,0,1
