instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario1,-60,20,40,60,0,0,0.8,20,80,0,0,0,c1,1e-05,0,1,1,2,0,2.1335925340586126,0
scenario2,90,40,100,80,0,80,0.4,100,0,0,0,0,c2,1e-05,0,1,2,0,0,1.0931697247074437,0
scenario3,60,20,60,0,80,100,0.1,0,100,0,0,0,c4,1e-05,2,0,1,0,0,70.05125717821844,0
scenario4,-90,60,40,40,100,60,0.6,100,0,0,0,20,c1,1e-05,0,2,1,2,0,3.031901297604694,0
scenario5,90,60,40,0,0,0,0.8,20,80,0,0,20,c2,1e-05,2,1,0,1,0,3.383465345250384,0
scenario6,-90,0,100,0,100,60,0.6,0,100,0,0,20,c4,1e-05,1,2,2,0,0,3.7720041369158497,0
scenario7,-60,80,100,0,0,80,0.4,80,20,0,0,40,c1,1e-05,1,2,0,2,0,3.3309484048496434,0
scenario8,60,40,20,20,100,40,0.6,100,0,0,0,40,c2,1e-05,2,0,0,1,0,1.3035624896654112,0
scenario9,-30,60,20,0,0,100,0.2,20,80,0,0,40,c4,1e-05,2,0,1,2,0,1.3133512166037125,0
scenario10,90,20,20,0,0,100,0.6,80,20,0,0,60,c1,1e-05,1,2,0,1,0,2.526852637603571,0
scenario11,30,40,80,80,20,40,0.8,40,60,0,0,60,c2,1e-05,0,1,2,1,0,3.945403900872292,0
scenario12,60,40,100,0,0,0,0.4,80,20,0,0,60,c4,1e-05,1,0,2,0,0,2.92389446406909,0
scenario13,-30,20,20,20,100,0,0.6,0,100,0,0,80,c1,1e-05,0,1,1,2,0,2.088233929554877,0
scenario14,-30,60,20,100,0,100,0.1,60,40,0,0,80,c2,1e-05,0,1,2,0,0,1.626407025737466,0
scenario15,90,80,40,60,100,40,0.6,20,80,0,0,80,c4,1e-05,2,0,1,0,0,3.8403543494254655,0
scenario16,-90,40,100,100,0,80,0.4,100,0,0,0,100,c1,1e-05,0,2,1,2,0,2.932319847692517,0
scenario17,-30,60,40,0,0,0,0.8,100,0,0,0,100,c2,1e-05,2,1,0,1,1,0.0,1
scenario18,-90,20,20,0,0,100,0.1,80,20,0,0,100,c4,1e-05,1,2,2,0,0,3.157668203883783,0
scenario19,0,60,100,0,0,40,0.8,0,100,0,20,0,c1,1e-05,1,2,0,2,0,3.223801312644601,0
scenario20,-30,20,100,0,80,40,0.6,80,20,0,20,0,c2,1e-05,2,0,0,1,0,2.642641800000814,0
scenario21,-90,20,20,20,80,60,0.6,40,60,0,20,0,c4,1e-05,2,0,1,2,0,1.0990777232641973,0
scenario22,60,80,40,0,0,100,0.1,0,100,0,20,20,c1,1e-05,1,2,0,1,0,2.9955993162364907,0
scenario23,-30,20,80,40,0,80,0.4,20,0,0,20,20,c2,1e-05,0,1,2,1,0,2.9081103391621537,0
scenario24,-30,80,100,40,100,40,0.6,20,80,0,20,20,c4,1e-05,1,0,2,0,0,1.9163689310232013,0
scenario25,-90,40,100,20,0,80,0.8,20,80,0,20,40,c1,1e-05,0,1,1,2,0,2.5854713524089448,0
scenario26,90,20,100,0,0,100,0.1,40,60,0,20,40,c2,1e-05,0,1,2,0,0,2.105472568720389,0
scenario27,60,20,100,20,80,0,0.6,40,60,0,20,40,c4,1e-05,2,0,1,0,0,2.77654543412546,0
scenario28,-90,0,80,0,0,0,0.8,80,20,0,20,60,c1,1e-05,0,2,1,2,0,4.455537964936092,0
scenario29,0,40,40,0,0,100,0.8,80,20,0,20,60,c2,1e-05,2,1,0,1,0,0.722744074844457,0
scenario30,0,0,40,0,20,40,0.8,40,60,0,20,60,c4,1e-05,1,2,2,0,0,4.745621391815371,0
scenario31,90,0,100,0,40,40,0.6,0,100,0,20,80,c1,1e-05,1,2,0,2,0,3.561457574381957,0
scenario32,90,60,20,60,20,60,0.2,40,60,0,20,80,c2,1e-05,2,0,0,1,0,3.209398783207107,0
scenario33,0,40,80,80,0,80,0.4,100,0,0,20,80,c4,1e-05,2,0,1,2,0,1.4159027725318976,0
scenario34,30,20,20,40,100,40,0.6,40,60,0,20,100,c1,1e-05,1,2,0,1,0,4.381918701556895,0
scenario35,-60,80,20,0,60,40,0.6,0,100,0,20,100,c2,1e-05,0,1,2,1,0,2.9618877438885085,0
scenario36,-90,20,100,40,100,0,0.6,40,60,0,20,100,c4,1e-05,1,0,2,0,0,1.9504873049643767,0
scenario37,30,20,100,40,100,0,0.6,100,0,0,40,0,c1,1e-05,0,1,1,2,0,3.0973917482265567,0
scenario38,-30,40,40,100,0,20,0.8,80,20,0,40,0,c2,1e-05,0,1,2,0,0,1.5686705466036162,0
scenario39,-90,60,80,20,0,0,0.6,0,100,0,40,0,c4,1e-05,2,0,1,0,0,2.713285378337987,0
scenario40,60,60,20,80,0,80,0.6,100,0,0,40,20,c1,1e-05,0,2,1,2,1,0.0,1
scenario41,90,80,80,0,0,80,0.4,80,20,0,40,20,c2,1e-05,2,1,0,1,1,0.0,1
scenario42,90,20,100,60,100,40,0.6,0,100,0,40,20,c4,1e-05,1,2,2,0,0,4.2933374759131055,0
scenario43,90,20,60,20,60,60,0.6,40,60,0,40,40,c1,1e-05,1,2,0,2,0,3.743333223786108,0
scenario44,0,80,20,20,0,0,0.8,0,100,0,40,40,c2,1e-05,2,0,0,1,0,2.4780869493995663,0
