Row,timeofday,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario1,-60,1,0,2,0,1,100,0,0,0,0,0,0
scenario2,-60,2,0,1,2,1,100,0,0,0,0,0,40
scenario3,-60,2,0,1,0,1,100,0,80,0,0,100,0
scenario4,-60,1,2,2,0,1,40,0,0,0,0,100,40
scenario5,-60,1,0,2,0,0.8,100,0,80,0,0,0,0
scenario6,-30,2,0,1,2,0.2,100,0,0,40,60,0,0
scenario7,-60,1,2,0,1,0.8,100,0,60,100,0,0,40
scenario8,-60,2,0,0,1,1,100,0,80,80,60,0,20
scenario9,-60,2,0,1,0,0.2,40,0,0,0,0,100,40
scenario10,-30,1,2,2,0,0.8,100,0,80,0,100,40,0
scenario11,-60,1,0,2,0,1,40,0,60,40,0,100,0
scenario12,-60,0,1,1,2,0.2,100,0,40,100,0,60,20
scenario13,-30,1,2,0,2,0.2,100,20,60,0,0,100,40
scenario14,-60,0,1,2,0,0.8,60,0,80,80,0,0,40
scenario15,-60,0,2,1,2,1,40,20,60,0,60,0,20
scenario16,-60,0,1,2,1,0.1,100,0,60,0,0,40,0
scenario17,0,2,0,1,2,0.8,100,40,0,40,20,0,0
scenario18,-30,2,0,1,0,1,40,0,0,40,0,60,0
scenario19,30,1,2,0,1,1,100,100,80,100,100,100,100
scenario20,-60,0,1,1,2,1,60,0,0,0,100,60,20
scenario21,-90,1,2,0,2,0.2,100,0,0,100,60,0,0
scenario22,60,2,1,0,1,1,100,20,60,80,0,40,40
scenario23,-30,2,0,0,1,0.8,100,0,40,20,0,0,40
scenario24,-60,0,1,2,0,1,40,40,40,0,0,60,40
scenario25,-30,1,2,2,0,0.1,60,0,60,40,20,0,0
scenario26,-30,1,0,2,0,0.8,60,20,0,40,60,100,0
scenario27,90,2,0,1,2,0.1,100,100,20,80,0,0,20
scenario28,0,0,2,1,2,0.8,40,0,80,40,60,100,40
