instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,-60,c4,1,0,2,0,1.0,100,0,0,0,0,0,0,0,3.376339600878293,0
scenario2,-60,c4,2,0,1,2,1.0,100,0,0,0,0,0,40,0,0.798799262523264,0
scenario3,-60,c4,2,0,1,0,1.0,100,0,80,0,0,100,0,0,2.7542585312666388,0
scenario4,-60,c4,1,2,2,0,1.0,40,0,0,0,0,100,40,0,4.434956406392856,0
scenario5,-60,c4,1,0,2,0,0.8,100,0,80,0,0,0,0,0,3.0571374850313298,0
scenario6,-30,c4,2,0,1,2,0.2,100,0,0,40,60,0,0,0,1.0551656184080664,0
scenario7,-60,c1,1,2,0,1,0.8,100,0,60,100,0,0,40,0,4.303298783959956,0
scenario8,-60,c2,2,0,0,1,1.0,100,0,80,80,60,0,20,0,2.2186146838697094,0
scenario9,-60,c4,2,0,1,0,0.2,40,0,0,0,0,100,40,0,1.909315728934704,0
scenario10,-30,c4,1,2,2,0,0.8,100,0,80,0,100,40,0,0,3.683692783373687,0
scenario11,-60,c4,1,0,2,0,1.0,40,0,60,40,0,100,0,0,1.9704469317650464,0
scenario12,-60,c1,0,1,1,2,0.2,100,0,40,100,0,60,20,0,2.394921994086438,0
scenario13,-30,c1,1,2,0,2,0.2,100,20,60,0,0,100,40,0,3.730217588446368,0
scenario14,-60,c2,0,1,2,0,0.8,60,0,80,80,0,0,40,0,1.7386850077320095,0
scenario15,-60,c1,0,2,1,2,1.0,40,20,60,0,60,0,20,0,3.3695295807132384,0
scenario16,-60,c2,0,1,2,1,0.1,100,0,60,0,0,40,0,0,3.1407763400466244,0
scenario17,0,c4,2,0,1,2,0.8,100,40,0,40,20,0,0,1,4272.987524029849,1
scenario18,-30,c4,2,0,1,0,1.0,40,0,0,40,0,60,0,0,1.9680858256037703,0
scenario19,30,c1,1,2,0,1,1.0,100,100,80,100,100,100,100,0,4.813342281003872,0
