Row,NumGoodAlgos
scenario1,1
scenario2,1
scenario3,1
scenario4,1
scenario5,1
scenario6,1
scenario7,1
scenario8,1
scenario9,1
scenario10,1
scenario11,1
scenario12,1
scenario13,1
scenario14,1
scenario15,1
scenario16,1
scenario17,0
scenario18,1
scenario19,1
scenario20,1
scenario21,1
scenario22,1
scenario23,1
scenario24,1
scenario25,1
scenario26,1
scenario27,1
scenario28,1
scenario29,1
scenario30,1
scenario31,1
scenario32,1
scenario33,1
scenario34,1
scenario35,1
scenario36,1
scenario37,1
scenario38,1
scenario39,1
scenario40,1
scenario41,1
scenario42,1
scenario43,1
scenario44,1
scenario45,1
scenario46,1
scenario47,1
scenario48,1
scenario49,1
scenario50,1
scenario51,1
scenario52,1
scenario53,1
scenario54,0
scenario55,1
scenario56,1
scenario57,1
scenario58,1
scenario59,0
scenario60,1
scenario61,1
scenario62,1
scenario63,1
scenario64,1
scenario65,1
scenario66,0
scenario67,1
scenario68,1
