instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,-60,c2,0,1,2,0,1.0,0,100,80,80,80,80,80,0,1.8731489669872687,0
scenario2,0,c1,0,2,1,2,0.4,60,60,0,40,40,60,20,0,0.6985709737438186,0
scenario3,90,c2,2,0,0,1,0.6,0,40,40,20,20,40,0,0,2.4098140588472963,0
scenario4,-30,c2,0,1,2,1,0.2,80,0,60,0,0,100,60,0,2.83959919891614,0
scenario5,90,c4,2,0,1,2,0.1,100,20,100,80,60,0,100,0,0.9957243436712117,0
scenario6,60,c4,1,2,2,0,0.1,40,80,20,60,100,20,40,0,4.384668850097551,0
scenario7,0,c1,1,2,0,2,0.8,20,20,80,100,0,40,40,0,3.331725776327018,0
scenario8,60,c4,2,0,1,0,0.4,20,100,60,100,20,100,100,0,4.049562728346365,0
scenario9,-60,c2,2,1,0,1,1.0,20,40,100,0,40,20,0,0,3.61110363594594,0
scenario10,-30,c1,1,2,0,1,0.4,100,0,0,20,100,0,80,0,4.0762926138962925,0
scenario11,60,c1,1,2,0,2,0.2,80,60,20,20,60,80,20,0,4.06720033699439,0
scenario12,-90,c1,1,2,0,2,0.6,60,80,100,60,80,60,60,0,3.3294309177532933,0
scenario13,0,c1,0,1,1,2,0.1,40,0,40,40,80,100,0,0,3.307190205063757,0
scenario14,30,c2,0,1,2,1,0.8,60,0,20,0,20,60,100,0,2.538855541904624,0
scenario15,-60,c4,2,0,1,0,1.0,100,80,60,40,100,40,20,0,8.534150025074457,0
scenario16,60,c4,2,0,1,0,0.8,80,40,40,60,40,0,80,0,2.351754973268361,0
scenario17,-90,c2,0,1,2,0,0.6,80,20,0,100,100,80,0,1,2854.979760964793,1
scenario18,-60,c2,0,1,2,1,0.2,60,100,40,100,60,60,40,0,3.235630631859212,0
scenario19,60,c4,2,0,1,0,0.6,0,60,0,80,0,20,60,0,2.753231322293746,0
