Row,z_1,z_2
bnd_pnt_1,3.90375843317299,4.16248360102958
bnd_pnt_2,3.65833969299383,4.35412846108256
bnd_pnt_3,1.43052081217782,5.03177422042038
bnd_pnt_4,1.0551596029071,4.94287624177726
bnd_pnt_5,0.46225045042611,4.61928874971787
bnd_pnt_6,-1.76480503924991,2.90431641934627
bnd_pnt_7,-1.99064465992362,2.68942978768009
bnd_pnt_8,-3.63779002443525,-0.0369011441847363
bnd_pnt_9,-3.76394155243269,-0.434546204850401
bnd_pnt_10,-3.83000276043001,-0.899192561809756
bnd_pnt_11,-4.20272753408752,-3.79443807998751
bnd_pnt_12,-4.22577402401213,-4.2612058540987
bnd_pnt_13,-4.1829850025115,-4.5284368473369
bnd_pnt_14,-4.15501104685187,-4.64781867131633
bnd_pnt_15,-3.90959230667271,-4.8394635313693
bnd_pnt_16,-1.6817734258567,-5.51710929070712
bnd_pnt_17,-1.30641221658598,-5.428211312064
bnd_pnt_18,-0.713503064104991,-5.10462382000461
bnd_pnt_19,1.51355242557103,-3.38965148963301
bnd_pnt_20,1.73939204624474,-3.17476485796683
bnd_pnt_21,3.38653741075637,-0.448433926102005
bnd_pnt_22,3.51268893875381,-0.0507888654363408
bnd_pnt_23,3.57875014675112,0.413857491523014
bnd_pnt_24,3.95147492040863,3.30910300970076
bnd_pnt_25,3.97452141033325,3.77587078381196
bnd_pnt_26,3.93173238883262,4.04310177705016
bnd_pnt_27,3.90375843317299,4.16248360102958
