Row,timeofday,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario1,-90,0,2,1,2,0.1,100,100,40,20,60,40,0
scenario2,-30,1,0,2,0,0.8,80,0,100,0,20,0,20
scenario3,-90,2,1,0,1,0.6,60,100,20,100,80,20,40
scenario4,-60,1,2,2,0,0.6,20,20,40,80,0,60,100
scenario5,-90,0,1,2,0,1,40,60,0,60,100,100,0
scenario6,-30,2,0,1,2,0.4,0,80,80,40,80,100,60
scenario7,0,0,1,2,1,0.2,80,40,60,60,40,20,80
scenario8,60,2,0,1,0,0.1,100,40,0,40,20,20,100
scenario9,90,1,2,0,1,0.2,60,80,80,0,100,80,100
scenario10,30,1,2,0,2,0.8,0,20,100,100,100,60,0
scenario11,0,2,0,0,1,0.4,20,60,20,20,60,60,80
scenario12,-60,0,1,1,2,0.8,40,0,0,80,40,80,60
scenario13,30,2,0,0,1,0.8,100,80,40,60,0,0,40
scenario14,-60,1,2,0,1,1,0,60,60,40,40,40,20
scenario15,0,2,0,1,0,0.4,40,40,40,100,80,80,20
scenario16,-30,1,2,0,2,1,20,0,80,80,60,20,40
scenario17,90,2,0,1,0,0.2,40,20,100,20,20,40,80
scenario18,-30,0,1,2,1,0.2,40,100,60,100,60,0,60
scenario19,-90,1,2,0,1,0.1,80,40,100,100,0,100,60
scenario20,0,0,1,1,2,0.6,0,0,20,40,100,0,100
scenario21,60,1,2,2,0,0.8,60,20,60,20,40,100,40
scenario22,30,1,2,0,2,1,100,100,20,0,20,80,80
scenario23,-30,0,1,1,2,0.1,80,60,40,0,80,60,40
scenario24,-30,0,1,2,1,0.4,60,40,0,0,0,40,0
scenario25,0,2,0,1,0,1,60,100,80,20,0,0,20
scenario26,-30,2,0,0,1,0.6,20,20,60,0,100,100,80
scenario27,60,0,1,1,2,0.2,60,80,20,80,20,60,20
scenario28,-30,2,0,1,0,0.6,0,60,100,60,60,80,100
scenario29,-90,1,2,2,0,0.4,0,0,80,100,40,40,80
scenario30,-30,0,1,2,0,0.2,100,20,20,40,40,80,0
scenario31,0,0,1,2,1,0.8,0,60,0,100,20,20,60
scenario32,0,0,1,2,1,1,100,0,100,40,80,60,40
scenario33,90,0,1,2,0,0.4,20,100,40,20,100,20,60
scenario34,0,2,0,1,2,0.1,20,100,100,0,40,100,0
scenario35,30,1,0,2,0,0.1,80,80,60,80,80,40,100
