Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,timeofday,startego
scenario1,0,40,0.6,60,3,0,20,60,0,80,60,-90,1
scenario2,0,60,1,100,3,60,60,0,0,0,60,30,1
scenario3,1,0,0.2,0,2,0,40,80,2,0,60,60,0
scenario4,2,20,0.4,100,0,80,60,20,2,60,20,-30,1
scenario5,1,0,0.6,100,1,40,100,40,1,100,100,60,2
scenario6,2,60,0.6,60,3,80,40,80,0,40,80,90,1
scenario7,1,80,0.6,100,1,40,100,100,1,20,40,60,2
scenario8,0,40,0.4,0,1,60,20,100,1,80,60,0,2
scenario9,0,0,0.6,80,2,20,20,20,0,80,80,90,2
scenario10,1,80,0.2,60,1,80,40,0,1,100,100,60,2
scenario11,2,40,0.6,20,2,60,60,80,2,0,80,30,0
scenario12,0,80,0.1,40,3,80,40,80,0,0,60,30,1
scenario13,0,0,0.1,40,3,20,80,80,0,80,0,90,1
scenario14,0,20,0.4,80,3,40,60,0,0,0,20,-30,1
scenario15,0,20,0.6,100,2,80,20,40,0,40,100,60,2
scenario16,1,60,0.4,20,1,40,0,60,1,0,40,-30,2
scenario17,2,20,0.2,20,2,0,80,60,2,60,0,-90,0
scenario18,2,100,0.1,20,2,100,80,60,2,20,80,30,0
scenario19,0,0,0.4,20,3,60,100,40,0,100,20,60,1
scenario20,0,20,0.8,40,3,100,40,80,0,40,20,0,1
scenario21,0,100,0.4,0,3,20,80,80,0,60,60,30,1
scenario22,0,80,0.4,0,1,60,80,60,1,100,100,-60,2
scenario23,2,40,0.2,20,2,60,40,20,2,80,40,-90,0
scenario24,1,0,0.8,80,2,100,20,60,2,40,40,90,0
scenario25,0,20,0.4,80,2,0,100,20,0,0,20,-60,2
scenario26,1,40,0.4,100,1,0,0,20,1,0,100,90,2
scenario27,2,100,0.8,100,2,80,80,60,2,0,60,-60,0
scenario28,0,0,0.8,40,3,0,80,60,0,40,60,-30,1
scenario29,1,20,0.4,20,1,0,20,20,1,20,80,-30,2
scenario30,2,80,0.6,80,3,100,60,40,0,60,40,90,1
scenario31,2,60,1,80,2,20,100,60,2,80,80,-30,0
scenario32,1,80,0.4,60,1,100,40,60,1,80,100,60,2
scenario33,0,40,0.8,80,2,60,80,100,2,40,80,-30,2
scenario34,1,100,0.2,40,1,40,60,0,1,80,100,30,2
scenario35,2,0,0.8,20,0,100,0,80,2,80,100,-30,1
scenario36,0,0,1,40,3,100,0,40,0,60,20,-90,1
scenario37,1,0,0.2,40,1,0,0,0,1,0,40,60,2
scenario38,1,60,0.1,20,3,0,80,0,0,100,20,30,0
scenario39,1,60,0.6,100,1,40,60,80,1,0,0,30,2
scenario40,0,100,0.2,0,2,0,60,40,0,20,0,60,2
scenario41,0,40,0.8,100,3,40,20,60,0,40,0,30,1
scenario42,1,20,0.8,60,1,20,40,0,1,0,100,-60,2
scenario43,0,60,0.8,0,2,100,20,40,0,20,80,-90,2
scenario44,1,20,0.8,60,1,0,40,60,1,80,20,-90,2
scenario45,0,0,0.8,0,2,0,20,20,0,0,20,-60,2
scenario46,0,20,0.8,100,3,60,80,20,0,100,60,60,1
scenario47,2,20,0.8,60,3,80,60,100,0,80,40,-90,1
scenario48,0,0,0.4,60,3,40,100,100,0,40,0,90,1
scenario49,2,100,0.1,20,1,60,60,60,1,0,80,0,1
scenario50,2,20,0.4,20,2,0,40,60,2,100,0,90,0
scenario51,0,0,0.4,0,1,60,20,0,1,40,0,-30,2
scenario52,2,80,0.6,0,2,0,100,60,2,0,100,60,0
scenario53,2,40,0.6,60,2,40,60,80,2,20,100,0,0
scenario54,1,60,1,80,1,20,60,40,1,20,60,30,2
scenario55,0,0,0.6,20,3,80,80,40,0,100,80,-90,1
scenario56,2,20,1,20,2,0,100,60,2,100,100,-30,0
scenario57,2,0,0.8,60,0,40,20,80,2,80,0,-60,1
scenario58,1,60,0.6,80,3,20,60,40,1,100,100,90,0
scenario59,0,60,0.6,40,2,0,60,60,0,80,100,-30,2
scenario60,2,0,0.2,20,2,100,100,100,2,100,80,90,0
scenario61,1,20,0.1,60,1,80,20,80,1,80,100,-30,2
scenario62,1,20,0.6,60,2,80,60,100,2,40,80,-60,0
scenario63,2,60,0.8,100,1,80,100,0,1,20,0,60,1
scenario64,2,60,0.6,60,0,100,60,60,2,80,100,60,1
scenario65,2,40,0.8,100,2,20,20,60,2,60,40,60,0
scenario66,1,80,0.8,100,1,60,80,40,1,80,0,-60,2
scenario67,0,80,1,100,2,80,100,0,2,40,100,30,2
scenario68,2,60,0.1,0,2,100,0,40,2,60,60,-90,0
scenario69,0,80,0.4,60,1,0,60,0,1,0,100,30,2
scenario70,2,0,0.6,80,2,0,0,80,2,40,0,-90,0
scenario71,0,40,0.6,20,1,0,20,40,1,100,60,-30,2
scenario72,2,60,0.6,100,2,40,80,100,2,80,20,60,0
scenario73,1,60,0.8,0,1,0,80,40,1,40,60,30,2
scenario74,2,40,1,100,2,100,0,40,2,100,40,0,0
