Row,z_1,z_2
bnd_pnt_1,-3.66249131407744,3.12868997239152
bnd_pnt_2,-2.96551653352097,3.40794313386164
bnd_pnt_3,-2.79409783040522,3.02754613602661
bnd_pnt_4,-2.17332472825697,2.64431002498665
bnd_pnt_5,-2.12106629372965,2.51113287685785
bnd_pnt_6,-1.5632605156004,2.1335467286016
bnd_pnt_7,-0.981219513163401,1.37575867470919
bnd_pnt_8,-1.31624978018727,1.3344193600693
bnd_pnt_9,-1.78898686738378,0.908707487268726
bnd_pnt_10,-1.89212479865319,0.500740402323112
bnd_pnt_11,-2.24849977070508,0.430827640737084
bnd_pnt_12,-2.35621378338403,0.483392453782332
bnd_pnt_13,-2.48724396211562,0.781686324299403
bnd_pnt_14,-3.16635945810041,1.08009348331723
bnd_pnt_15,-2.76050196714382,1.63642907955079
bnd_pnt_16,-2.74365517769581,2.33615026444176
bnd_pnt_17,NaN,NaN
bnd_pnt_18,-2.24849977070508,0.430827640737084
bnd_pnt_19,-2.08018211274818,-0.698430635662285
bnd_pnt_20,-1.79109362192748,-0.828083433378275
bnd_pnt_21,-1.08628721221901,-0.959786897353791
bnd_pnt_22,-0.23901734712831,-1.51815160426613
bnd_pnt_23,0.233466533965889,-1.70213682986349
bnd_pnt_24,0.610898204181669,-1.97950030748495
bnd_pnt_25,1.32235649433196,-1.2650662546618
bnd_pnt_26,1.08590810549867,-0.903469370117656
bnd_pnt_27,1.14840398799836,-0.730917382763329
bnd_pnt_28,1.057972206735,-0.139314658077045
bnd_pnt_29,1.40459400653973,0.107128239028075
bnd_pnt_30,1.6205824715141,0.573020282051574
bnd_pnt_31,2.66853329538012,-0.00686748707301036
bnd_pnt_32,2.82912005262494,-0.00796963123788857
bnd_pnt_33,3.24723895932293,-0.311139445887424
bnd_pnt_34,3.50901745094754,-0.655642842400044
bnd_pnt_35,3.63854164226449,-1.16722497083251
bnd_pnt_36,3.05952989654426,-1.86574732350534
bnd_pnt_37,3.12969498090368,-2.27908300675726
bnd_pnt_38,2.64521232214979,-2.2466139782549
bnd_pnt_39,2.272338073788,-1.84325112517638
bnd_pnt_40,1.36249758300282,-2.41236085002723
bnd_pnt_41,1.29047674030135,-2.68057215433448
bnd_pnt_42,0.882727988480063,-2.52900957696332
bnd_pnt_43,0.350055749898226,-2.15153196054998
bnd_pnt_44,-0.469952716400456,-2.66534604115876
bnd_pnt_45,-0.800157255075359,-3.06326800264729
bnd_pnt_46,-1.55732272453045,-2.58993495231581
bnd_pnt_47,-1.93797267494024,-2.51661839308983
bnd_pnt_48,-2.33287891313565,-2.13823027592763
bnd_pnt_49,-2.54939520915352,-1.6427365592923
bnd_pnt_50,-2.4450370619867,-1.38770374251539
bnd_pnt_51,NaN,NaN
bnd_pnt_52,-1.83159382490582,4.33713720094816
bnd_pnt_53,-1.66285687316509,4.45741436432061
bnd_pnt_54,-1.29869181918479,4.39543986299946
bnd_pnt_55,-1.032125757193,4.07681549811311
bnd_pnt_56,-0.845869945150621,3.98959810204312
bnd_pnt_57,-0.566522306033103,4.01091717924309
bnd_pnt_58,-0.423260400559089,3.76157754362804
bnd_pnt_59,-0.237218008041809,3.69294326449025
bnd_pnt_60,-0.128422891012767,3.26265519657944
bnd_pnt_61,0.213906510870292,3.19124071748423
bnd_pnt_62,-0.00591852019781059,2.97387826037422
bnd_pnt_63,-0.229673345338131,3.26785808315236
bnd_pnt_64,-0.627063461375153,3.26448696225093
bnd_pnt_65,-0.817143329216486,3.38728844756254
bnd_pnt_66,-1.44732789240876,3.49820210037616
bnd_pnt_67,-1.48391030680782,3.91155174742457
bnd_pnt_68,-1.80495918521815,4.00935021676492
bnd_pnt_69,NaN,NaN
bnd_pnt_70,0.668917604750436,2.90019424494978
bnd_pnt_71,0.213906510870292,3.19124071748423
bnd_pnt_72,0.706057035242676,3.01631398655716
bnd_pnt_73,0.880781528079283,3.13557583933994
bnd_pnt_74,1.40411938446912,2.69882297118661
bnd_pnt_75,1.7825134676871,2.5045197755197
bnd_pnt_76,2.30246708577666,1.99975114512329
bnd_pnt_77,1.81390873026676,1.78412220802462
bnd_pnt_78,1.52086505379359,2.1885240506091
bnd_pnt_79,1.16299453807849,2.4115914063694
bnd_pnt_80,0.734627170666079,2.49776439178597
