instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario1,c4,0,40,0.6,60,3,0,20,60,0,80,60,-90,1,0,1.3264710512225395,0
scenario2,c4,0,60,1.0,100,3,60,60,0,0,0,60,30,1,0,2.060966932917952,0
scenario3,c1,1,0,0.2,0,2,0,40,80,2,0,60,60,0,0,2.928401694409701,0
scenario4,c1,2,20,0.4,100,0,80,60,20,2,60,20,-30,1,0,4.795328433999647,0
scenario5,c2,1,0,0.6,100,1,40,100,40,1,100,100,60,2,0,3.694221586719016,0
scenario6,c4,2,60,0.6,60,3,80,40,80,0,40,80,90,1,0,3.825755654789909,0
scenario7,c2,1,80,0.6,100,1,40,100,100,1,20,40,60,2,0,4.8751766703327934,0
scenario8,c2,0,40,0.4,0,1,60,20,100,1,80,60,0,2,0,2.967157178871195,0
scenario9,c4,0,0,0.6,80,2,20,20,20,0,80,80,90,2,0,14.600992295991851,0
scenario10,c2,1,80,0.2,60,1,80,40,0,1,100,100,60,2,0,3.434136397030356,0
scenario11,c1,2,40,0.6,20,2,60,60,80,2,0,80,30,0,0,2.5656267712747187,0
scenario12,c4,0,80,0.1,40,3,80,40,80,0,0,60,30,1,0,2.334093193967488,0
scenario13,c4,0,0,0.1,40,3,20,80,80,0,80,0,90,1,0,1.8195787209226,0
scenario14,c4,0,20,0.4,80,3,40,60,0,0,0,20,-30,1,0,2.66509276055576,0
scenario15,c4,0,20,0.6,100,2,80,20,40,0,40,100,60,2,0,1.98567282313783,0
scenario16,c2,1,60,0.4,20,1,40,0,60,1,0,40,-30,2,0,3.490718876246035,0
scenario17,c1,2,20,0.2,20,2,0,80,60,2,60,0,-90,0,0,3.583479750239233,0
scenario18,c1,2,100,0.1,20,2,100,80,60,2,20,80,30,0,0,2.228034995436237,0
scenario19,c4,0,0,0.4,20,3,60,100,40,0,100,20,60,1,0,1.8022993222044923,0
scenario20,c4,0,20,0.8,40,3,100,40,80,0,40,20,0,1,0,2.087684828727672,0
