instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario1,c1,2,20,0.6,20,2,0,40,0,2,80,40,-60,0,0,3.0489952537787324,0
scenario2,c4,2,80,1.0,0,3,0,20,60,0,100,20,0,1,0,3.4244177380397787,0
scenario3,c2,1,0,0.8,40,3,0,100,0,1,0,100,90,0,0,2.971406984630378,0
scenario4,c4,0,20,0.2,40,3,80,80,20,0,100,100,60,1,0,2.9420472855350126,0
scenario5,c2,1,60,0.1,0,3,40,60,60,1,20,60,-90,0,0,3.13146244900145,0
scenario6,c1,2,100,0.4,20,1,60,60,100,1,60,0,30,1,0,1.164193183694646,0
scenario7,c2,1,80,0.6,100,1,60,80,20,1,100,40,-30,2,0,6.628089893221951,0
scenario8,c1,2,40,0.2,60,2,60,100,100,2,40,0,-60,0,0,3.3891385795533124,0
scenario9,c4,0,0,1.0,100,2,80,20,80,0,80,20,90,2,0,3.7823028989721568,0
scenario10,c2,0,0,0.6,20,1,20,100,0,1,60,100,-90,2,0,3.153521943979749,0
scenario11,c1,1,0,0.8,80,2,60,60,20,2,100,40,60,0,0,2.2541574638025312,0
scenario12,c4,0,20,0.6,0,3,0,0,60,0,0,0,30,1,0,1.7881917292107348,0
scenario13,c1,2,100,0.1,60,0,60,80,20,2,20,60,60,1,0,3.4617047913956567,0
scenario14,c1,1,60,0.1,80,2,100,60,60,2,20,80,-30,0,0,2.187361687001535,0
scenario15,c4,0,80,0.1,60,2,20,80,80,0,0,100,-60,2,0,2.1319637647688534,0
scenario16,c4,0,100,0.4,100,2,80,0,60,0,20,60,90,2,0,3.565880924174984,0
scenario17,c1,2,20,0.1,0,1,20,40,40,1,100,100,-90,1,1,0.0,1
scenario18,c1,1,100,0.4,40,2,60,20,100,2,100,40,60,0,0,2.905281113539171,0
scenario19,c2,1,40,0.1,20,3,100,60,60,1,40,80,90,0,0,2.548876750727644,0
scenario20,c4,0,60,0.8,60,2,100,100,60,2,40,20,60,2,0,0.9024534631394816,0
scenario21,c2,0,40,1.0,40,1,40,20,40,1,60,60,-30,2,0,2.4938752383960505,0
scenario22,c1,2,100,0.8,20,2,100,20,20,2,80,80,30,0,0,3.2420010531597376,0
scenario23,c4,0,40,0.2,40,2,40,40,0,2,80,0,-30,2,0,0.9208541609244836,0
scenario24,c4,2,20,0.2,100,3,20,0,20,0,40,100,0,1,0,4.642653608007264,0
scenario25,c2,1,40,0.2,0,3,100,20,20,0,20,40,30,0,0,973.2010698688129,0
scenario26,c4,0,80,1.0,100,2,40,80,40,2,20,80,-90,2,0,1.0103163158901474,0
scenario27,c1,2,80,0.8,80,1,60,80,80,1,80,20,-90,1,0,0.9689036947186336,0
scenario28,c4,0,100,0.6,60,3,0,100,100,0,20,100,0,1,0,2.444930750849827,0
scenario29,c1,2,0,0.4,80,2,80,0,100,2,0,60,-30,0,1,0.0,1
scenario30,c4,2,80,0.4,60,3,20,20,0,0,20,20,0,1,0,4.037372654920055,0
scenario31,c1,2,60,1.0,0,0,40,40,80,2,80,60,90,1,0,3.070266202712693,0
scenario32,c4,0,60,0.6,100,3,80,0,40,0,60,40,60,1,0,2.808682832096984,0
scenario33,c2,1,0,0.4,40,3,40,0,80,0,0,80,-90,0,0,1.869901155514499,0
scenario34,c2,0,0,1.0,60,1,80,100,0,1,0,0,30,2,0,3.5659891657220384,0
scenario35,c4,2,100,0.2,80,3,60,0,80,0,20,100,90,1,0,4.342546029243837,0
scenario36,c1,2,40,0.2,20,2,60,40,20,2,0,60,-30,0,1,0.0,1
scenario37,c1,1,80,0.1,100,2,20,0,60,2,60,0,90,0,0,2.0629830741432844,0
scenario38,c1,2,20,0.6,20,0,0,60,40,2,20,60,-30,1,0,3.143696515818259,0
scenario39,c2,0,100,0.6,40,1,60,80,60,1,100,40,-30,2,0,3.295129464011756,0
scenario40,c2,1,0,0.6,100,1,40,40,0,1,100,100,-60,2,0,2.9934850489269254,0
scenario41,c4,0,0,0.4,60,2,40,20,40,2,40,20,90,2,0,1.0562744058181497,0
scenario42,c4,0,0,0.6,40,2,60,80,40,2,20,40,30,2,1,0.0,1
scenario43,c2,1,40,0.1,0,3,20,80,80,0,60,100,30,0,0,1.676181397384189,0
scenario44,c2,1,40,1.0,40,3,60,20,100,1,100,60,-60,0,0,2.815372953827443,0
scenario45,c4,0,20,0.2,0,3,20,60,20,0,60,60,-90,1,0,2.589072861398275,0
scenario46,c4,0,60,0.1,0,2,40,20,100,0,20,20,60,2,0,2.809021498381882,0
scenario47,c4,2,80,0.1,40,3,20,80,0,0,0,60,-90,1,0,3.994335257127952,0
scenario48,c1,2,60,0.4,100,0,40,20,60,2,100,40,-30,1,0,3.187908748372419,0
scenario49,c4,0,80,0.8,100,2,80,0,60,0,40,20,60,2,0,3.588502827056375,0
scenario50,c1,2,100,1.0,20,2,0,80,80,2,0,20,-90,0,0,2.8799931184766727,0
scenario51,c4,0,20,1.0,60,2,60,60,40,2,40,100,-90,2,1,0.0,1
scenario52,c1,1,80,0.8,80,2,100,20,60,2,20,100,-30,0,0,1.919670304716168,0
scenario53,c2,0,80,0.4,20,1,100,40,80,1,20,20,60,2,0,3.902922265392936,0
scenario54,c2,1,80,0.8,80,3,0,100,20,1,40,100,0,0,0,3.999653931719229,0
scenario55,c4,0,0,0.8,40,3,20,0,20,0,60,60,-90,1,0,1.960960577093359,0
scenario56,c2,1,60,0.6,60,3,100,80,0,0,100,0,0,0,0,1.7318188672576564,0
scenario57,c4,2,100,0.2,80,3,80,100,100,0,80,0,90,1,0,4.290432915450589,0
scenario58,c4,2,20,0.4,0,3,60,40,40,0,40,100,0,1,0,3.86698977926465,0
