instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,0,40,0,60,40,-90,0,60,80,0.8,False,1.319,0
scenario2,1,40,0,20,20,-30,80,40,100,0.2,False,0.831,0
scenario3,0,0,60,0,80,0,0,0,40,1.0,False,1.364,0
scenario4,1,0,0,0,100,-60,20,0,40,0.6,False,0.979,0
scenario5,1,40,60,0,40,-30,80,60,20,0.8,False,0.848,0
scenario6,1,0,60,100,80,0,100,80,100,1.0,False,1.379,0
scenario7,1,80,100,60,40,30,0,100,20,1.0,False,0.779,0
scenario8,0,60,100,40,20,-30,40,80,60,0.1,False,1.377,0
scenario9,1,60,80,40,0,-60,80,0,100,0.4,False,0.907,0
scenario10,0,40,20,60,80,30,100,0,100,0.4,False,1.315,0
scenario11,1,100,100,20,80,0,20,20,80,0.6,False,0.85,0
scenario12,1,60,0,0,20,0,20,0,40,0.4,False,1.781,0
scenario13,1,80,100,60,40,30,0,100,20,1.0,False,2.116,0
scenario14,1,80,100,80,40,90,20,100,40,0.8,False,1.419,0
scenario15,1,100,80,60,40,30,20,100,40,1.0,False,0.861,0
scenario16,0,100,100,60,40,30,0,80,40,0.8,False,0.991,0
scenario17,0,100,80,0,20,30,0,100,20,0.6,False,1.378,0
scenario18,1,80,80,60,80,30,0,80,20,0.8,False,0.748,0
scenario19,1,100,100,20,60,0,0,100,40,1.0,False,0.655,0
scenario20,1,40,100,80,40,0,0,80,0,1.0,False,1.771,0
scenario21,1,80,20,60,20,30,0,80,0,0.6,False,0.9,0
scenario22,0,100,100,100,40,-90,20,80,0,1.0,False,1.37,0
scenario23,0,0,80,100,40,30,0,100,40,1.0,False,1.175,0
scenario24,1,100,80,60,20,-90,20,100,0,0.1,False,0.638,0
scenario25,1,100,80,60,20,-90,20,100,0,0.1,False,1.119,0
scenario26,0,100,100,100,20,-30,40,100,20,1.0,False,1.408,0
scenario27,1,20,80,40,60,30,0,80,20,1.0,False,0.819,0
scenario28,0,100,100,80,60,-90,20,60,0,1.0,False,1.502,0
scenario29,0,80,80,60,60,30,0,100,40,0.8,False,1.305,0
scenario30,0,0,0,40,60,0,0,40,40,0.8,False,1.471,0
scenario31,0,80,60,100,40,0,0,100,40,0.2,False,1.352,0
scenario32,0,80,0,80,0,30,20,80,0,0.2,False,1.379,0
scenario33,0,20,80,20,40,90,20,20,60,1.0,False,1.378,0
scenario34,0,80,100,80,40,60,0,80,20,0.8,False,1.382,0
scenario35,1,20,80,80,40,30,0,100,100,1.0,False,0.742,0
scenario36,1,80,100,80,40,0,0,80,0,1.0,False,1.414,0
scenario37,1,20,80,80,40,30,0,100,100,1.0,False,0.663,0
scenario38,0,80,60,100,20,90,0,100,40,0.2,False,1.369,0
scenario39,1,20,80,100,40,60,0,20,60,0.2,False,0.791,0
scenario40,1,0,80,40,80,0,80,80,40,1.0,False,0.934,0
scenario41,0,80,40,100,20,0,20,100,40,0.2,False,1.388,0
scenario42,0,40,40,80,40,30,0,100,80,1.0,False,0.921,0
scenario43,0,100,100,100,20,-30,20,80,0,1.0,False,1.401,0
scenario44,1,0,100,40,60,90,0,20,60,1.0,False,0.825,0
scenario45,1,20,100,40,0,90,20,20,60,1.0,False,0.728,0
scenario46,0,20,0,20,60,30,0,40,60,0.6,False,1.401,0
scenario47,0,40,100,40,60,0,0,20,20,1.0,False,1.354,0
scenario48,0,60,80,80,20,60,0,100,20,0.1,False,1.531,0
scenario49,1,20,80,80,40,30,0,100,100,1.0,False,0.564,0
scenario50,1,0,20,80,60,30,20,40,40,0.6,False,0.714,0
scenario51,1,0,100,20,60,90,20,80,40,1.0,False,0.827,0
scenario52,1,100,40,100,20,90,0,100,60,0.2,False,2.174,0
scenario53,0,80,100,100,0,60,0,40,40,0.1,False,1.411,0
scenario54,1,100,60,80,20,30,100,60,20,0.8,False,1.02,0
scenario55,0,0,80,60,100,-30,80,60,40,1.0,False,1.137,0
scenario56,1,20,100,20,0,90,20,20,60,0.8,False,1.591,0
scenario57,0,80,60,60,0,30,0,40,40,0.2,False,1.567,0
scenario58,1,20,100,20,60,60,0,20,20,1.0,False,1.833,0
scenario59,1,60,100,40,80,-30,0,0,20,0.8,False,1.826,0
scenario60,0,0,100,60,60,30,80,80,20,0.4,False,0.978,0
scenario61,1,20,80,80,40,30,0,100,100,1.0,False,0.655,0
scenario62,1,0,80,80,20,30,100,40,40,0.8,False,1.837,0
scenario63,1,0,80,80,60,0,60,80,0,0.2,False,1.213,0
scenario64,1,60,100,80,20,-60,0,0,40,0.6,False,1.087,0
scenario65,1,100,60,60,20,60,0,80,40,0.2,False,1.569,0
scenario66,0,0,100,80,100,30,80,60,0,0.6,False,0.967,0
scenario67,1,100,60,80,20,30,100,80,20,0.8,False,1.801,0
scenario68,1,100,100,20,80,90,0,0,20,0.8,False,0.819,0
scenario69,1,40,100,20,0,90,40,0,60,0.6,False,2.004,0
scenario70,0,60,80,80,20,90,0,20,40,0.2,False,1.386,0
scenario71,0,80,60,40,60,60,0,40,60,0.1,False,1.45,0
scenario72,1,0,100,80,40,30,0,100,100,0.8,False,0.691,0
scenario73,1,80,100,60,40,30,0,100,20,1.0,False,0.798,0
scenario74,0,60,100,20,40,-30,40,80,60,0.1,False,1.412,0
scenario75,1,40,60,20,40,-30,80,40,40,0.8,False,0.638,0
scenario76,1,20,80,80,40,30,0,100,100,1.0,False,0.579,0
scenario77,1,0,0,0,60,-60,40,20,20,0.6,False,0.635,0
scenario78,1,40,20,20,40,-30,80,40,100,0.4,False,0.962,0
scenario79,1,20,100,20,80,0,20,0,100,0.6,False,0.91,0
scenario80,0,20,60,0,40,-60,80,60,20,0.8,False,0.839,0
scenario81,1,40,60,0,40,-30,80,40,20,0.1,False,0.792,0
scenario82,1,100,0,20,0,-30,80,40,100,0.2,False,1.079,0
scenario83,0,40,20,60,40,-90,20,60,80,0.8,False,1.541,0
scenario84,0,40,0,60,60,-90,20,60,80,0.8,False,1.569,0
scenario85,1,20,80,80,40,30,0,100,100,1.0,False,1.608,0
scenario86,1,20,80,80,80,30,20,100,100,1.0,False,0.706,0
scenario87,1,20,60,80,40,30,0,100,100,1.0,False,0.674,0
scenario88,1,0,20,80,60,60,0,100,100,1.0,False,0.998,0
scenario89,1,40,60,80,20,30,0,100,100,1.0,False,0.645,0
scenario90,1,40,80,100,60,60,0,100,100,0.8,False,0.821,0
scenario91,1,40,60,100,40,60,20,100,100,0.8,False,1.733,0
scenario92,1,0,100,60,20,-90,0,100,80,0.1,False,1.01,0
scenario93,1,0,100,60,20,0,20,100,80,1.0,False,1.737,0
scenario94,0,20,60,100,40,30,20,20,100,1.0,False,1.022,0
scenario95,1,20,60,80,20,30,0,100,100,1.0,False,0.591,0
scenario96,1,100,80,0,40,30,0,100,100,0.8,False,0.797,0
