Row,timeofday,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,direction
scenario1,60,40,80,20,100,60,0.6,0,100,1
scenario2,-90,40,20,20,0,80,0.8,100,0,0
scenario3,90,60,100,0,0,80,0.2,100,0,0
scenario4,-90,60,60,40,0,0,0.8,0,100,1
scenario5,30,40,40,100,0,80,0.4,20,80,0
scenario6,30,20,60,40,100,40,0.6,100,0,1
scenario7,-90,20,20,40,100,40,0.4,20,80,0
scenario8,-60,20,80,0,0,100,0.2,20,80,0
scenario9,90,60,20,0,0,100,0.8,0,100,1
scenario10,30,0,40,0,0,0,0.6,0,100,0
scenario11,-60,80,100,0,100,40,0.6,0,100,1
scenario12,30,60,20,0,60,0,0.6,40,60,1
scenario13,-60,60,100,0,40,40,0.6,80,20,1
scenario14,30,60,100,20,20,40,0.8,40,60,0
scenario15,90,80,60,0,0,0,0.8,80,20,1
scenario16,-90,40,60,100,0,80,0.4,40,60,1
scenario17,-90,60,100,100,100,40,0.6,100,0,1
scenario18,0,20,60,40,0,80,0.2,100,0,1
scenario19,90,60,20,80,0,80,0.4,100,0,1
scenario20,0,20,60,100,100,40,0.6,40,60,0
scenario21,-90,20,20,0,100,40,0.6,80,20,1
scenario22,-30,20,60,20,0,0,0.8,100,0,0
scenario23,60,20,100,0,0,100,0.1,20,80,1
scenario24,60,20,20,0,0,80,0.1,80,20,0
scenario25,90,40,100,0,0,0,0.8,20,80,1
scenario26,-30,80,20,0,20,40,0.8,0,100,0
scenario27,-30,60,100,60,100,60,0.6,60,40,1
scenario28,90,60,40,80,80,40,0.6,40,60,1
scenario29,90,20,100,20,80,0,0.6,20,80,0
scenario30,-90,60,80,100,0,100,0.1,100,0,0
scenario31,-60,0,100,0,40,40,0.8,0,100,1
scenario32,-30,60,100,0,20,0,0.8,0,100,0
scenario33,-90,60,20,0,0,100,0.4,0,100,1
scenario34,0,20,20,20,0,100,0.8,20,80,1
scenario35,-30,80,20,20,100,40,0.6,0,100,1
scenario36,90,60,20,0,100,40,0.6,80,20,0
scenario37,0,20,20,20,80,60,0.6,20,80,0
scenario38,90,80,80,60,0,80,0.4,40,60,0
scenario39,-30,20,100,40,100,60,0.6,0,100,0
scenario40,90,40,40,20,40,40,0.6,0,100,0
scenario41,-90,60,100,0,0,100,0.1,80,20,0
scenario42,-30,80,100,0,0,100,0.1,0,100,1
scenario43,30,20,20,100,0,0,0.8,20,80,1
scenario44,-90,20,80,40,100,0,0.6,20,80,1
scenario45,-90,20,20,0,0,0,0.4,80,20,1
scenario46,0,40,20,0,100,100,0.6,80,20,0
scenario47,60,0,80,0,0,0,0.8,80,20,0
scenario48,-60,40,20,60,0,0,0.8,40,60,0
scenario49,90,60,100,20,60,40,0.6,60,40,1
scenario50,-60,20,100,60,60,40,0.6,100,0,0
scenario51,90,20,20,20,20,0,0.8,100,0,0
scenario52,-60,20,40,20,40,40,0.8,40,60,1
scenario53,0,60,20,20,40,40,0.8,20,0,0
scenario54,-90,40,100,20,20,40,0.8,40,60,0
scenario55,-30,20,20,40,80,40,0.6,100,0,0
scenario56,60,60,20,0,0,0,0.4,0,100,1
scenario57,90,20,40,40,0,80,0.4,40,60,1
scenario58,0,60,100,0,0,100,0.6,80,20,0
scenario59,30,60,60,0,20,100,0.8,0,100,0
scenario60,30,20,80,20,40,0,0.8,0,100,1
scenario61,-30,60,20,0,0,100,0.2,80,20,1
scenario62,-30,60,20,40,0,80,0.4,40,60,0
scenario63,-60,0,80,0,0,80,0.4,80,20,1
scenario64,-90,60,100,40,100,40,0.6,40,60,0
scenario65,-30,20,40,0,0,0,0.2,0,100,1
scenario66,30,20,20,0,40,40,0.8,80,20,1
scenario67,90,20,100,80,80,40,0.6,100,0,0
scenario68,30,40,100,20,100,40,0.6,40,60,0
scenario69,30,40,60,40,20,0,0.8,100,0,1
scenario70,60,60,100,100,0,80,0.4,100,0,0
scenario71,60,60,20,40,100,0,0.6,20,80,0
scenario72,-90,40,20,60,0,0,0.8,100,0,0
scenario73,90,40,20,40,0,0,0.8,40,60,0
scenario74,-90,20,80,0,40,0,0.8,0,100,0
scenario75,-60,20,40,20,100,100,0.1,40,60,1
scenario76,0,80,80,40,60,40,0.6,100,0,0
scenario77,-60,0,80,100,0,100,0.4,100,0,1
scenario78,60,0,100,0,20,40,0.8,0,100,0
scenario79,-60,20,20,0,80,0,0.6,0,100,1
scenario80,90,80,20,0,80,40,0.6,0,100,1
scenario81,90,60,80,20,60,40,0.6,100,0,0
scenario82,-30,20,60,40,80,0,0.6,20,80,0
scenario83,-30,20,100,40,0,0,0.8,20,80,1
scenario84,-90,20,80,0,80,60,0.6,80,20,0
scenario85,30,40,40,20,60,100,0.6,40,60,1
scenario86,-90,20,20,0,0,60,0.1,0,100,0
scenario87,-30,0,100,0,0,0,0.8,80,20,1
scenario88,-30,60,100,60,0,80,0.4,100,0,0
scenario89,30,20,80,0,40,60,0.6,100,0,0
scenario90,-60,80,40,0,0,0,0.8,80,20,0
scenario91,-60,60,80,0,80,100,0.1,0,100,0
scenario92,-90,40,100,40,0,80,0.6,0,100,1
scenario93,0,80,20,0,0,0,0.8,80,20,1
scenario94,90,60,100,0,0,80,0.8,0,100,0
scenario95,-60,80,40,0,60,60,0.6,80,20,0
scenario96,-30,40,80,40,0,80,0.4,40,60,1
scenario97,30,80,60,0,0,80,0.8,80,20,1
scenario98,0,40,20,20,40,40,0.6,0,100,1
scenario99,30,80,100,0,100,40,0.4,80,20,1
scenario100,90,20,40,40,60,40,0.6,100,0,1
scenario101,-30,60,20,100,40,40,0.8,20,80,0
scenario102,60,20,100,40,20,40,0.8,40,60,1
scenario103,-90,40,40,0,60,60,0.6,0,100,1
scenario104,0,40,60,60,100,100,0.6,100,0,0
scenario105,-60,20,60,40,0,100,0.2,40,20,0
scenario106,-30,20,60,0,0,0,0.8,40,60,0
scenario107,30,40,40,100,0,80,0.4,80,20,0
scenario108,30,40,80,60,0,80,0.4,0,100,1
scenario109,30,60,20,0,0,0,0.8,40,60,0
scenario110,-90,40,40,80,60,40,0.6,40,60,1
scenario111,0,60,80,0,100,0,0.6,0,100,0
scenario112,90,20,20,40,100,40,0.6,0,100,1
scenario113,60,20,100,0,100,40,0.4,80,20,0
scenario114,-90,60,80,0,0,100,0.2,40,60,1
scenario115,-90,60,40,40,80,100,0.1,100,0,1
scenario116,0,80,80,0,60,40,0.6,0,100,1
scenario117,-90,60,40,20,40,40,0.6,100,0,1
scenario118,90,40,60,0,0,100,0.2,80,20,1
scenario119,30,80,100,0,0,0,0.8,80,20,1
scenario120,60,60,20,20,0,100,0.2,40,60,0
scenario121,90,20,60,0,0,60,0.1,0,100,1
scenario122,30,60,60,0,40,0,0.8,0,100,0
scenario123,-60,40,80,20,100,40,0.6,100,0,1
scenario124,0,20,100,0,0,80,0.4,40,60,0
scenario125,-90,80,40,20,60,40,0.6,20,80,0
scenario126,-90,60,20,0,0,80,0.4,40,60,0
scenario127,0,40,100,20,60,40,0.6,40,60,1
scenario128,-30,40,60,60,0,0,0.8,0,100,0
scenario129,30,20,20,40,100,40,0.6,40,60,1
scenario130,60,20,20,0,60,40,0.6,40,60,0
scenario131,90,60,80,60,100,40,0.6,20,80,0
scenario132,-90,40,80,0,0,0,0.8,40,60,1
