Row,direction,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario1,0,0,100,20,80,30,40,0,20,0.4
scenario2,0,0,100,0,20,-90,100,20,0,0.4
scenario3,1,20,100,80,80,-60,100,0,100,0.1
scenario4,0,100,100,20,80,30,100,60,20,0.4
scenario5,1,0,100,60,80,-60,60,40,100,0.4
scenario6,0,40,100,20,80,-90,40,0,20,0.2
scenario7,0,0,100,100,40,30,40,0,60,1
scenario8,1,20,100,0,80,30,20,80,0,0.4
scenario9,1,60,100,0,20,30,40,20,100,0.6
scenario10,0,80,100,0,80,-60,40,0,80,0.1
scenario11,0,0,100,80,100,30,100,0,0,0.1
scenario12,0,40,80,80,80,-90,100,20,20,0.4
scenario13,1,20,100,40,20,0,80,0,100,0.8
scenario14,1,20,100,60,60,-30,40,60,0,0.4
scenario15,0,0,100,20,40,-60,100,100,40,0.4
scenario16,0,100,80,20,80,30,40,60,20,0.2
scenario17,0,0,60,20,20,-90,100,20,20,0.4
scenario18,0,40,100,100,100,30,0,40,60,0.4
scenario19,0,60,40,0,80,-60,100,40,20,0.4
scenario20,1,100,20,60,40,30,100,0,100,0.4
scenario21,0,40,80,80,80,30,40,0,60,1
scenario22,0,20,100,20,0,60,100,60,0,0
scenario23,0,0,100,60,80,90,60,80,20,0.1
scenario24,0,0,60,0,80,30,60,80,0,0.6
scenario25,0,20,20,0,80,-90,20,0,0,0.1
scenario26,0,60,40,20,100,30,20,0,100,0.1
scenario27,0,80,60,100,80,0,80,0,80,0.4
scenario28,1,0,60,60,40,-90,40,40,100,0.2
scenario29,0,20,80,0,20,-60,60,0,20,0.2
scenario30,1,60,40,100,100,-60,40,80,0,0.1
scenario31,1,0,20,80,0,-60,40,100,100,0.4
scenario32,0,40,80,20,20,-60,100,20,0,0.1
scenario33,1,0,80,0,80,-30,40,0,40,0.6
scenario34,1,100,80,80,100,-90,100,40,20,0.2
scenario35,1,80,0,0,60,30,80,20,80,0.4
scenario36,1,100,60,20,80,30,100,80,40,0.8
scenario37,0,0,40,40,20,60,100,60,100,0.4
scenario38,1,20,0,0,80,90,0,100,100,0.4
