Row,z_1,z_2
scenario1,0.0321177647848909,0.218659970952685
scenario2,-0.0275970010039268,-0.101259511846749
scenario3,-0.360731568411934,0.0333088861723823
scenario4,-0.445545659934587,-0.312229809168657
scenario5,-0.029652171491136,-0.112270005995848
scenario6,-0.373927925181481,0.0270826848384526
scenario7,0.0321177647848909,0.218659970952685
scenario8,-0.423672557476293,-0.303894959515732
scenario9,-0.438525944317873,-0.295140776175388
scenario10,-0.381396818903156,0.0235587701046388
scenario11,0.0321177647848909,0.218659970952685
scenario12,-0.308504405601324,-0.415788666581668
scenario13,-0.360731568411934,0.0333088861723823
scenario14,-0.423266235612581,-0.30171810629071
scenario15,-0.0310775306531318,-0.119906311018324
scenario16,-0.320407374565611,-0.435181677789344
scenario17,0.204799747669471,-0.329595823364171
scenario18,-0.435697861457508,-0.30384729211008
scenario19,-0.120882385718978,-0.620264221615896
scenario20,0.000635503031415866,-0.354146238976744
scenario21,-0.248789639812506,-0.0958691837822345
scenario22,-0.423266235612581,-0.30171810629071
scenario23,-0.0308232242794678,-0.11854387473543
scenario24,0.20157352439393,-0.346880186252852
scenario25,0.0229149273534219,-0.343634536098797
scenario26,-0.0591124494429512,-0.289334244667364
scenario27,-0.149000070229759,-0.204777541412783
scenario28,0.202744577182262,-0.34060631751327
scenario29,-0.235593283042959,-0.0896429824483048
scenario30,-0.12205343850731,-0.626538090355478
scenario31,0.352568965112224,-0.496849733289504
scenario32,-0.308504405601324,-0.415788666581668
scenario33,0.157256050153866,0.0957081023319975
scenario34,-0.319642643640992,-0.431084662274784
scenario35,-0.0250088594401179,-0.705193289048441
scenario36,-0.213555233124901,-0.542742973911101
scenario37,0.289281826670349,-0.430479972801817
scenario38,-0.0078241385981007,-0.714089972152273
scenario39,-0.0528160966167721,-0.68488772989582
scenario40,-0.298788578480981,-0.428209264419314
scenario41,-0.315973299322999,-0.419312581315482
scenario42,-0.146414429855658,-0.203557604893377
scenario43,-0.320407374565611,-0.435181677789344
scenario44,-0.100747605114647,-0.60072354791846
scenario45,0.35399432427422,-0.489213428267027
scenario46,-0.248789639812506,-0.0958691837822345
scenario47,-0.213555233124901,-0.542742973911101
scenario48,0.288875504806637,-0.432656826026839
scenario49,-0.213148911261189,-0.540566120686079
scenario50,0.448220490036747,-0.190172605400962
scenario51,-0.206129195644476,-0.52347708769281
