instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,min_ttc,algo_safety
scenario1,0,0,100,20,80,30,40,0,20,0.4,0,1.3481903073140808,0
scenario2,0,0,100,0,20,-90,100,20,0,0.4,0,0.6940409755553174,0
scenario3,1,20,100,80,80,-60,100,0,100,0.1,0,1.1459237196265222,0
scenario4,0,100,100,20,80,30,100,60,20,0.4,0,1.356208957040978,0
scenario5,1,0,100,60,80,-60,60,40,100,0.4,0,0.9792565608327894,0
scenario6,0,40,100,20,80,-90,40,0,20,0.2,0,0.9329049696132824,0
scenario7,0,0,100,100,40,30,40,0,60,1.0,0,2.213246575489346,0
scenario8,1,20,100,0,80,30,20,80,0,0.4,0,2.797433010993592,0
scenario9,1,60,100,0,20,30,40,20,100,0.6,0,0.9634761122638524,0
scenario10,0,80,100,0,80,-60,40,0,80,0.1,0,0.9796097809079728,0
scenario11,0,0,100,80,100,30,100,0,0,0.1,0,1.3483759155980712,0
scenario12,0,40,80,80,80,-90,100,20,20,0.4,0,0.7328831997839877,0
scenario13,1,20,100,40,20,0,80,0,100,0.8,0,2.2402572339546536,0
scenario14,1,20,100,60,60,-30,40,60,0,0.4,0,0.8607157899133027,0
scenario15,0,0,100,20,40,-60,100,100,40,0.4,0,1.3936919058645774,0
scenario16,0,100,80,20,80,30,40,60,20,0.2,0,1.2879998204411094,0
scenario17,0,0,60,20,20,-90,100,20,20,0.4,0,0.7805843332320038,0
scenario18,0,40,100,100,100,30,0,40,60,0.4,0,0.961738404582604,0
scenario19,0,60,40,0,80,-60,100,40,20,0.4,0,1.7332732188986384,0
scenario20,1,100,20,60,40,30,100,0,100,0.4,0,0.8433818979199666,0
scenario21,0,40,80,80,80,30,40,0,60,1.0,0,0.4952045170708402,1
scenario22,0,20,100,20,0,60,100,60,0,0.0,0,1.378883367031157,0
scenario23,0,0,100,60,80,90,60,80,20,0.1,0,1.1123783490514378,0
scenario24,0,0,60,0,80,30,60,80,0,0.6,0,1.3498904041132196,0
scenario25,0,20,20,0,80,-90,20,0,0,0.1,0,1.4110257271823772,0
scenario26,0,60,40,20,100,30,20,0,100,0.1,0,1.9451432126749364,0
scenario27,0,80,60,100,80,0,80,0,80,0.4,0,1.3659082291778863,0
scenario28,1,0,60,60,40,-90,40,40,100,0.2,0,1.1232989879300483,0
scenario29,0,20,80,0,20,-60,60,0,20,0.2,0,0.95049849320978,0
scenario30,1,60,40,100,100,-60,40,80,0,0.1,0,0.8293340416844924,0
scenario31,1,0,20,80,0,-60,40,100,100,0.4,0,0.8395135344953943,0
scenario32,0,40,80,20,20,-60,100,20,0,0.1,0,0.8113628199877104,0
scenario33,1,0,80,0,80,-30,40,0,40,0.6,0,0.9939631862964028,0
scenario34,1,100,80,80,100,-90,100,40,20,0.2,0,1.9444267326003624,0
scenario35,1,80,0,0,60,30,80,20,80,0.4,0,2.3877798188060653,0
scenario36,1,100,60,20,80,30,100,80,40,0.8,0,1.0237423762536797,0
scenario37,0,0,40,40,20,60,100,60,100,0.4,0,1.3517022099862324,0
scenario38,1,20,0,0,80,90,0,100,100,0.4,0,0.8313525588160313,0
scenario39,0,40,20,60,40,-90,100,60,20,1.0,0,1.8040160239287344,0
scenario40,1,20,80,100,20,30,100,100,60,0.6,0,1.7818958114370158,0
scenario41,0,80,80,80,60,0,40,20,100,0.8,0,1.382375629723055,0
scenario42,0,60,60,40,60,30,100,0,20,0.8,0,1.3383622856668085,0
scenario43,0,100,80,20,40,-60,40,60,80,0.1,0,1.464272041724603,0
scenario44,0,20,40,20,80,-90,60,20,20,0.0,0,0.9166132631132108,0
scenario45,0,0,20,20,80,60,60,40,60,0.2,0,1.4306119080362194,0
scenario46,1,40,80,40,80,-60,0,0,0,0.1,0,0.8634792821773748,0
scenario47,0,100,60,80,20,-90,20,80,60,0.1,0,1.450348124386445,0
