Row,timeofday,direction,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario1,-60,1,1,0,100,80,80,80,80,80
scenario2,-30,0,1,60,60,0,40,60,20,20
scenario3,-90,1,0.2,20,80,100,60,20,40,20
scenario4,-90,0,0.6,40,0,60,20,40,100,0
scenario5,-90,0,0.4,80,40,20,100,0,0,100
scenario6,-60,0,0.8,100,20,40,0,100,60,60
scenario7,-30,1,0.4,100,0,100,20,80,60,40
scenario8,-90,1,1,60,40,80,60,100,100,60
scenario9,60,1,0.1,0,60,60,0,20,0,40
scenario10,-90,0,0.1,20,60,0,80,40,60,80
scenario11,0,1,0.8,0,100,40,20,60,40,100
scenario12,-60,1,0.1,40,20,20,40,0,40,0
scenario13,-60,1,0.2,80,0,80,100,40,0,20
scenario14,60,0,0.2,40,100,100,100,100,20,0
scenario15,30,0,0.6,60,80,40,60,0,80,40
scenario16,-30,0,0.8,100,80,20,100,20,100,80
scenario17,0,0,0.6,100,40,20,0,40,80,20
scenario18,90,1,0.6,80,80,60,40,80,20,60
scenario19,60,0,0.2,60,20,20,60,80,60,100
scenario20,60,1,0.4,100,80,0,80,60,0,0
scenario21,0,0,1,80,0,60,80,100,40,80
scenario22,90,0,1,20,20,0,20,20,80,100
scenario23,-30,0,0.4,20,100,80,0,40,40,60
scenario24,60,0,0.8,40,60,40,80,0,100,20
scenario25,90,0,0.8,60,40,100,60,60,0,80
scenario26,0,0,0.6,0,20,80,100,40,20,40
scenario27,-60,1,0.2,20,40,0,40,60,100,40
scenario28,-30,0,0.6,0,60,100,40,100,0,100
scenario29,30,1,0.4,40,60,80,20,20,0,60
scenario30,30,0,1,0,40,60,100,60,60,0
scenario31,60,1,0.8,80,0,40,40,40,80,80
scenario32,0,1,0.4,60,60,60,60,20,80,0
scenario33,90,1,0.4,0,100,20,20,100,60,20
scenario34,30,1,0.1,100,0,40,40,20,20,100
scenario35,-30,0,0.1,80,20,100,80,0,80,60
scenario36,-60,1,1,40,80,100,0,40,100,100
scenario37,90,1,0.1,20,60,40,100,80,100,0
scenario38,-90,1,0.8,80,100,0,0,0,20,40
scenario39,90,1,0.2,100,60,80,80,0,40,40
scenario40,90,1,0.6,40,0,20,0,60,20,80
scenario41,0,0,0.2,0,0,0,40,0,60,60
scenario42,30,1,0.2,40,40,0,0,80,40,80
scenario43,-90,0,0.1,0,20,60,60,60,80,20
scenario44,-30,1,0.2,20,40,40,20,0,0,80
scenario45,-60,0,0.6,80,100,80,60,20,100,0
scenario46,-90,0,0.1,100,80,0,60,100,20,40
scenario47,-90,1,1,60,100,40,20,80,0,40
scenario48,30,1,0.8,20,100,60,20,80,20,0
scenario49,60,0,0.1,60,40,80,80,20,60,100
scenario50,-60,0,0.4,60,60,20,100,40,20,60
scenario51,-30,1,1,40,80,20,60,40,60,40
scenario52,0,1,0.1,0,80,60,20,0,100,0
scenario53,-30,1,0.2,100,100,60,0,100,80,0
scenario54,30,1,0.4,20,20,20,80,100,100,20
scenario55,0,1,0.4,20,20,80,40,80,0,80
scenario56,60,1,0.6,60,0,0,100,60,40,60
scenario57,60,0,0.6,20,0,80,80,80,20,20
scenario58,0,0,0.1,40,100,100,100,60,80,100
scenario59,-90,1,0.6,80,100,80,40,60,60,100
scenario60,30,0,0.2,80,40,60,20,40,20,100
scenario61,30,0,1,100,0,100,60,0,80,60
scenario62,60,0,1,80,80,80,20,0,100,20
scenario63,90,1,0.4,80,60,40,20,40,60,40
scenario64,-60,1,0.2,0,40,60,20,80,60,100
scenario65,90,1,0.8,60,40,80,0,80,60,100
