instances,feature_timeofday,feature_direction,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,run_duration,algo_safety
scenario1,-60,1,1.0,0,100,80,80,80,80,80,0,1.5028609186889077,161.7891902923584,0
scenario2,-30,0,1.0,60,60,0,40,60,20,20,0,0.82973831175701,98.40603709220886,0
scenario3,-90,1,0.2,20,80,100,60,20,40,20,0,0.7764458311282025,147.3920066356659,0
scenario4,-90,0,0.6,40,0,60,20,40,100,0,0,1.3887673606162745,82.20387697219849,0
scenario5,-90,0,0.4,80,40,20,100,0,0,100,0,1.375297125985485,82.15904474258423,0
scenario6,-60,0,0.8,100,20,40,0,100,60,60,0,0.9188480883825734,109.89321827888487,0
scenario7,-30,1,0.4,100,0,100,20,80,60,40,0,0.9486742410214504,96.81335282325745,0
scenario8,-90,1,1.0,60,40,80,60,100,100,60,0,0.9661893346622702,105.83162117004396,0
scenario9,60,1,0.1,0,60,60,0,20,0,40,0,1.6157339718845678,169.61410522460938,0
scenario10,-90,0,0.1,20,60,0,80,40,60,80,0,0.9055231480931846,101.9031822681427,0
scenario11,0,1,0.8,0,100,40,20,60,40,100,0,1.922305076862851,173.12890648841858,0
scenario12,-60,1,0.1,40,20,20,40,0,40,0,0,0.8421215282051614,100.45897316932678,0
scenario13,-60,1,0.2,80,0,80,100,40,0,20,0,2.286736153940947,116.39651298522948,0
scenario14,60,0,0.2,40,100,100,100,100,20,0,0,1.362837576466754,79.07524061203003,0
scenario15,30,0,0.6,60,80,40,60,0,80,40,0,1.5526293360882593,78.85115838050842,0
scenario16,-30,0,0.8,100,80,20,100,20,100,80,0,0.7472390615612279,183.0107638835907,0
scenario17,0,0,0.6,100,40,20,0,40,80,20,0,1.437761559118855,81.90539789199829,0
scenario18,90,1,0.6,80,80,60,40,80,20,60,0,0.7669417284173401,98.17221879959106,0
scenario19,60,0,0.2,60,20,20,60,80,60,100,0,1.5187015936571953,77.55334377288818,0
scenario20,60,1,0.4,100,80,0,80,60,0,0,0,2.180101047949438,167.4271755218506,0
scenario21,0,0,1.0,80,0,60,80,100,40,80,0,1.4978460798368278,80.10188794136047,0
scenario22,90,0,1.0,20,20,0,20,20,80,100,0,1.989140668454088,80.76741528511047,0
scenario23,-30,0,0.4,20,100,80,0,40,40,60,0,1.4144936876367709,81.9007499217987,0
scenario24,60,0,0.8,40,60,40,80,0,100,20,0,1.336617948956737,79.13598203659058,0
scenario25,90,0,0.8,60,40,100,60,60,0,80,0,1.461515184595539,78.09545660018921,0
scenario26,0,0,0.6,0,20,80,100,40,20,40,0,1.5395947892428847,79.71598196029663,0
scenario27,-60,1,0.2,20,40,0,40,60,100,40,0,0.8445451053589713,98.42930698394775,0
scenario28,-30,0,0.6,0,60,100,40,100,0,100,0,1.363550406105211,82.96411204338074,0
scenario29,30,1,0.4,40,60,80,20,20,0,60,0,0.938428491314738,91.2328667640686,0
scenario30,30,0,1.0,0,40,60,100,60,60,0,0,1.1091945252798132,87.9587779045105,0
scenario31,60,1,0.8,80,0,40,40,40,80,80,0,1.6981453212215891,105.35627627372742,0
scenario32,0,1,0.4,60,60,60,60,20,80,0,0,2.188118282564416,115.24373197555542,0
scenario33,90,1,0.4,0,100,20,20,100,60,20,0,1.1168585431764897,172.23291015625,0
