Row,direction,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario1,1,20,60,100,0,-90,80,0,40,0.8
scenario2,0,80,20,0,0,0,60,0,20,0.1
scenario3,1,0,80,0,20,60,100,80,0,0.8
scenario4,1,0,20,0,80,90,20,40,60,0.2
scenario5,0,80,40,80,100,-60,0,80,80,1
scenario6,0,40,0,80,100,-90,80,0,80,0.2
scenario7,1,100,80,60,40,0,80,60,40,0.4
scenario8,0,20,100,20,0,30,40,80,60,0.4
scenario9,1,40,80,0,0,30,60,20,40,0.2
scenario10,1,60,0,100,0,90,80,80,40,0.4
scenario11,1,80,60,80,60,-90,0,40,60,1
scenario12,0,0,100,100,40,60,80,100,60,0.4
scenario13,1,100,40,0,60,-30,20,80,0,0.6
scenario14,0,20,40,20,100,-60,60,60,60,0.1
scenario15,0,60,60,80,40,-60,60,80,40,1
scenario16,1,40,100,60,20,-60,0,20,20,0.2
scenario17,0,0,60,80,20,-30,40,0,20,0.6
scenario18,1,80,80,40,20,60,80,80,100,1
scenario19,0,60,100,80,60,0,60,60,0,0.6
scenario20,1,0,20,0,20,0,20,0,40,0.8
scenario21,0,0,0,80,20,30,0,40,80,0.1
scenario22,0,20,80,60,20,60,40,40,80,0.4
scenario23,1,0,0,60,60,0,60,40,0,0.2
scenario24,0,100,40,100,40,0,100,20,80,0.1
scenario25,0,80,40,20,100,30,0,80,40,1
scenario26,0,100,40,80,40,-60,40,20,80,0.8
scenario27,1,100,20,80,20,90,20,60,100,0.2
scenario28,0,80,60,40,100,-90,0,40,60,0.4
scenario29,0,100,80,40,60,90,100,40,40,0.1
scenario30,0,0,20,60,20,-30,20,60,80,0.8
scenario31,0,60,100,40,100,-90,100,0,60,1
scenario32,0,60,20,60,100,-30,0,100,60,0.6
scenario33,1,100,0,100,20,-60,20,0,20,0.8
scenario34,1,100,20,80,80,0,100,40,20,0.8
scenario35,0,0,0,100,100,-90,80,100,20,0.6
scenario36,0,20,0,40,20,-30,80,20,80,0.4
scenario37,1,80,60,20,0,60,40,60,100,0.8
scenario38,1,80,20,80,20,30,80,0,60,0.2
scenario39,0,20,20,20,60,30,100,0,80,0.1
scenario40,1,100,80,80,80,0,0,80,0,0.2
scenario41,0,40,0,0,80,0,80,0,0,0.6
scenario42,1,80,80,80,80,-60,100,40,60,0.8
scenario43,1,80,20,100,80,-30,80,20,60,0.2
scenario44,1,0,60,60,40,-90,100,20,60,0.1
scenario45,0,100,40,0,20,60,100,100,40,0.2
scenario46,1,20,60,20,100,-90,60,60,20,1
scenario47,0,20,100,60,80,0,40,60,20,0.4
scenario48,1,0,100,40,0,-30,80,60,60,1
scenario49,0,60,40,80,80,-30,80,0,0,0.2
scenario50,0,0,40,40,0,90,20,40,20,0.6
scenario51,1,60,20,80,80,30,60,100,40,0.1
scenario52,1,0,100,20,60,-90,40,0,100,0.1
scenario53,1,0,80,20,0,-30,0,60,0,0.4
scenario54,1,40,80,20,0,30,100,20,0,0.2
scenario55,1,0,20,20,40,60,40,80,20,0.4
scenario56,1,80,100,20,40,-30,0,40,0,0.1
scenario57,0,100,80,80,20,30,60,20,60,0.1
scenario58,1,100,60,80,60,30,40,100,20,0.2
scenario59,1,20,100,100,100,-60,60,40,0,0.2
scenario60,0,0,100,100,40,0,20,0,0,1
scenario61,1,80,100,40,80,-60,100,40,0,0.6
scenario62,0,20,40,60,0,-30,40,40,80,0.4
scenario63,0,0,40,20,40,-60,0,40,60,0.1
scenario64,1,40,80,100,20,-60,80,0,0,0.4
scenario65,0,20,60,80,0,0,0,40,40,1
scenario66,0,0,80,80,20,60,100,80,60,0.4
scenario67,1,20,40,100,80,60,20,0,100,0.8
scenario68,1,100,100,80,20,30,80,80,0,1
scenario69,0,0,0,0,20,60,40,0,60,0.6
scenario70,0,100,0,100,80,60,20,60,40,0.1
scenario71,1,0,100,80,80,-90,100,80,0,1
scenario72,1,40,0,40,20,60,20,20,100,1
scenario73,1,60,60,0,60,60,40,0,80,1
scenario74,0,0,80,20,40,-30,100,100,100,0.4
scenario75,0,0,60,0,60,-30,100,0,100,0.2
scenario76,1,40,100,80,40,0,60,60,0,0.8
scenario77,0,40,0,60,0,-30,60,0,80,0.6
scenario78,1,60,20,20,0,30,0,20,100,0.8
scenario79,1,40,20,80,100,30,40,0,100,0.4
scenario80,0,60,60,60,0,-60,0,60,100,0.6
scenario81,1,40,100,20,60,-30,60,40,0,0.4
scenario82,0,40,40,60,0,-60,100,0,100,0.4
scenario83,1,40,0,60,60,90,80,0,40,0.6
scenario84,1,0,40,0,0,90,100,40,100,0.2
scenario85,0,40,60,80,40,-60,40,60,0,1
scenario86,1,80,80,20,100,-90,0,100,60,0.6
scenario87,0,100,40,60,0,30,20,20,60,0.6
scenario88,1,40,40,40,100,60,100,40,60,1
scenario89,0,40,60,80,100,0,0,20,100,0.2
scenario90,0,20,80,60,80,-60,60,40,60,0.6
scenario91,0,80,20,20,0,-60,40,80,0,0.4
scenario92,0,40,40,80,20,-90,100,60,60,0.6
scenario93,0,60,40,40,0,0,40,80,40,0.2
scenario94,0,0,40,20,60,0,100,60,60,0.4
scenario95,0,20,0,60,100,90,60,80,60,0.1
scenario96,0,60,80,60,60,-60,0,20,20,0.2
scenario97,0,100,100,100,60,-90,80,0,0,0.2
scenario98,0,80,0,100,100,-30,20,100,40,0.8
scenario99,1,100,0,0,0,-30,80,80,20,0.6
scenario100,1,20,80,0,0,30,40,60,40,0.4
scenario101,0,60,80,20,80,-60,0,60,100,1
scenario102,1,0,0,20,60,60,100,60,0,0.4
scenario103,0,100,60,40,20,0,0,100,40,1
scenario104,1,40,100,60,20,-90,40,100,80,0.1
scenario105,0,60,20,40,20,-60,60,20,40,0.4
scenario106,0,80,60,80,20,-60,60,60,100,0.1
scenario107,0,60,0,20,0,30,20,60,0,1
scenario108,0,20,60,60,100,-30,100,0,0,0.2
scenario109,1,20,20,100,80,60,60,0,40,1
scenario110,1,40,40,60,20,-90,0,0,40,0.1
scenario111,1,60,0,80,20,0,40,40,60,0.1
scenario112,0,100,60,20,40,30,60,20,40,0.4
scenario113,1,0,100,60,20,90,100,60,0,0.6
scenario114,0,60,0,0,40,-60,100,0,80,0.4
scenario115,1,40,40,80,0,-30,100,100,100,0.4
scenario116,1,40,0,100,80,90,100,0,0,0.2
scenario117,0,60,100,60,60,90,40,60,60,0.2
scenario118,1,20,0,100,40,90,100,20,80,0.2
scenario119,1,40,60,40,80,-90,80,20,60,0.2
scenario120,0,60,0,100,0,0,80,80,40,0.2
scenario121,1,0,0,40,80,-90,20,0,60,0.6
scenario122,1,20,20,20,60,0,80,100,20,1
scenario123,0,40,40,40,80,-30,40,40,100,0.4
scenario124,0,60,20,20,20,-60,20,40,80,0.2
scenario125,1,0,60,40,20,30,80,20,100,0.1
scenario126,1,0,0,0,60,90,20,60,40,0.1
scenario127,1,20,0,0,20,30,80,20,0,0.4
scenario128,0,60,80,40,100,-90,0,100,80,1
scenario129,1,20,0,40,40,-60,0,20,40,0.1
scenario130,0,0,40,60,100,-30,20,80,40,0.1
scenario131,0,0,60,80,60,-90,60,0,60,1
scenario132,0,100,80,0,100,-60,60,100,40,0.6
scenario133,1,100,40,60,0,-30,100,80,40,0.6
scenario134,1,0,40,100,20,0,100,60,20,0.1
scenario135,1,20,60,0,0,0,80,40,60,0.2
scenario136,0,0,0,80,20,60,60,0,80,0.8
scenario137,1,100,80,20,20,-30,40,20,80,0.2
scenario138,0,0,60,60,20,-30,20,0,60,0.4
scenario139,0,80,100,60,0,60,80,100,20,1
scenario140,0,80,60,80,20,90,60,20,80,0.2
scenario141,0,60,80,20,60,-30,0,20,20,1
scenario142,0,0,80,100,0,60,40,0,60,0.8
scenario143,1,80,100,40,100,0,40,80,20,0.6
scenario144,1,100,40,60,80,0,20,0,0,0.8
scenario145,1,60,20,60,80,90,60,20,60,0.6
scenario146,0,0,20,40,60,-30,0,60,80,0.8
scenario147,0,0,100,20,0,60,40,100,80,0.1
scenario148,0,80,60,100,20,-90,0,80,100,1
scenario149,0,20,20,60,40,90,20,100,100,0.2
scenario150,0,40,80,40,20,-30,80,40,60,0.2
scenario151,1,80,60,20,80,-30,80,80,20,0.4
scenario152,1,0,20,20,60,-60,100,40,100,0.4
scenario153,1,20,40,0,80,-90,100,40,60,0.8
scenario154,0,40,80,100,60,60,40,40,60,0.4
scenario155,0,40,40,0,60,-60,20,80,100,0.1
scenario156,1,80,40,40,100,90,80,100,40,1
scenario157,0,100,0,20,20,-30,80,100,60,0.6
scenario158,1,0,20,60,20,30,100,0,0,0.1
scenario159,0,80,40,40,0,30,40,80,20,0.6
scenario160,1,80,20,20,40,30,60,20,20,0.1
scenario161,0,100,20,60,0,-90,100,20,100,0.4
scenario162,1,40,0,0,100,90,80,40,80,1
scenario163,1,80,80,100,60,-60,20,0,0,0.1
scenario164,0,60,20,20,20,-90,0,0,80,0.8
scenario165,0,20,60,20,80,30,100,80,100,1
scenario166,1,80,20,80,40,-90,40,100,0,1
scenario167,1,100,80,0,60,90,60,100,60,0.1
scenario168,1,20,20,0,40,-60,100,0,0,0.4
scenario169,1,100,0,40,100,30,100,60,100,0.8
scenario170,1,40,100,20,0,30,0,20,40,0.2
scenario171,0,20,100,40,20,0,40,80,20,0.6
scenario172,1,60,80,100,0,90,0,60,100,0.2
scenario173,1,20,60,80,80,-90,80,20,20,0.1
scenario174,0,0,0,80,20,-30,20,100,0,0.1
scenario175,0,20,100,100,100,-90,100,0,100,0.1
scenario176,0,80,40,20,80,60,0,100,60,0.1
scenario177,0,20,20,0,0,-90,100,0,100,1
scenario178,1,60,0,20,0,90,100,20,40,0.4
scenario179,1,60,40,0,40,-30,40,0,100,0.4
scenario180,1,80,80,60,40,30,100,0,60,0.1
scenario181,1,80,0,40,60,60,0,80,80,0.2
scenario182,0,80,40,20,60,-90,80,20,40,0.1
scenario183,0,40,60,0,60,60,20,60,80,0.4
scenario184,1,80,20,40,20,60,20,60,20,0.1
scenario185,0,60,100,80,0,60,40,40,0,0.6
scenario186,1,100,0,60,100,-90,40,20,40,0.4
scenario187,1,80,80,20,60,60,20,60,20,0.8
scenario188,0,40,80,40,80,-60,60,100,80,1
scenario189,1,20,60,60,100,90,40,80,20,0.2
scenario190,1,60,100,100,20,30,20,40,40,1
scenario191,0,100,20,20,100,-30,80,80,40,0.2
scenario192,0,40,20,40,100,-90,20,100,0,0.2
scenario193,1,20,20,40,100,-30,60,40,20,0.1
scenario194,0,40,20,60,60,-90,0,60,60,1
scenario195,0,80,100,40,60,-90,20,40,80,1
scenario196,1,0,100,20,60,60,80,80,100,1
scenario197,1,20,100,100,100,90,100,100,80,0.2
scenario198,0,100,0,60,60,-30,40,100,100,0.1
scenario199,1,20,60,100,100,60,20,40,60,0.6
scenario200,1,0,80,60,80,60,100,20,100,0.4
scenario201,0,60,60,0,0,-30,80,20,20,1
scenario202,0,80,40,0,80,0,80,20,100,0.6
scenario203,0,100,40,80,40,0,100,60,20,1
scenario204,0,60,80,0,100,30,40,100,0,0.4
scenario205,1,60,60,0,0,-90,60,60,100,1
scenario206,1,80,40,0,20,-30,100,60,80,0.2
scenario207,1,60,20,20,20,90,0,100,20,0.6
scenario208,0,20,40,100,100,90,60,60,40,0.8
scenario209,0,60,40,20,40,60,60,100,40,0.6
scenario210,0,60,0,100,40,-30,20,100,40,0.4
scenario211,1,60,60,80,100,-90,100,40,20,0.4
scenario212,1,0,0,80,40,90,20,80,40,1
scenario213,0,100,0,20,0,60,40,40,80,0.1
scenario214,0,20,20,60,40,90,20,20,60,0.8
scenario215,0,80,100,80,0,60,80,100,40,0.2
scenario216,1,100,20,80,0,60,60,100,0,0.8
scenario217,0,40,60,20,20,0,60,80,0,0.6
scenario218,1,20,100,60,20,0,20,80,80,1
scenario219,0,20,40,60,100,30,60,100,40,0.6
scenario220,1,60,60,100,0,-60,100,40,100,1
scenario221,0,0,80,0,100,60,40,0,80,0.6
scenario222,1,20,0,20,100,0,100,20,40,0.1
