instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,1,20,60,100,0,-90,80,0,40,0.8,False,0.986,0
scenario2,0,80,20,0,0,0,60,0,20,0.1,False,1.307,0
scenario3,1,0,80,0,20,60,100,80,0,0.8,False,0.919,0
scenario4,1,0,20,0,80,90,20,40,60,0.2,False,1.61,0
scenario5,0,80,40,80,100,-60,0,80,80,1.0,False,1.377,0
scenario6,0,40,0,80,100,-90,80,0,80,0.2,False,1.366,0
scenario7,1,100,80,60,40,0,80,60,40,0.4,False,0.721,0
scenario8,0,20,100,20,0,30,40,80,60,0.4,False,1.571,0
scenario9,1,40,80,0,0,30,60,20,40,0.2,False,2.221,0
scenario10,1,60,0,100,0,90,80,80,40,0.4,False,1.47,0
scenario11,1,80,60,80,60,-90,0,40,60,1.0,False,2.035,0
scenario12,0,0,100,100,40,60,80,100,60,0.4,False,1.374,0
scenario13,1,100,40,0,60,-30,20,80,0,0.6,False,1.774,0
scenario14,0,20,40,20,100,-60,60,60,60,0.1,False,0.883,0
scenario15,0,60,60,80,40,-60,60,80,40,1.0,False,1.4,0
scenario16,1,40,100,60,20,-60,0,20,20,0.2,False,0.801,0
scenario17,0,0,60,80,20,-30,40,0,20,0.6,False,0.836,0
scenario18,1,80,80,40,20,60,80,80,100,1.0,False,1.572,0
scenario19,0,60,100,80,60,0,60,60,0,0.6,False,0.918,0
scenario20,1,0,20,0,20,0,20,0,40,0.8,False,0.898,0
scenario21,0,0,0,80,20,30,0,40,80,0.1,False,1.434,0
scenario22,0,20,80,60,20,60,40,40,80,0.4,False,1.353,0
scenario23,1,0,0,60,60,0,60,40,0,0.2,False,2.601,0
scenario24,0,100,40,100,40,0,100,20,80,0.1,False,1.336,0
scenario25,0,80,40,20,100,30,0,80,40,1.0,False,1.355,0
scenario26,0,100,40,80,40,-60,40,20,80,0.8,False,1.427,0
scenario27,1,100,20,80,20,90,20,60,100,0.2,False,0.812,0
scenario28,0,80,60,40,100,-90,0,40,60,0.4,False,1.565,0
scenario29,0,100,80,40,60,90,100,40,40,0.1,False,1.689,0
scenario30,0,0,20,60,20,-30,20,60,80,0.8,False,1.403,0
scenario31,0,60,100,40,100,-90,100,0,60,1.0,False,2.19,0
scenario32,0,60,20,60,100,-30,0,100,60,0.6,False,1.561,0
scenario33,1,100,0,100,20,-60,20,0,20,0.8,False,0.798,0
scenario34,1,100,20,80,80,0,100,40,20,0.8,False,1.992,0
