Row,direction,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario1,1,20,20,60,80,-30,40,100,80,0.4
scenario2,0,80,40,0,40,0,80,20,20,0.6
scenario3,1,100,80,60,80,30,20,40,20,0.2
scenario4,0,40,40,40,40,0,20,40,100,1
scenario5,1,0,20,40,100,30,20,60,100,0.6
scenario6,0,80,60,60,20,0,40,40,60,1
scenario7,1,60,60,80,100,30,0,80,20,0.2
scenario8,0,100,60,80,0,60,60,60,0,0.1
scenario9,0,60,60,40,100,-30,100,20,0,0.2
scenario10,1,100,20,80,60,-30,80,0,40,0.2
scenario11,1,60,0,0,20,-30,80,100,60,1
scenario12,0,20,0,100,20,90,60,60,60,0.1
scenario13,1,20,20,40,100,-30,100,20,60,0.8
scenario14,1,0,60,100,100,30,0,40,20,0.4
scenario15,0,20,100,60,40,90,80,80,0,0.8
scenario16,0,80,20,20,60,0,0,80,100,0.8
scenario17,0,80,60,0,60,30,100,20,100,0.8
scenario18,1,0,100,100,80,-30,0,0,0,0.4
scenario19,1,0,20,80,40,30,80,0,60,1
scenario20,0,80,40,60,0,-90,60,0,80,0.4
scenario21,1,0,80,100,80,-90,60,0,80,0.6
scenario22,1,60,40,80,40,-60,40,20,20,1
scenario23,0,100,20,100,100,-90,0,60,40,0.2
scenario24,0,0,20,80,80,30,0,40,100,0.6
scenario25,0,60,100,20,0,60,40,100,40,0.8
scenario26,0,40,80,40,0,-60,100,80,100,0.1
scenario27,1,0,100,20,20,30,20,0,20,0.2
scenario28,1,40,0,20,40,-90,20,60,20,0.6
scenario29,1,0,0,80,0,90,80,100,100,0.8
scenario30,0,100,40,100,0,0,100,100,80,0.1
scenario31,0,80,0,0,20,-60,100,40,60,0.6
scenario32,1,80,40,40,40,0,100,60,100,0.6
scenario33,0,60,100,20,0,90,40,40,80,0.1
scenario34,1,100,60,80,40,-60,20,40,80,0.4
scenario35,1,100,40,60,20,60,20,20,20,1
scenario36,0,100,40,20,0,-30,20,0,0,0.6
scenario37,1,20,80,20,20,60,80,60,40,0.4
scenario38,1,60,20,80,80,-60,20,100,40,0.8
scenario39,0,100,80,80,80,-90,20,60,80,0.8
scenario40,0,20,100,40,20,90,40,20,40,0.2
scenario41,0,20,100,20,100,-90,0,80,40,0.4
scenario42,0,20,100,60,40,90,60,20,0,0.2
scenario43,1,20,100,100,20,-30,100,100,40,0.6
scenario44,0,0,20,20,40,0,0,100,0,0.6
scenario45,1,40,100,20,0,-90,100,100,20,0.4
scenario46,0,80,40,60,100,90,20,0,0,0.8
scenario47,1,40,60,100,80,30,40,80,0,0.1
scenario48,0,80,40,20,100,-60,0,60,0,0.8
scenario49,0,60,80,80,0,-90,40,40,40,1
scenario50,1,100,100,20,0,60,100,100,100,0.4
scenario51,1,40,80,0,100,0,60,40,40,1
scenario52,1,80,100,40,40,0,60,40,100,0.4
scenario53,1,40,100,0,20,0,40,0,20,0.8
scenario54,0,100,60,0,80,30,40,0,60,0.8
scenario55,0,40,40,80,40,90,80,60,0,0.4
scenario56,1,0,40,80,0,-60,80,20,60,0.2
scenario57,1,0,80,40,100,0,60,0,20,0.8
scenario58,0,40,20,100,60,90,100,80,100,1
scenario59,1,80,80,60,80,-60,80,0,60,0.8
scenario60,0,40,40,0,60,-90,40,80,60,0.1
scenario61,1,60,100,100,60,-90,60,60,20,0.2
scenario62,0,20,40,100,0,-60,0,40,100,1
scenario63,1,80,60,100,100,-60,40,80,60,0.2
scenario64,0,20,20,100,60,-60,80,40,100,0.6
scenario65,0,100,100,60,0,-30,20,80,80,0.4
scenario66,1,0,0,100,80,60,0,20,60,0.8
scenario67,0,100,20,60,60,60,100,80,60,0.4
scenario68,0,0,100,40,40,0,40,80,40,0.6
scenario69,1,0,40,40,20,-60,100,100,40,0.1
scenario70,1,60,20,80,60,90,80,100,20,0.6
scenario71,1,40,60,0,100,-60,0,80,100,0.4
scenario72,0,60,60,0,100,-90,60,0,60,0.1
scenario73,1,80,80,0,60,-90,80,20,100,0.2
scenario74,0,80,20,20,60,30,100,80,20,0.2
scenario75,1,60,40,60,80,60,60,100,100,1
scenario76,0,40,20,60,40,60,80,0,80,0.6
scenario77,0,60,60,100,80,30,40,20,80,0.2
scenario78,1,20,20,80,80,60,20,20,0,1
scenario79,1,40,0,0,20,0,100,100,80,0.1
scenario80,0,20,80,40,20,-30,0,60,20,0.4
scenario81,0,60,0,80,100,60,60,20,100,0.4
scenario82,1,40,0,100,0,-30,40,20,20,1
scenario83,0,20,100,100,20,90,60,0,60,0.4
scenario84,1,100,60,20,60,0,20,20,0,1
scenario85,1,40,60,40,100,0,60,40,0,0.2
scenario86,0,80,80,0,100,90,60,60,40,0.8
scenario87,1,100,80,80,0,30,80,80,0,1
scenario88,0,60,40,20,0,60,20,60,20,0.2
scenario89,1,80,0,40,60,60,80,100,40,0.4
scenario90,0,60,40,0,20,-90,0,0,80,0.4
scenario91,1,20,20,0,100,90,0,80,100,0.8
scenario92,0,60,80,40,80,0,60,100,80,0.6
scenario93,0,0,60,40,20,-30,0,40,0,1
scenario94,1,0,40,0,0,-60,40,80,40,0.1
scenario95,1,80,80,20,40,-30,80,40,80,0.6
scenario96,0,0,100,40,100,30,40,20,40,0.2
scenario97,0,80,40,40,40,-30,40,60,40,0.6
scenario98,1,60,20,60,60,60,0,60,20,0.4
scenario99,0,40,0,20,60,-90,20,20,20,1
scenario100,1,0,60,0,60,-60,20,80,40,0.1
scenario101,0,40,20,60,40,-90,0,40,60,0.6
scenario102,1,40,0,80,0,-30,100,80,60,0.1
scenario103,1,100,80,40,40,90,100,40,0,0.6
scenario104,0,20,0,0,40,-60,60,60,0,1
scenario105,0,60,80,20,80,-60,20,100,100,0.1
scenario106,1,0,100,40,80,0,0,20,0,0.1
scenario107,0,100,60,80,0,-90,40,100,60,0.8
scenario108,0,0,0,100,20,90,100,80,20,1
scenario109,1,20,80,0,60,30,0,20,100,0.6
scenario110,1,40,0,60,0,-30,0,60,0,0.6
scenario111,0,60,20,60,20,60,20,0,0,0.6
scenario112,1,100,0,0,60,-30,100,80,60,0.1
scenario113,1,40,0,60,80,0,80,0,40,0.4
scenario114,0,40,60,80,60,90,40,100,60,1
scenario115,1,100,100,20,80,90,100,0,80,0.1
scenario116,0,20,0,100,20,90,100,0,100,0.4
scenario117,1,100,60,80,40,0,0,20,0,0.2
scenario118,0,0,80,0,0,-90,60,80,100,0.2
scenario119,0,20,0,0,40,-60,20,0,40,1
scenario120,1,80,0,100,20,-60,80,40,80,1
scenario121,1,60,100,60,60,90,20,80,20,0.8
scenario122,0,100,40,60,100,60,80,20,0,0.8
scenario123,1,40,60,40,40,60,40,60,80,1
scenario124,1,20,80,100,100,-60,100,0,60,0.2
scenario125,0,80,20,60,20,-90,0,100,80,0.4
scenario126,0,40,0,20,20,-60,60,0,20,1
scenario127,1,60,40,60,0,90,60,100,40,0.2
scenario128,0,80,60,0,80,90,100,80,80,0.8
scenario129,0,40,60,20,60,-90,20,100,40,0.1
scenario130,1,100,100,0,40,30,40,100,20,0.2
scenario131,0,80,80,20,20,0,80,80,100,0.2
scenario132,0,40,20,40,80,90,80,60,0,0.2
scenario133,1,80,0,60,80,-60,0,0,40,1
