instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,1,20,20,60,80,-30,40,100,80,0.4,False,1.099,0
scenario2,0,80,40,0,40,0,80,20,20,0.6,False,1.419,0
scenario3,1,100,80,60,80,30,20,40,20,0.2,False,0.73,0
scenario4,0,40,40,40,40,0,20,40,100,1.0,False,1.577,0
scenario5,1,0,20,40,100,30,20,60,100,0.6,False,0.722,0
scenario6,0,80,60,60,20,0,40,40,60,1.0,False,1.467,0
scenario7,1,60,60,80,100,30,0,80,20,0.2,False,0.646,0
scenario8,0,100,60,80,0,60,60,60,0,0.1,False,1.472,0
scenario9,0,60,60,40,100,-30,100,20,0,0.2,False,0.91,0
scenario10,1,100,20,80,60,-30,80,0,40,0.2,False,1.766,0
scenario11,1,60,0,0,20,-30,80,100,60,1.0,False,0.79,0
scenario12,0,20,0,100,20,90,60,60,60,0.1,False,1.35,0
scenario13,1,20,20,40,100,-30,100,20,60,0.8,False,1.897,0
scenario14,1,0,60,100,100,30,0,40,20,0.4,False,0.699,0
scenario15,0,20,100,60,40,90,80,80,0,0.8,False,0.983,0
scenario16,0,80,20,20,60,0,0,80,100,0.8,False,1.385,0
scenario17,0,80,60,0,60,30,100,20,100,0.8,False,1.34,0
scenario18,1,0,100,100,80,-30,0,0,0,0.4,False,0.876,0
scenario19,1,0,20,80,40,30,80,0,60,1.0,False,1.88,0
scenario20,0,80,40,60,0,-90,60,0,80,0.4,False,1.473,0
scenario21,1,0,80,100,80,-90,60,0,80,0.6,False,0.965,0
scenario22,1,60,40,80,40,-60,40,20,20,1.0,False,1.5,0
scenario23,0,100,20,100,100,-90,0,60,40,0.2,False,1.002,0
scenario24,0,0,20,80,80,30,0,40,100,0.6,False,1.169,0
scenario25,0,60,100,20,0,60,40,100,40,0.8,False,1.381,0
scenario26,0,40,80,40,0,-60,100,80,100,0.1,False,0.975,0
scenario27,1,0,100,20,20,30,20,0,20,0.2,False,0.887,0
scenario28,1,40,0,20,40,-90,20,60,20,0.6,False,1.434,0
scenario29,1,0,0,80,0,90,80,100,100,0.8,False,1.904,0
scenario30,0,100,40,100,0,0,100,100,80,0.1,False,1.454,0
scenario31,0,80,0,0,20,-60,100,40,60,0.6,False,1.089,0
scenario32,1,80,40,40,40,0,100,60,100,0.6,False,2.045,0
scenario33,0,60,100,20,0,90,40,40,80,0.1,False,1.559,0
scenario34,1,100,60,80,40,-60,20,40,80,0.4,False,1.751,0
scenario35,1,100,40,60,20,60,20,20,20,1.0,False,1.665,0
scenario36,0,100,40,20,0,-30,20,0,0,0.6,False,1.36,0
scenario37,1,20,80,20,20,60,80,60,40,0.4,False,1.872,0
scenario38,1,60,20,80,80,-60,20,100,40,0.8,False,0.833,0
scenario39,0,100,80,80,80,-90,20,60,80,0.8,False,1.554,0
scenario40,0,20,100,40,20,90,40,20,40,0.2,False,1.362,0
scenario41,0,20,100,20,100,-90,0,80,40,0.4,False,1.424,0
scenario42,0,20,100,60,40,90,60,20,0,0.2,False,1.366,0
scenario43,1,20,100,100,20,-30,100,100,40,0.6,False,0.873,0
scenario44,0,0,20,20,40,0,0,100,0,0.6,False,1.381,0
scenario45,1,40,100,20,0,-90,100,100,20,0.4,False,0.746,0
scenario46,0,80,40,60,100,90,20,0,0,0.8,False,1.442,0
scenario47,1,40,60,100,80,30,40,80,0,0.1,False,0.464,1
scenario48,0,80,40,20,100,-60,0,60,0,0.8,False,1.382,0
scenario49,0,60,80,80,0,-90,40,40,40,1.0,False,1.366,0
scenario50,1,100,100,20,0,60,100,100,100,0.4,False,1.657,0
scenario51,1,40,80,0,100,0,60,40,40,1.0,False,1.163,0
scenario52,1,80,100,40,40,0,60,40,100,0.4,False,1.817,0
scenario53,1,40,100,0,20,0,40,0,20,0.8,False,2.376,0
scenario54,0,100,60,0,80,30,40,0,60,0.8,False,1.366,0
scenario55,0,40,40,80,40,90,80,60,0,0.4,False,1.383,0
scenario56,1,0,40,80,0,-60,80,20,60,0.2,False,0.974,0
scenario57,1,0,80,40,100,0,60,0,20,0.8,False,1.839,0
scenario58,0,40,20,100,60,90,100,80,100,1.0,False,1.357,0
scenario59,1,80,80,60,80,-60,80,0,60,0.8,False,1.252,0
scenario60,0,40,40,0,60,-90,40,80,60,0.1,False,0.976,0
scenario61,1,60,100,100,60,-90,60,60,20,0.2,False,0.831,0
scenario62,0,20,40,100,0,-60,0,40,100,1.0,False,1.411,0
scenario63,1,80,60,100,100,-60,40,80,60,0.2,False,1.607,0
scenario64,0,20,20,100,60,-60,80,40,100,0.6,False,0.799,0
scenario65,0,100,100,60,0,-30,20,80,80,0.4,False,1.467,0
scenario66,1,0,0,100,80,60,0,20,60,0.8,False,1.706,0
scenario67,0,100,20,60,60,60,100,80,60,0.4,False,1.532,0
scenario68,0,0,100,40,40,0,40,80,40,0.6,False,1.71,0
scenario69,1,0,40,40,20,-60,100,100,40,0.1,False,0.863,0
scenario70,1,60,20,80,60,90,80,100,20,0.6,False,1.438,0
scenario71,1,40,60,0,100,-60,0,80,100,0.4,False,0.873,0
scenario72,0,60,60,0,100,-90,60,0,60,0.1,False,0.83,0
scenario73,1,80,80,0,60,-90,80,20,100,0.2,False,1.572,0
scenario74,0,80,20,20,60,30,100,80,20,0.2,False,1.371,0
scenario75,1,60,40,60,80,60,60,100,100,1.0,False,0.842,0
scenario76,0,40,20,60,40,60,80,0,80,0.6,False,1.356,0
scenario77,0,60,60,100,80,30,40,20,80,0.2,False,1.394,0
scenario78,1,20,20,80,80,60,20,20,0,1.0,False,2.167,0
scenario79,1,40,0,0,20,0,100,100,80,0.1,False,0.763,0
scenario80,0,20,80,40,20,-30,0,60,20,0.4,False,1.466,0
scenario81,0,60,0,80,100,60,60,20,100,0.4,False,1.316,0
scenario82,1,40,0,100,0,-30,40,20,20,1.0,False,0.917,0
scenario83,0,20,100,100,20,90,60,0,60,0.4,False,1.43,0
scenario84,1,100,60,20,60,0,20,20,0,1.0,False,1.948,0
scenario85,1,40,60,40,100,0,60,40,0,0.2,False,1.624,0
scenario86,0,80,80,0,100,90,60,60,40,0.8,False,1.353,0
scenario87,1,100,80,80,0,30,80,80,0,1.0,False,1.748,0
scenario88,0,60,40,20,0,60,20,60,20,0.2,False,1.368,0
scenario89,1,80,0,40,60,60,80,100,40,0.4,False,0.737,0
scenario90,0,60,40,0,20,-90,0,0,80,0.4,False,1.544,0
scenario91,1,20,20,0,100,90,0,80,100,0.8,False,1.432,0
scenario92,0,60,80,40,80,0,60,100,80,0.6,False,1.492,0
scenario93,0,0,60,40,20,-30,0,40,0,1.0,False,1.41,0
scenario94,1,0,40,0,0,-60,40,80,40,0.1,False,0.751,0
scenario95,1,80,80,20,40,-30,80,40,80,0.6,False,0.864,0
scenario96,0,0,100,40,100,30,40,20,40,0.2,False,1.025,0
scenario97,0,80,40,40,40,-30,40,60,40,0.6,False,1.395,0
scenario98,1,60,20,60,60,60,0,60,20,0.4,False,1.122,0
scenario99,0,40,0,20,60,-90,20,20,20,1.0,False,1.406,0
scenario100,1,0,60,0,60,-60,20,80,40,0.1,False,0.938,0
scenario101,0,40,20,60,40,-90,0,40,60,0.6,False,1.525,0
scenario102,1,40,0,80,0,-30,100,80,60,0.1,False,0.893,0
scenario103,1,100,80,40,40,90,100,40,0,0.6,False,1.979,0
scenario104,0,20,0,0,40,-60,60,60,0,1.0,False,1.107,0
scenario105,0,60,80,20,80,-60,20,100,100,0.1,False,0.958,0
scenario106,1,0,100,40,80,0,0,20,0,0.1,False,2.099,0
scenario107,0,100,60,80,0,-90,40,100,60,0.8,False,1.478,0
scenario108,0,0,0,100,20,90,100,80,20,1.0,False,1.352,0
scenario109,1,20,80,0,60,30,0,20,100,0.6,False,0.734,0
scenario110,1,40,0,60,0,-30,0,60,0,0.6,False,1.516,0
scenario111,0,60,20,60,20,60,20,0,0,0.6,False,1.331,0
scenario112,1,100,0,0,60,-30,100,80,60,0.1,False,1.003,0
scenario113,1,40,0,60,80,0,80,0,40,0.4,False,1.8,0
scenario114,0,40,60,80,60,90,40,100,60,1.0,False,1.612,0
scenario115,1,100,100,20,80,90,100,0,80,0.1,False,2.004,0
scenario116,0,20,0,100,20,90,100,0,100,0.4,False,1.293,0
scenario117,1,100,60,80,40,0,0,20,0,0.2,False,0.707,0
scenario118,0,0,80,0,0,-90,60,80,100,0.2,False,1.42,0
scenario119,0,20,0,0,40,-60,20,0,40,1.0,False,1.408,0
scenario120,1,80,0,100,20,-60,80,40,80,1.0,False,0.838,0
scenario121,1,60,100,60,60,90,20,80,20,0.8,False,1.978,0
scenario122,0,100,40,60,100,60,80,20,0,0.8,False,1.498,0
scenario123,1,40,60,40,40,60,40,60,80,1.0,False,0.765,0
scenario124,1,20,80,100,100,-60,100,0,60,0.2,False,1.528,0
scenario125,0,80,20,60,20,-90,0,100,80,0.4,False,1.498,0
scenario126,0,40,0,20,20,-60,60,0,20,1.0,False,1.403,0
scenario127,1,60,40,60,0,90,60,100,40,0.2,False,2.046,0
scenario128,0,80,60,0,80,90,100,80,80,0.8,False,1.403,0
scenario129,0,40,60,20,60,-90,20,100,40,0.1,False,1.388,0
scenario130,1,100,100,0,40,30,40,100,20,0.2,False,2.191,0
scenario131,0,80,80,20,20,0,80,80,100,0.2,False,1.543,0
scenario132,0,40,20,40,80,90,80,60,0,0.2,False,1.384,0
scenario133,1,80,0,60,80,-60,0,0,40,1.0,False,0.74,0
scenario134,0,100,100,60,100,60,20,20,0,0.6,False,1.446,0
scenario135,1,0,80,80,20,0,80,100,40,0.2,False,0.7,0
scenario136,1,80,80,80,100,-60,80,20,20,0.2,False,0.829,0
scenario137,0,100,100,0,0,-90,100,60,20,0.6,False,1.368,0
scenario138,1,0,80,100,80,30,0,60,20,1.0,False,0.605,0
scenario139,1,0,40,60,0,60,80,60,40,0.4,False,0.922,0
scenario140,0,100,100,0,100,60,60,0,100,0.8,False,1.33,0
scenario141,1,100,20,100,0,60,100,40,100,0.2,False,1.835,0
scenario142,1,0,100,100,60,0,60,40,60,0.1,False,0.938,0
scenario143,0,60,0,100,80,-30,0,80,100,0.6,False,1.478,0
scenario144,0,80,0,40,40,60,100,40,100,0.1,False,1.341,0
scenario145,1,60,20,60,40,90,40,80,60,0.8,False,0.837,0
scenario146,0,20,60,40,80,60,100,60,100,0.1,False,1.374,0
scenario147,1,0,0,0,60,90,80,40,0,0.1,False,0.842,0
scenario148,0,80,40,60,60,-30,0,20,100,0.6,False,1.419,0
scenario149,1,20,60,80,0,-30,20,20,60,1.0,False,0.758,0
scenario150,0,0,0,40,80,-30,60,20,0,1.0,False,1.729,0
