Row,safety
scenario1,0
scenario2,1
scenario3,0
scenario4,0
scenario5,0
scenario6,0
scenario7,1
scenario8,0
scenario9,0
scenario10,0
scenario11,0
scenario12,0
scenario13,1
scenario14,0
scenario15,0
scenario16,1
scenario17,1
scenario18,0
scenario19,0
scenario20,1
scenario21,1
scenario22,0
scenario23,0
scenario24,0
scenario25,1
scenario26,0
scenario27,0
scenario28,1
scenario29,1
scenario30,0
scenario31,0
scenario32,1
scenario33,0
scenario34,0
scenario35,0
scenario36,0
scenario37,1
scenario38,1
scenario39,0
scenario40,0
scenario41,1
scenario42,1
scenario43,0
scenario44,0
scenario45,1
scenario46,0
scenario47,0
scenario48,1
scenario49,1
scenario50,0
scenario51,0
scenario52,1
scenario53,0
scenario54,1
scenario55,0
scenario56,0
scenario57,1
scenario58,0
scenario59,1
scenario60,1
scenario61,1
scenario62,0
scenario63,1
scenario64,0
scenario65,1
scenario66,1
scenario67,0
scenario68,0
scenario69,0
scenario70,0
scenario71,0
scenario72,0
scenario73,1
scenario74,0
scenario75,0
scenario76,1
scenario77,0
scenario78,0
scenario79,1
scenario80,1
scenario81,0
scenario82,1
scenario83,1
scenario84,0
scenario85,1
scenario86,0
scenario87,1
scenario88,1
scenario89,0
scenario90,0
scenario91,0
scenario92,0
scenario93,0
scenario94,0
scenario95,0
scenario96,1
scenario97,1
scenario98,0
scenario99,0
scenario100,0
scenario101,0
scenario102,0
scenario103,0
scenario104,1
scenario105,0
scenario106,0
scenario107,1
scenario108,0
scenario109,1
scenario110,0
scenario111,0
scenario112,0
scenario113,0
scenario114,1
scenario115,0
scenario116,0
scenario117,0
scenario118,0
scenario119,0
scenario120,1
scenario121,1
scenario122,0
scenario123,0
scenario124,0
scenario125,0
scenario126,0
scenario127,0
scenario128,1
scenario129,0
scenario130,0
scenario131,0
scenario132,1
scenario133,1
scenario134,0
scenario135,1
scenario136,1
scenario137,0
scenario138,0
scenario139,0
scenario140,0
scenario141,1
scenario142,1
scenario143,0
scenario144,0
scenario145,0
scenario146,0
scenario147,1
scenario148,1
scenario149,1
scenario150,1
scenario151,1
scenario152,0
scenario153,1
scenario154,1
scenario155,0
scenario156,0
scenario157,1
scenario158,1
scenario159,1
scenario160,0
scenario161,1
scenario162,1
scenario163,0
scenario164,0
scenario165,1
scenario166,0
scenario167,0
scenario168,1
scenario169,1
scenario170,0
scenario171,0
scenario172,0
scenario173,1
scenario174,0
scenario175,0
scenario176,0
scenario177,0
scenario178,1
scenario179,0
scenario180,0
scenario181,1
scenario182,0
scenario183,1
scenario184,0
scenario185,0
scenario186,0
scenario187,0
scenario188,0
scenario189,0
scenario190,0
scenario191,0
scenario192,0
scenario193,1
scenario194,0
scenario195,0
scenario196,0
scenario197,0
scenario198,0
scenario199,0
scenario200,1
scenario201,0
scenario202,0
scenario203,0
scenario204,0
scenario205,1
scenario206,0
scenario207,0
scenario208,0
scenario209,1
scenario210,0
scenario211,0
scenario212,0
scenario213,0
scenario214,1
scenario215,0
scenario216,0
scenario217,1
scenario218,0
scenario219,0
scenario220,0
scenario221,0
scenario222,1
scenario223,0
scenario224,0
scenario225,0
scenario226,1
scenario227,1
scenario228,1
scenario229,1
scenario230,1
scenario231,1
scenario232,0
scenario233,0
scenario234,1
scenario235,0
scenario236,1
scenario237,1
scenario238,0
scenario239,1
scenario240,0
scenario241,1
scenario242,0
scenario243,1
scenario244,1
scenario245,0
scenario246,1
scenario247,1
scenario248,1
scenario249,0
scenario250,1
scenario251,1
scenario252,1
scenario253,1
scenario254,0
scenario255,1
scenario256,0
scenario257,0
scenario258,1
scenario259,1
scenario260,0
scenario261,1
scenario262,0
scenario263,0
scenario264,0
scenario265,1
scenario266,0
scenario267,0
scenario268,0
scenario269,0
scenario270,0
scenario271,0
scenario272,0
scenario273,0
scenario274,0
scenario275,1
scenario276,0
scenario277,1
scenario278,0
scenario279,0
scenario280,1
scenario281,0
scenario282,1
scenario283,0
scenario284,1
scenario285,0
scenario286,0
scenario287,0
scenario288,0
scenario289,1
scenario290,1
scenario291,0
scenario292,1
scenario293,1
scenario294,1
scenario295,1
scenario296,1
scenario297,0
scenario298,0
scenario299,0
scenario300,1
scenario301,1
scenario302,0
scenario303,1
scenario304,1
scenario305,0
scenario306,0
scenario307,0
scenario308,0
scenario309,1
scenario310,1
scenario311,1
scenario312,1
scenario313,1
scenario314,0
scenario315,1
scenario316,0
scenario317,0
scenario318,0
scenario319,0
scenario320,0
scenario321,1
scenario322,0
scenario323,0
scenario324,0
scenario325,1
scenario326,0
scenario327,0
scenario328,0
scenario329,0
scenario330,0
scenario331,0
scenario332,1
scenario333,1
scenario334,0
scenario335,0
scenario336,0
scenario337,0
scenario338,0
scenario339,0
scenario340,0
scenario341,0
scenario342,1
scenario343,0
scenario344,0
scenario345,1
scenario346,0
scenario347,1
scenario348,0
scenario349,1
scenario350,0
scenario351,0
scenario352,0
scenario353,0
scenario354,0
scenario355,1
scenario356,0
scenario357,1
scenario358,0
scenario359,0
scenario360,0
scenario361,1
scenario362,1
scenario363,1
scenario364,0
scenario365,1
scenario366,1
scenario367,1
scenario368,0
scenario369,1
scenario370,1
scenario371,1
scenario372,1
scenario373,0
scenario374,1
scenario375,1
scenario376,1
scenario377,1
scenario378,0
scenario379,0
scenario380,1
scenario381,0
scenario382,0
scenario383,0
scenario384,0
scenario385,1
scenario386,0
scenario387,0
scenario388,1
scenario389,0
scenario390,1
scenario391,1
scenario392,0
scenario393,0
scenario394,1
scenario395,0
scenario396,0
scenario397,0
scenario398,1
scenario399,0
scenario400,0
scenario401,0
scenario402,0
scenario403,0
scenario404,0
scenario405,0
scenario406,0
scenario407,0
scenario408,1
scenario409,1
scenario410,0
scenario411,0
scenario412,1
scenario413,0
scenario414,0
scenario415,1
scenario416,0
scenario417,1
scenario418,0
scenario419,0
scenario420,0
scenario421,1
scenario422,0
scenario423,1
scenario424,1
scenario425,0
scenario426,0
scenario427,0
scenario428,0
scenario429,0
scenario430,0
scenario431,0
scenario432,0
scenario433,0
scenario434,0
scenario435,0
scenario436,0
scenario437,0
scenario438,0
scenario439,0
scenario440,0
scenario441,0
scenario442,0
scenario443,0
scenario444,0
scenario445,0
scenario446,0
scenario447,0
scenario448,0
scenario449,0
scenario450,0
scenario451,0
scenario452,0
scenario453,0
scenario454,0
scenario455,0
scenario456,0
scenario457,0
scenario458,1
scenario459,0
scenario460,0
scenario461,1
scenario462,0
scenario463,0
scenario464,0
scenario465,1
scenario466,0
scenario467,0
scenario468,0
scenario469,1
scenario470,0
scenario471,1
scenario472,0
scenario473,0
scenario474,0
scenario475,0
scenario476,0
scenario477,0
scenario478,1
scenario479,0
scenario480,0
scenario481,1
scenario482,0
scenario483,0
scenario484,0
scenario485,0
scenario486,0
scenario487,0
scenario488,0
scenario489,0
scenario490,0
scenario491,0
scenario492,0
scenario493,0
scenario494,0
scenario495,0
scenario496,0
scenario497,1
scenario498,0
scenario499,0
scenario500,0
scenario501,0
scenario502,0
scenario503,1
scenario504,0
scenario505,0
scenario506,0
scenario507,0
scenario508,0
scenario509,0
scenario510,0
scenario511,0
scenario512,0
scenario513,0
scenario514,0
scenario515,0
scenario516,0
scenario517,0
scenario518,0
scenario519,0
scenario520,1
scenario521,0
scenario522,0
scenario523,1
scenario524,0
scenario525,0
scenario526,1
scenario527,0
scenario528,0
scenario529,1
scenario530,0
scenario531,0
scenario532,0
scenario533,0
scenario534,0
scenario535,0
scenario536,0
scenario537,0
scenario538,0
scenario539,0
scenario540,0
scenario541,1
scenario542,0
scenario543,0
scenario544,0
scenario545,0
scenario546,0
scenario547,0
scenario548,0
scenario549,0
scenario550,0
scenario551,0
scenario552,0
scenario553,1
scenario554,0
scenario555,0
scenario556,0
scenario557,0
scenario558,0
scenario559,0
scenario560,0
scenario561,0
scenario562,0
scenario563,0
scenario564,0
scenario565,1
scenario566,0
scenario567,1
scenario568,0
scenario569,0
scenario570,0
scenario571,0
scenario572,0
scenario573,0
scenario574,0
scenario575,0
scenario576,0
scenario577,0
scenario578,0
scenario579,1
scenario580,0
scenario581,1
scenario582,0
scenario583,1
scenario584,0
scenario585,0
scenario586,0
scenario587,0
scenario588,0
scenario589,0
scenario590,0
scenario591,0
scenario592,0
scenario593,0
scenario594,0
scenario595,0
scenario596,1
scenario597,0
scenario598,0
scenario599,1
scenario600,0
scenario601,0
scenario602,0
scenario603,0
scenario604,0
scenario605,0
scenario606,0
scenario607,1
scenario608,0
scenario609,1
scenario610,0
scenario611,0
scenario612,0
scenario613,0
scenario614,0
scenario615,0
scenario616,0
scenario617,1
scenario618,0
scenario619,0
scenario620,1
scenario621,0
scenario622,0
scenario623,0
scenario624,1
scenario625,1
scenario626,0
scenario627,0
scenario628,0
scenario629,0
scenario630,0
scenario631,1
scenario632,1
scenario633,0
scenario634,0
scenario635,0
scenario636,0
scenario637,1
scenario638,0
scenario639,1
scenario640,0
scenario641,0
scenario642,0
scenario643,0
scenario644,0
scenario645,0
scenario646,0
scenario647,0
scenario648,1
