Row,IsBetaEasy
scenario1,1
scenario2,0
scenario3,1
scenario4,1
scenario5,1
scenario6,1
scenario7,0
scenario8,1
scenario9,1
scenario10,1
scenario11,1
scenario12,1
scenario13,0
scenario14,1
scenario15,1
scenario16,0
scenario17,0
scenario18,1
scenario19,1
scenario20,0
scenario21,0
scenario22,1
scenario23,1
scenario24,1
scenario25,0
scenario26,1
scenario27,1
scenario28,0
scenario29,0
scenario30,1
scenario31,1
scenario32,0
scenario33,1
scenario34,1
scenario35,1
scenario36,1
scenario37,0
scenario38,0
scenario39,1
scenario40,1
scenario41,0
scenario42,0
scenario43,1
scenario44,1
scenario45,0
scenario46,1
scenario47,1
scenario48,0
scenario49,0
scenario50,1
scenario51,1
scenario52,0
scenario53,1
scenario54,0
scenario55,1
scenario56,1
scenario57,0
scenario58,1
scenario59,0
scenario60,0
scenario61,0
scenario62,1
scenario63,0
scenario64,1
scenario65,0
scenario66,0
scenario67,1
scenario68,1
scenario69,1
scenario70,1
scenario71,1
scenario72,1
scenario73,0
scenario74,1
scenario75,1
scenario76,0
scenario77,1
scenario78,1
scenario79,0
scenario80,0
scenario81,1
scenario82,0
scenario83,0
scenario84,1
scenario85,0
scenario86,1
scenario87,0
scenario88,0
scenario89,1
scenario90,1
scenario91,1
scenario92,1
scenario93,1
scenario94,1
scenario95,1
scenario96,0
scenario97,0
scenario98,1
scenario99,1
scenario100,1
scenario101,1
scenario102,1
scenario103,1
scenario104,0
scenario105,1
scenario106,1
scenario107,0
scenario108,1
scenario109,0
scenario110,1
scenario111,1
scenario112,1
scenario113,1
scenario114,0
scenario115,1
scenario116,1
scenario117,1
scenario118,1
scenario119,1
scenario120,0
scenario121,0
scenario122,1
scenario123,1
scenario124,1
scenario125,1
scenario126,1
scenario127,1
scenario128,0
scenario129,1
scenario130,1
scenario131,1
scenario132,0
scenario133,0
scenario134,1
scenario135,0
scenario136,0
scenario137,1
scenario138,1
scenario139,1
scenario140,1
scenario141,0
scenario142,0
scenario143,1
scenario144,1
scenario145,1
scenario146,1
scenario147,0
scenario148,0
scenario149,0
scenario150,0
scenario151,0
scenario152,1
scenario153,0
scenario154,0
scenario155,1
scenario156,1
scenario157,0
scenario158,0
scenario159,0
scenario160,1
scenario161,0
scenario162,0
scenario163,1
scenario164,1
scenario165,0
scenario166,1
scenario167,1
scenario168,0
scenario169,0
scenario170,1
scenario171,1
scenario172,1
scenario173,0
scenario174,1
scenario175,1
scenario176,1
scenario177,1
scenario178,0
scenario179,1
scenario180,1
scenario181,0
scenario182,1
scenario183,0
scenario184,1
scenario185,1
scenario186,1
scenario187,1
scenario188,1
scenario189,1
scenario190,1
scenario191,1
scenario192,1
scenario193,0
scenario194,1
scenario195,1
scenario196,1
scenario197,1
scenario198,1
scenario199,1
scenario200,0
scenario201,1
scenario202,1
scenario203,1
scenario204,1
scenario205,0
scenario206,1
scenario207,1
scenario208,1
scenario209,0
scenario210,1
scenario211,1
scenario212,1
scenario213,1
scenario214,0
scenario215,1
scenario216,1
scenario217,0
scenario218,1
scenario219,1
scenario220,1
scenario221,1
scenario222,0
scenario223,1
scenario224,1
scenario225,1
scenario226,0
scenario227,0
scenario228,0
scenario229,0
scenario230,0
scenario231,0
scenario232,1
scenario233,1
scenario234,0
scenario235,1
scenario236,0
scenario237,0
scenario238,1
scenario239,0
scenario240,1
scenario241,0
scenario242,1
scenario243,0
scenario244,0
scenario245,1
scenario246,0
scenario247,0
scenario248,0
scenario249,1
scenario250,0
scenario251,0
scenario252,0
scenario253,0
scenario254,1
scenario255,0
scenario256,1
scenario257,1
scenario258,0
scenario259,0
scenario260,1
scenario261,0
scenario262,1
scenario263,1
scenario264,1
scenario265,0
scenario266,1
scenario267,1
scenario268,1
scenario269,1
scenario270,1
scenario271,1
scenario272,1
scenario273,1
scenario274,1
scenario275,0
scenario276,1
scenario277,0
scenario278,1
scenario279,1
scenario280,0
scenario281,1
scenario282,0
scenario283,1
scenario284,0
scenario285,1
scenario286,1
scenario287,1
scenario288,1
scenario289,0
scenario290,0
scenario291,1
scenario292,0
scenario293,0
scenario294,0
scenario295,0
scenario296,0
scenario297,1
scenario298,1
scenario299,1
scenario300,0
scenario301,0
scenario302,1
scenario303,0
scenario304,0
scenario305,1
scenario306,1
scenario307,1
scenario308,1
scenario309,0
scenario310,0
scenario311,0
scenario312,0
scenario313,0
scenario314,1
scenario315,0
scenario316,1
scenario317,1
scenario318,1
scenario319,1
scenario320,1
scenario321,0
scenario322,1
scenario323,1
scenario324,1
scenario325,0
scenario326,1
scenario327,1
scenario328,1
scenario329,1
scenario330,1
scenario331,1
scenario332,0
scenario333,0
scenario334,1
scenario335,1
scenario336,1
scenario337,1
scenario338,1
scenario339,1
scenario340,1
scenario341,1
scenario342,0
scenario343,1
scenario344,1
scenario345,0
scenario346,1
scenario347,0
scenario348,1
scenario349,0
scenario350,1
scenario351,1
scenario352,1
scenario353,1
scenario354,1
scenario355,0
scenario356,1
scenario357,0
scenario358,1
scenario359,1
scenario360,1
scenario361,0
scenario362,0
scenario363,0
scenario364,1
scenario365,0
scenario366,0
scenario367,0
scenario368,1
scenario369,0
scenario370,0
scenario371,0
scenario372,0
scenario373,1
scenario374,0
scenario375,0
scenario376,0
scenario377,0
scenario378,1
scenario379,1
scenario380,0
scenario381,1
scenario382,1
scenario383,1
scenario384,1
scenario385,0
scenario386,1
scenario387,1
scenario388,0
scenario389,1
scenario390,0
scenario391,0
scenario392,1
scenario393,1
scenario394,0
scenario395,1
scenario396,1
scenario397,1
scenario398,0
scenario399,1
scenario400,1
scenario401,1
scenario402,1
scenario403,1
scenario404,1
scenario405,1
scenario406,1
scenario407,1
scenario408,0
scenario409,0
scenario410,1
scenario411,1
scenario412,0
scenario413,1
scenario414,1
scenario415,0
scenario416,1
scenario417,0
scenario418,1
scenario419,1
scenario420,1
scenario421,0
scenario422,1
scenario423,0
scenario424,0
scenario425,1
scenario426,1
scenario427,1
scenario428,1
scenario429,1
scenario430,1
scenario431,1
scenario432,1
scenario433,1
scenario434,1
scenario435,1
scenario436,1
scenario437,1
scenario438,1
scenario439,1
scenario440,1
scenario441,1
scenario442,1
scenario443,1
scenario444,1
scenario445,1
scenario446,1
scenario447,1
scenario448,1
scenario449,1
scenario450,1
scenario451,1
scenario452,1
scenario453,1
scenario454,1
