Row,z_1,z_2
bnd_pnt_1,-2.95394151781551,2.54730212718127
bnd_pnt_2,-4.18332409886545,1.0547951730789
bnd_pnt_3,-4.8609533786103,-0.213105680735731
bnd_pnt_4,-4.44637354160768,-1.85543242009842
bnd_pnt_5,-3.67564405586385,-2.51405187990218
bnd_pnt_6,-2.84190099123979,-3.1722854530554
bnd_pnt_7,-1.88360583061918,-3.74378507258441
bnd_pnt_8,-0.903813679485407,-4.27212925206315
bnd_pnt_9,0.421578358147863,-4.06191299055002
bnd_pnt_10,1.42351168024395,-3.86901174353048
bnd_pnt_11,2.67107657391983,-3.45203058400457
bnd_pnt_12,3.51272404034165,-3.14709327851466
bnd_pnt_13,4.34727524142883,-2.58109113717094
bnd_pnt_14,5.57665782247876,-1.08858418306857
bnd_pnt_15,6.25428710222362,0.179316670746059
bnd_pnt_16,5.83970726522099,1.82164341010875
bnd_pnt_17,5.06897777947716,2.48026286991251
bnd_pnt_18,4.2352347148531,3.13849644306573
bnd_pnt_19,3.27693955423249,3.70999606259474
bnd_pnt_20,2.29714740309872,4.23834024207348
bnd_pnt_21,0.971755365465449,4.02812398056035
bnd_pnt_22,-0.0301779566306368,3.83522273354081
bnd_pnt_23,-1.27774285030652,3.41824157401489
bnd_pnt_24,-2.11939031672834,3.11330426852499
bnd_pnt_25,-2.95394151781551,2.54730212718127
