instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,c1,0,1,1,2,0,60,40,0,0,60,80,0.8,False,5454.958,0
scenario2,c2,0,1,2,1,0,20,20,40,80,40,100,0.2,False,3.274,0
scenario3,c1,1,2,0,1,60,0,80,60,0,0,40,1.0,False,9999.0,0
scenario4,c2,2,1,0,1,0,0,100,20,20,0,40,0.6,False,9999.0,0
scenario5,c4,2,0,1,0,40,60,0,40,40,80,60,0.2,False,3.389,0
scenario6,c4,2,0,1,2,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario7,c4,2,0,1,0,80,100,60,40,80,0,100,0.2,False,2.114,0
scenario8,c4,1,2,2,0,60,100,40,20,40,40,80,0.6,True,0.0,1
scenario9,c1,0,2,1,2,60,80,40,0,20,80,0,1.0,False,4992.2,0
scenario10,c2,2,1,0,1,40,20,60,80,80,100,0,1.0,False,6101.763,0
scenario11,c2,0,1,2,0,100,100,20,80,60,20,20,0.8,True,0.0,1
scenario12,c2,0,1,2,0,60,0,0,20,60,20,0,0.4,False,2.482,0
scenario13,c4,2,0,1,0,80,100,60,40,80,0,100,0.2,False,2.978,0
scenario14,c4,2,0,1,0,80,100,80,40,80,20,100,0.4,False,3.475,0
scenario15,c4,2,0,1,0,0,100,60,20,80,0,100,0.4,False,3.049,0
scenario16,c4,1,0,2,0,60,100,60,20,100,0,100,0.2,False,1.644,0
scenario17,c4,1,2,2,0,60,100,40,20,80,0,100,0.1,False,2.252,0
scenario18,c4,2,0,1,2,60,100,60,60,60,80,100,0.8,False,0.787,0
scenario19,c4,2,0,1,0,80,100,40,40,100,20,20,0.6,False,2.258,0
scenario20,c2,0,1,2,0,100,100,40,40,60,100,100,0.2,False,4.231,0
scenario21,c2,0,1,2,0,40,80,40,20,60,20,100,0.2,False,3.952,0
scenario22,c4,1,2,2,0,80,40,80,40,60,0,100,0.2,True,0.0,1
scenario23,c2,2,1,0,1,100,100,100,40,0,20,80,0.1,False,5146.119,0
scenario24,c4,1,0,2,0,0,80,100,40,80,0,100,0.4,False,2.232,0
