instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario1,20,40,0,0,0,0.8,0,100,0,0,0,c1,0.05918,1,2,0,1,0,3080.644915400865,0
scenario2,20,100,0,0,80,0.4,80,20,0,0,0,c2,0.00204,0,1,2,0,0,2.413625292330241,0
scenario3,20,100,0,0,100,0.2,0,100,0,0,0,c4,0.00144,2,0,1,2,0,0.8024641422659178,0
scenario4,60,20,0,0,0,0.8,80,20,0,0,20,c1,0.00135,1,2,0,2,0,2.3030701268277225,0
scenario5,20,40,0,100,40,0.6,0,100,0,0,20,c2,0.00126,2,0,0,1,0,3.5146851684980045,0
scenario6,60,20,0,0,80,0.4,0,100,0,0,20,c4,0.00137,1,0,2,0,0,9999.0,0
scenario7,80,100,0,0,0,0.8,0,100,0,0,40,c1,0.00128,0,2,1,2,0,9999.0,0
scenario8,40,100,0,0,0,0.8,80,20,0,0,40,c2,0.00219,0,1,2,1,0,3.1500547017149927,0
scenario9,20,100,0,40,40,0.8,0,100,0,0,40,c4,0.00266,1,2,2,0,0,9999.0,0
scenario10,80,20,0,0,0,0.8,0,100,0,0,60,c1,0.00158,0,1,1,2,0,7806.073033101188,0
scenario11,20,20,0,40,40,0.8,0,100,0,0,60,c2,0.00265,2,1,0,1,0,2.6354932994160354,0
scenario12,20,100,20,0,0,0.8,0,100,0,0,60,c4,0.00126,2,0,1,0,0,3.128736711188213,0
scenario13,60,60,0,20,40,0.8,0,100,0,0,80,c1,0.00269,1,2,0,1,0,1144.0351369427754,0
scenario14,20,40,0,0,80,0.4,80,20,0,0,80,c2,0.00154,0,1,2,0,0,2.6757090467197417,0
scenario15,20,40,0,0,100,0.2,0,100,0,0,80,c4,0.00172,2,0,1,2,0,0.8431928687030326,0
scenario16,20,80,0,20,40,0.8,80,20,0,0,100,c1,0.00127,1,2,0,2,0,2.039708234775612,0
scenario17,60,80,0,0,80,0.4,0,100,0,0,100,c2,0.0013,2,0,0,1,0,3.1372330378696955,0
scenario18,20,60,0,0,0,0.8,80,20,0,0,100,c4,0.00424,1,0,2,0,1,0.0,1
scenario19,20,60,0,60,40,0.6,0,100,0,20,0,c1,0.00219,0,2,1,2,0,4.274429599122646,0
scenario20,60,60,0,0,0,0.8,0,100,0,20,0,c2,0.01783,0,1,2,1,0,4.332012767687811,0
scenario21,60,40,0,60,40,0.6,0,100,0,20,0,c4,0.00135,1,2,2,0,0,9999.0,0
scenario22,20,100,0,80,40,0.6,0,100,0,20,20,c1,0.00127,0,1,1,2,0,9999.0,0
scenario23,60,100,0,20,40,0.8,0,100,0,20,20,c2,0.00268,2,1,0,1,0,9999.0,0
scenario24,20,60,0,20,40,0.8,0,100,0,20,20,c4,0.00733,2,0,1,0,0,2.602864353841313,0
scenario25,20,20,0,0,0,0.8,80,20,0,20,40,c1,0.00351,1,2,0,1,1,0.0,1
scenario26,60,20,0,20,40,0.8,0,100,0,20,40,c2,0.00291,0,1,2,0,0,2.9016058930187416,0
scenario27,60,60,0,0,0,0.8,80,20,0,20,40,c4,0.00155,2,0,1,2,1,0.0,1
scenario28,20,80,0,0,20,0.8,0,100,0,20,60,c1,0.00188,1,2,0,2,0,9999.0,0
scenario29,20,20,0,0,80,0.4,0,100,0,20,60,c2,0.00427,2,0,0,1,0,3.174610885387516,0
scenario30,20,80,0,0,80,0.4,0,100,0,20,60,c4,0.00386,1,0,2,0,0,9999.0,0
scenario31,40,20,0,0,0,0.8,0,100,0,20,80,c1,0.0208,0,2,1,2,0,9999.0,0
scenario32,40,80,0,0,0,0.8,0,100,0,20,80,c2,0.01813,0,1,2,1,0,9.802092095916146,0
scenario33,20,20,0,0,20,0.8,0,100,0,20,80,c4,0.00169,1,2,2,0,0,9999.0,0
scenario34,40,40,0,0,80,0.4,0,100,0,20,100,c1,0.00145,0,1,1,2,0,9999.0,0
scenario35,20,20,20,0,0,0.8,0,100,0,20,100,c2,0.00167,2,1,0,1,0,9999.0,0
scenario36,20,20,0,80,40,0.6,0,100,0,20,100,c4,0.00135,2,0,1,0,0,3.344037289642471,0
scenario37,20,60,20,0,0,0.8,0,100,0,40,0,c1,0.00135,1,2,0,1,0,9999.0,0
scenario38,40,40,0,20,40,0.8,0,100,0,40,0,c2,0.0032,0,1,2,0,0,4.0882613783335575,0
scenario39,40,80,0,20,40,0.8,0,100,0,40,0,c4,0.00287,2,0,1,2,0,9999.0,0
scenario40,40,40,0,0,0,0.8,80,20,0,40,20,c1,0.00165,1,2,0,2,0,2.666657373725432,0
scenario41,20,40,0,40,40,0.6,0,100,0,40,20,c2,0.00141,2,0,0,1,0,3.422529617956982,0
scenario42,40,100,0,0,80,0.4,0,100,0,40,20,c4,0.00128,1,0,2,0,0,9999.0,0
scenario43,60,100,0,0,0,0.8,0,100,0,40,40,c1,0.01753,0,2,1,2,0,9999.0,0
scenario44,20,80,0,40,40,0.6,0,100,0,40,40,c2,0.00131,0,1,2,1,0,9.910412199110835,0
scenario45,20,80,0,0,0,0.8,80,20,0,40,40,c4,0.00605,1,2,2,0,1,0.0,1
scenario46,20,60,0,0,80,0.4,0,100,0,40,60,c1,0.00365,0,1,1,2,0,9999.0,0
scenario47,20,20,0,60,40,0.6,0,100,0,40,60,c2,0.00281,2,1,0,1,0,2.984124481588514,0
scenario48,60,80,0,0,0,0.8,80,20,0,40,60,c4,0.00232,2,0,1,0,0,2.2461024772010214,0
scenario49,20,100,0,60,40,0.6,0,100,0,40,80,c1,0.00246,1,2,0,1,0,1142.564032154424,0
scenario50,60,60,0,0,80,0.4,0,100,0,40,80,c2,0.00132,0,1,2,0,0,2.3842281930675915,0
scenario51,20,60,0,0,20,0.8,0,100,0,40,80,c4,0.00145,2,0,1,2,1,0.0,1
scenario52,20,60,0,80,40,0.6,0,100,0,40,100,c1,0.00124,1,2,0,2,0,1130.5280911579775,0
scenario53,80,60,0,0,0,0.8,0,100,0,40,100,c2,0.00141,2,0,0,1,0,9999.0,0
scenario54,20,20,0,0,0,0.8,0,100,0,40,100,c4,0.0566,1,0,2,0,0,9999.0,0
scenario55,20,80,0,0,0,0.8,0,100,0,60,0,c1,0.05148,0,2,1,2,0,9999.0,0
scenario56,20,80,0,100,40,0.6,0,100,0,60,0,c2,0.00125,0,1,2,1,0,3.5208191296001545,0
scenario57,40,40,0,0,0,0.8,0,100,0,60,0,c4,0.02135,1,2,2,0,0,9999.0,0
scenario58,20,20,0,20,40,0.8,0,100,0,60,20,c1,0.00885,0,1,1,2,0,9999.0,0
scenario59,20,80,0,20,40,0.8,0,100,0,60,20,c2,0.00748,2,1,0,1,0,3.0557594415126434,0
scenario60,20,60,0,40,40,0.8,0,100,0,60,20,c4,0.00256,2,0,1,0,0,3.2263178392827885,0
scenario61,20,20,0,0,100,0.2,0,100,0,60,40,c1,0.0017,1,2,0,1,0,577.8544161485898,0
scenario62,20,100,0,0,0,0.8,0,100,0,60,40,c2,0.04891,0,1,2,0,0,2.811625454388231,0
scenario63,60,20,0,60,40,0.6,0,100,0,60,40,c4,0.00123,2,0,1,2,1,0.0,1
scenario64,20,60,0,0,0,0.8,0,100,0,60,60,c1,0.04996,1,2,0,2,0,846.5173462333257,0
scenario65,60,40,0,0,0,0.8,0,100,0,60,60,c2,0.02163,2,0,0,1,0,9999.0,0
scenario66,60,20,0,0,0,0.8,0,100,0,60,60,c4,0.02033,1,0,2,0,0,9999.0,0
scenario67,60,80,0,0,0,0.8,0,100,0,60,80,c1,0.01823,0,2,1,2,0,9999.0,0
scenario68,40,100,0,0,0,0.8,0,100,0,60,80,c2,0.01778,0,1,2,1,0,10.043214241314477,0
scenario69,40,60,0,0,0,0.8,0,100,0,60,80,c4,0.01721,1,2,2,0,0,9999.0,0
scenario70,20,40,0,20,40,0.8,0,100,0,60,100,c1,0.00954,0,1,1,2,0,9999.0,0
scenario71,20,100,0,20,40,0.8,0,100,0,60,100,c2,0.00786,2,1,0,1,0,9999.0,0
scenario72,20,100,0,0,0,0.8,80,20,0,60,100,c4,0.00659,2,0,1,0,0,3.0515251635566254,0
scenario73,20,40,0,0,0,0.8,80,20,0,80,0,c1,0.00507,1,2,0,1,0,3.995178457146332,0
scenario74,20,40,0,0,80,0.4,0,100,0,80,0,c2,0.00437,0,1,2,0,0,3.971166513995965,0
scenario75,20,100,0,0,80,0.4,0,100,0,80,0,c4,0.00361,2,0,1,2,1,0.0,1
scenario76,60,40,0,20,40,0.8,0,100,0,80,20,c1,0.00363,1,2,0,2,0,3686.047257765824,0
scenario77,40,20,0,20,40,0.8,0,100,0,80,20,c2,0.00322,2,0,0,1,0,9999.0,0
scenario78,60,80,0,20,40,0.8,0,100,0,80,20,c4,0.00288,1,0,2,0,0,9999.0,0
scenario79,20,40,0,60,40,0.6,0,100,0,80,40,c1,0.00284,0,2,1,2,0,3870.773129591146,0
scenario80,20,80,0,60,40,0.6,0,100,0,80,40,c2,0.00258,0,1,2,1,0,4.8959245473480415,0
scenario81,40,60,0,20,40,0.8,0,100,0,80,40,c4,0.00298,1,2,2,0,0,9999.0,0
scenario82,60,100,0,0,0,0.8,80,20,0,80,60,c1,0.00244,0,1,1,2,0,3.5827376916114906,0
scenario83,40,100,0,20,40,0.8,0,100,0,80,60,c2,0.00259,2,1,0,1,0,9999.0,0
scenario84,60,20,0,40,40,0.8,0,100,0,80,60,c4,0.00126,2,0,1,0,0,2.9622783725985884,0
scenario85,40,80,0,0,0,0.8,80,20,0,80,80,c1,0.00205,1,2,0,1,0,2.7389684276202506,0
scenario86,20,40,0,0,20,0.8,0,100,0,80,80,c2,0.00204,0,1,2,0,0,2.507553673188022,0
scenario87,60,40,0,0,0,0.8,80,20,0,80,80,c4,0.002,2,0,1,2,1,0.0,1
scenario88,20,80,0,0,80,0.4,80,20,0,80,100,c1,0.00191,1,2,0,2,0,2.265311185183355,0
scenario89,80,40,0,0,0,0.8,0,100,0,80,100,c2,0.00173,2,0,0,1,0,9999.0,0
scenario90,20,40,0,80,40,0.6,0,100,0,80,100,c4,0.00175,1,0,2,0,0,9999.0,0
scenario91,40,60,0,0,0,0.8,80,20,0,100,0,c1,0.0019,0,2,1,2,0,4.68097967383506,0
scenario92,20,80,0,80,40,0.6,0,100,0,100,0,c2,0.00169,0,1,2,1,0,5.141708487305689,0
scenario93,20,80,0,0,100,0.2,0,100,0,100,0,c4,0.00152,1,2,2,0,1,0.0,1
