Row,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
scenario1,20,40,0,0,0,0.8,0,100,1,2,0,1
scenario2,20,100,0,0,80,0.4,80,20,0,1,2,0
scenario3,20,100,0,0,100,0.2,0,100,2,0,1,2
scenario4,60,20,0,0,0,0.8,80,20,1,2,0,2
scenario5,20,40,0,100,40,0.6,0,100,2,0,0,1
scenario6,60,20,0,0,80,0.4,0,100,1,0,2,0
scenario7,80,100,0,0,0,0.8,0,100,0,2,1,2
scenario8,40,100,0,0,0,0.8,80,20,0,1,2,1
scenario9,20,100,0,40,40,0.8,0,100,1,2,2,0
scenario10,80,20,0,0,0,0.8,0,100,0,1,1,2
scenario11,20,20,0,40,40,0.8,0,100,2,1,0,1
scenario12,20,100,20,0,0,0.8,0,100,2,0,1,0
scenario13,60,60,0,20,40,0.8,0,100,1,2,0,1
scenario14,20,40,0,0,80,0.4,80,20,0,1,2,0
scenario15,20,40,0,0,100,0.2,0,100,2,0,1,2
scenario16,20,80,0,20,40,0.8,80,20,1,2,0,2
scenario17,60,80,0,0,80,0.4,0,100,2,0,0,1
scenario18,20,60,0,0,0,0.8,80,20,1,0,2,0
scenario19,20,60,0,60,40,0.6,0,100,0,2,1,2
scenario20,60,60,0,0,0,0.8,0,100,0,1,2,1
scenario21,60,40,0,60,40,0.6,0,100,1,2,2,0
scenario22,20,100,0,80,40,0.6,0,100,0,1,1,2
scenario23,60,100,0,20,40,0.8,0,100,2,1,0,1
scenario24,20,60,0,20,40,0.8,0,100,2,0,1,0
scenario25,20,20,0,0,0,0.8,80,20,1,2,0,1
scenario26,60,20,0,20,40,0.8,0,100,0,1,2,0
scenario27,60,60,0,0,0,0.8,80,20,2,0,1,2
scenario28,20,80,0,0,20,0.8,0,100,1,2,0,2
scenario29,20,20,0,0,80,0.4,0,100,2,0,0,1
scenario30,20,80,0,0,80,0.4,0,100,1,0,2,0
scenario31,40,20,0,0,0,0.8,0,100,0,2,1,2
scenario32,40,80,0,0,0,0.8,0,100,0,1,2,1
scenario33,20,20,0,0,20,0.8,0,100,1,2,2,0
scenario34,40,40,0,0,80,0.4,0,100,0,1,1,2
scenario35,20,20,20,0,0,0.8,0,100,2,1,0,1
scenario36,20,20,0,80,40,0.6,0,100,2,0,1,0
scenario37,20,60,20,0,0,0.8,0,100,1,2,0,1
scenario38,40,40,0,20,40,0.8,0,100,0,1,2,0
scenario39,40,80,0,20,40,0.8,0,100,2,0,1,2
scenario40,40,40,0,0,0,0.8,80,20,1,2,0,2
scenario41,20,40,0,40,40,0.6,0,100,2,0,0,1
scenario42,40,100,0,0,80,0.4,0,100,1,0,2,0
scenario43,60,100,0,0,0,0.8,0,100,0,2,1,2
scenario44,20,80,0,40,40,0.6,0,100,0,1,2,1
scenario45,20,80,0,0,0,0.8,80,20,1,2,2,0
scenario46,20,60,0,0,80,0.4,0,100,0,1,1,2
scenario47,20,20,0,60,40,0.6,0,100,2,1,0,1
