Row,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
scenario1,0,80,0,0,100,0.1,0,100,0,1,1,2
scenario2,60,60,60,100,40,0.6,100,0,0,1,2,1
scenario3,20,20,20,80,0,0.6,0,100,2,0,1,2
scenario4,20,100,0,0,0,0.2,80,20,1,2,0,1
scenario5,20,40,100,0,80,0.4,40,60,2,1,0,1
scenario6,60,40,20,80,100,0.6,20,80,2,0,1,0
scenario7,60,100,0,0,0,0,0,100,0,2,1,2
scenario8,80,80,0,20,100,0.6,80,20,2,0,0,1
scenario9,40,20,20,0,40,0.8,20,80,1,0,2,0
scenario10,40,100,60,100,40,0.6,0,100,1,2,0,2
scenario11,60,20,20,20,0,0.8,100,0,0,1,2,0
scenario12,20,100,100,0,80,0.8,100,0,1,2,2,0
scenario13,40,20,100,100,40,0.6,20,80,0,1,1,2
scenario14,20,100,20,40,60,0.8,40,60,0,1,2,1
scenario15,80,60,0,0,100,0.4,20,80,2,0,1,2
scenario16,40,80,100,0,0,0.8,80,20,1,2,0,1
scenario17,20,20,40,0,100,0.2,100,0,2,1,0,1
scenario18,0,40,0,100,40,0.6,80,20,2,0,1,0
scenario19,80,20,0,100,40,0.6,80,20,0,2,1,2
scenario20,20,20,20,60,40,0.6,100,80,2,0,0,1
scenario21,80,60,40,40,0,0.8,40,60,1,0,2,0
scenario22,80,20,0,0,60,0.2,80,20,1,2,0,2
scenario23,20,100,20,0,80,0.8,100,0,0,1,2,0
scenario24,20,20,100,0,0,0.8,0,100,1,2,2,0
scenario25,0,40,0,20,40,0.8,80,20,0,1,1,2
scenario26,60,100,40,100,60,0.6,60,40,0,1,2,1
scenario27,80,100,0,80,60,0.6,0,100,2,0,1,2
scenario28,80,20,20,60,40,0.6,0,100,1,2,0,1
scenario29,20,60,60,0,80,0.4,0,100,2,1,0,1
scenario30,20,100,0,0,80,0.4,0,20,2,0,1,0
scenario31,0,80,0,100,40,0.6,0,100,0,2,1,2
scenario32,60,100,0,60,40,0.6,100,0,2,0,0,1
scenario33,20,20,0,20,100,0.2,40,60,1,0,2,0
scenario34,60,100,80,0,100,0.2,40,60,1,2,0,2
scenario35,20,80,60,80,0,0.6,40,60,0,1,2,0
scenario36,20,20,0,40,0,0.8,40,60,1,2,2,0
scenario37,80,20,40,0,80,0.4,40,60,0,1,1,2
scenario38,20,100,60,0,0,0.8,40,60,0,1,2,1
scenario39,80,40,40,100,40,0.6,40,60,2,0,1,2
scenario40,0,60,0,0,0,0.4,0,100,1,2,0,1
scenario41,20,100,100,100,60,0.6,100,0,2,1,0,1
scenario42,20,100,60,100,0,0.6,100,0,2,0,1,0
scenario43,80,60,60,0,0,0.8,0,100,0,2,1,2
scenario44,40,40,0,60,60,0.6,100,0,2,0,0,1
scenario45,60,100,20,100,0,0.6,20,80,1,0,2,0
scenario46,60,20,60,0,0,0.8,40,60,1,2,0,2
scenario47,60,100,40,20,0,0.8,100,0,0,1,2,0
scenario48,60,80,60,40,60,0.6,100,0,1,2,2,0
scenario49,20,60,20,100,40,0.4,40,60,0,1,1,2
scenario50,20,80,0,0,100,0.6,40,60,0,1,2,1
scenario51,40,80,100,0,40,0.6,20,80,2,0,1,2
scenario52,20,20,60,60,40,0.6,100,0,1,2,0,1
scenario53,20,40,60,40,40,0.8,40,60,2,1,0,1
scenario54,40,100,0,20,60,0.6,0,100,2,0,1,0
scenario55,20,100,0,40,0,0.8,20,80,0,2,1,2
scenario56,60,40,20,0,0,0.8,20,0,2,0,0,1
scenario57,40,20,20,0,100,0.1,0,100,1,0,2,0
scenario58,20,80,20,80,80,0,100,0,1,2,0,2
scenario59,20,20,40,100,60,0.6,0,100,0,1,2,0
scenario60,0,20,0,20,60,0.2,0,100,1,2,2,0
scenario61,60,100,20,0,20,0.8,40,60,0,1,1,2
scenario62,40,60,40,80,40,0.6,20,0,0,1,2,1
scenario63,20,20,100,0,80,0.4,100,0,2,0,1,2
scenario64,60,20,0,0,80,0.6,60,100,1,2,0,1
scenario65,60,100,40,0,100,0.6,0,100,2,1,0,1
scenario66,80,40,100,0,80,0.4,60,40,2,0,1,0
scenario67,40,80,40,0,80,0.4,100,100,0,2,1,2
scenario68,20,60,0,20,100,0.1,80,20,2,0,0,1
