instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario1,0,80,0,0,100,0.1,0,100,0,0,0,c1,1e-05,0,1,1,2,0,4.4174683155286765,0
scenario2,60,60,60,100,40,0.6,100,0,0,0,0,c2,1e-05,0,1,2,1,0,2.855660134488468,0
scenario3,20,20,20,80,0,0.6,0,100,0,0,0,c4,1e-05,2,0,1,2,0,0.80622486758871,0
scenario4,20,100,0,0,0,0.2,80,20,0,0,20,c1,1e-05,1,2,0,1,0,2.393754515772593,0
scenario5,20,40,100,0,80,0.4,40,60,0,0,20,c2,1e-05,2,1,0,1,0,3.474129302239887,0
scenario6,60,40,20,80,100,0.6,20,80,0,0,20,c4,1e-05,2,0,1,0,0,3.351724405434806,0
scenario7,60,100,0,0,0,0.0,0,100,0,0,40,c1,1e-05,0,2,1,2,0,6987.728031132117,0
scenario8,80,80,0,20,100,0.6,80,20,0,0,40,c2,1e-05,2,0,0,1,0,3.5331948106532898,0
scenario9,40,20,20,0,40,0.8,20,80,0,0,40,c4,1e-05,1,0,2,0,1,0.0,1
scenario10,40,100,60,100,40,0.6,0,100,0,0,60,c1,1e-05,1,2,0,2,0,1080.6000810493867,0
scenario11,60,20,20,20,0,0.8,100,0,0,0,60,c2,1e-05,0,1,2,0,0,2.7349080730104047,0
scenario12,20,100,100,0,80,0.8,100,0,0,0,60,c4,1e-05,1,2,2,0,1,0.0,1
scenario13,40,20,100,100,40,0.6,20,80,0,0,80,c1,1e-05,0,1,1,2,0,9999.0,0
scenario14,20,100,20,40,60,0.8,40,60,0,0,80,c2,1e-05,0,1,2,1,0,5.047361828524824,0
scenario15,80,60,0,0,100,0.4,20,80,0,0,80,c4,1e-05,2,0,1,2,0,0.8385774433996654,0
scenario16,40,80,100,0,0,0.8,80,20,0,0,100,c1,1e-05,1,2,0,1,0,2.28339701814876,0
scenario17,20,20,40,0,100,0.2,100,0,0,0,100,c2,1e-05,2,1,0,1,0,2.738781425709088,0
scenario18,0,40,0,100,40,0.6,80,20,0,0,100,c4,1e-05,2,0,1,0,0,3.3509295008757887,0
scenario19,80,20,0,100,40,0.6,80,20,0,20,0,c1,1e-05,0,2,1,2,0,5.154230366602015,0
scenario20,20,20,20,60,40,0.6,100,80,0,20,0,c2,1e-05,2,0,0,1,1,0.0,1
scenario21,80,60,40,40,0,0.8,40,60,0,20,0,c4,1e-05,1,0,2,0,1,0.0,1
scenario22,80,20,0,0,60,0.2,80,20,0,20,20,c1,1e-05,1,2,0,2,0,2.341289430189012,0
scenario23,20,100,20,0,80,0.8,100,0,0,20,20,c2,1e-05,0,1,2,0,0,2.2925256708986925,0
scenario24,20,20,100,0,0,0.8,0,100,0,20,20,c4,1e-05,1,2,2,0,0,9999.0,0
scenario25,0,40,0,20,40,0.8,80,20,0,20,40,c1,1e-05,0,1,1,2,0,3.7502153335184047,0
scenario26,60,100,40,100,60,0.6,60,40,0,20,40,c2,1e-05,0,1,2,1,0,2.9121501092346573,0
scenario27,80,100,0,80,60,0.6,0,100,0,20,40,c4,1e-05,2,0,1,2,0,0.909410862330276,0
scenario28,80,20,20,60,40,0.6,0,100,0,20,60,c1,1e-05,1,2,0,1,0,4405.662443294097,0
scenario29,20,60,60,0,80,0.4,0,100,0,20,60,c2,1e-05,2,1,0,1,0,4.091544960353563,0
scenario30,20,100,0,0,80,0.4,0,20,0,20,60,c4,1e-05,2,0,1,0,0,2.061892484350931,0
scenario31,0,80,0,100,40,0.6,0,100,0,20,80,c1,1e-05,0,2,1,2,0,9999.0,0
scenario32,60,100,0,60,40,0.6,100,0,0,20,80,c2,1e-05,2,0,0,1,0,2.3057426389701,0
scenario33,20,20,0,20,100,0.2,40,60,0,20,80,c4,1e-05,1,0,2,0,0,2.421194552558818,0
scenario34,60,100,80,0,100,0.2,40,60,0,20,100,c1,1e-05,1,2,0,2,0,2.863424117982736,0
scenario35,20,80,60,80,0,0.6,40,60,0,20,100,c2,1e-05,0,1,2,0,0,3.0378302649524573,0
scenario36,20,20,0,40,0,0.8,40,60,0,20,100,c4,1e-05,1,2,2,0,0,2.1076205768265983,0
scenario37,80,20,40,0,80,0.4,40,60,0,40,0,c1,1e-05,0,1,1,2,0,4.555955737943779,0
scenario38,20,100,60,0,0,0.8,40,60,0,40,0,c2,1e-05,0,1,2,1,0,5.024717811800455,0
scenario39,80,40,40,100,40,0.6,40,60,0,40,0,c4,1e-05,2,0,1,2,1,0.0,1
scenario40,0,60,0,0,0,0.4,0,100,0,40,20,c1,1e-05,1,2,0,1,0,2233.4877440769783,0
scenario41,20,100,100,100,60,0.6,100,0,0,40,20,c2,1e-05,2,1,0,1,1,0.0,1
scenario42,20,100,60,100,0,0.6,100,0,0,40,20,c4,1e-05,2,0,1,0,0,2.498634892060561,0
scenario43,80,60,60,0,0,0.8,0,100,0,40,40,c1,1e-05,0,2,1,2,0,9999.0,0
scenario44,40,40,0,60,60,0.6,100,0,0,40,40,c2,1e-05,2,0,0,1,1,0.0,1
scenario45,60,100,20,100,0,0.6,20,80,0,40,40,c4,1e-05,1,0,2,0,0,9999.0,0
scenario46,60,20,60,0,0,0.8,40,60,0,40,60,c1,1e-05,1,2,0,2,0,3.161471162019857,0
scenario47,60,100,40,20,0,0.8,100,0,0,40,60,c2,1e-05,0,1,2,0,0,2.133628022181994,0
scenario48,60,80,60,40,60,0.6,100,0,0,40,60,c4,1e-05,1,2,2,0,0,2.1816837956934205,0
scenario49,20,60,20,100,40,0.4,40,60,0,40,80,c1,1e-05,0,1,1,2,0,4.445022635851017,0
scenario50,20,80,0,0,100,0.6,40,60,0,40,80,c2,1e-05,0,1,2,1,0,6.683282270167527,0
scenario51,40,80,100,0,40,0.6,20,80,0,40,80,c4,1e-05,2,0,1,2,0,0.8024741560109763,0
scenario52,20,20,60,60,40,0.6,100,0,0,40,100,c1,1e-05,1,2,0,1,0,2.4041637010403227,0
scenario53,20,40,60,40,40,0.8,40,60,0,40,100,c2,1e-05,2,1,0,1,0,3.607076459942832,0
