Row,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario1,2,0,1,0,1,80,100,40,60,20,100,20
scenario2,1,2,2,0,0.8,40,0,0,20,100,60,40
scenario3,2,0,1,2,0.2,100,20,60,100,40,0,60
scenario4,1,0,2,0,0.1,60,60,80,0,80,80,0
scenario5,2,0,1,0,0.4,20,40,20,40,60,20,80
scenario6,1,2,2,0,0.6,0,80,100,80,0,40,100
scenario7,0,1,2,1,1,80,100,40,60,20,100,20
scenario8,2,1,0,1,0.8,40,0,0,20,100,60,20
scenario9,2,0,0,1,0.2,100,20,60,100,40,0,20
scenario10,0,1,2,0,0.8,80,0,0,20,100,100,40
scenario11,0,1,2,1,0.2,40,60,40,0,80,100,20
scenario12,2,1,0,1,0.2,80,100,0,20,60,60,20
scenario13,2,0,0,1,0.8,80,100,40,20,40,0,60
scenario14,0,1,2,0,1,100,20,0,20,40,100,60
scenario15,0,1,2,1,1,40,100,80,40,0,60,20
scenario16,2,1,0,1,0.8,60,40,40,60,20,60,20
scenario17,2,0,0,1,1,80,20,0,100,80,0,0
scenario18,0,1,2,0,0.2,40,40,0,60,20,100,0
scenario19,0,1,2,1,0.1,80,60,60,20,20,80,20
scenario20,2,1,0,1,1,40,100,40,100,60,100,40
scenario21,2,0,0,1,0.4,40,80,20,60,20,0,20
scenario22,0,2,1,2,1,20,0,40,80,20,20,20
scenario23,0,1,2,0,0.2,100,100,40,60,20,60,40
scenario24,1,2,0,1,0.1,80,40,60,0,0,100,80
scenario25,0,1,2,1,0.2,0,0,100,60,100,40,20
scenario26,2,1,0,1,1,80,80,80,40,100,0,40
scenario27,2,0,0,1,0.8,100,100,80,40,100,100,0
scenario28,0,1,2,0,0.2,60,100,60,60,80,100,60
scenario29,0,1,2,1,1,40,60,0,0,20,60,60
scenario30,2,1,0,1,0.1,100,0,40,20,100,0,0
scenario31,2,0,0,1,0.6,20,80,20,60,40,100,20
scenario32,0,1,2,0,0.8,40,20,40,100,40,60,0
scenario33,0,1,2,1,0.8,80,20,20,60,80,20,40
scenario34,2,1,0,1,0.8,0,100,60,0,60,100,40
scenario35,0,1,1,2,0.8,80,60,100,20,80,40,40
scenario36,2,0,0,1,1,60,60,60,60,60,0,40
scenario37,0,1,2,0,1,80,40,60,80,80,60,100
scenario38,0,1,2,1,1,40,20,60,100,20,80,60
scenario39,1,2,0,2,0.1,60,100,0,80,40,100,40
scenario40,2,1,0,1,0.8,20,0,40,40,0,80,60
scenario41,2,0,0,1,0.2,60,100,0,20,0,80,40
scenario42,0,1,2,0,0.2,100,60,80,0,80,0,0
scenario43,0,2,1,2,0.2,100,40,0,40,60,0,40
scenario44,1,2,0,1,0.4,80,40,100,20,100,100,60
scenario45,0,1,2,1,0.6,80,100,80,60,0,80,80
scenario46,2,1,0,1,0.1,40,80,40,40,20,60,80
scenario47,2,0,0,1,1,20,100,80,20,0,0,80
scenario48,0,1,1,2,1,0,0,40,100,40,100,100
scenario49,0,1,2,0,0.1,20,0,0,60,80,60,40
scenario50,0,1,2,1,1,60,0,60,0,60,40,60
scenario51,2,1,0,1,0.8,40,80,80,20,20,20,80
scenario52,1,2,0,2,0.2,20,100,20,80,60,20,0
scenario53,2,0,0,1,0.2,100,80,0,100,0,20,80
scenario54,0,2,1,2,0.4,0,100,40,20,20,40,100
scenario55,1,2,0,1,1,40,20,20,100,100,40,100
scenario56,0,1,2,0,0.8,0,60,0,80,100,60,60
scenario57,0,1,2,1,0.1,40,60,0,80,40,40,60
scenario58,2,1,0,1,0.6,100,20,20,20,60,80,0
scenario59,0,1,1,2,0.1,0,60,60,100,100,0,0
scenario60,1,2,0,2,0.4,60,0,80,0,100,60,60
scenario61,2,0,0,1,1,60,20,100,0,40,60,0
scenario62,0,1,2,0,0.6,40,100,100,80,0,0,0
scenario63,0,2,1,2,0.6,60,80,20,100,20,60,60
scenario64,1,2,0,1,0.6,100,20,40,40,40,40,40
scenario65,0,1,2,1,0.4,60,60,0,40,80,80,100
scenario66,2,1,0,1,0.8,20,40,80,100,40,80,100
scenario67,0,1,1,2,0.6,100,20,0,80,0,20,60
scenario68,1,2,0,2,0.2,20,60,60,60,0,0,100
scenario69,2,0,0,1,0.1,20,20,80,0,60,80,80
scenario70,0,2,1,2,0.4,100,80,100,0,20,40,0
scenario71,1,2,0,1,0.6,20,0,60,40,100,80,80
scenario72,0,1,1,2,0.4,0,80,60,0,80,20,40
scenario73,0,1,2,0,0.4,100,80,20,0,60,80,100
scenario74,1,2,0,2,0.1,0,0,20,40,100,20,80
scenario75,0,2,1,2,0.4,0,20,100,100,40,20,80
scenario76,1,2,0,1,0.6,60,60,20,0,80,20,80
scenario77,0,1,1,2,0.6,0,40,80,80,0,20,80
scenario78,1,2,0,2,0.4,20,40,80,80,0,40,80
scenario79,0,2,1,2,0.1,0,80,100,80,60,80,100
scenario80,1,2,0,1,0.6,60,40,20,100,0,20,100
scenario81,0,1,1,2,0.2,20,20,100,40,20,80,60
scenario82,1,2,0,2,1,80,100,40,0,20,100,20
scenario83,0,2,1,2,1,80,100,60,60,20,100,20
scenario84,1,2,0,1,1,80,100,80,60,20,100,20
scenario85,0,1,1,2,0.1,80,100,40,60,20,100,20
scenario86,1,2,0,2,1,80,80,40,60,20,100,20
scenario87,0,2,1,2,1,0,100,40,60,20,100,20
